date,US firms with high China sales,US firms with high international sales,US sectors with high Chinese inputs
3/2/2018,100,100,100
3/5/2018,99.8306459,99.76745607,99.73010153
3/6/2018,100.6742209,99.38336372,100.5073341
3/7/2018,100.8740025,98.97715699,100.6336309
3/8/2018,100.4182491,99.32416296,100.4099532
3/9/2018,100.8056988,99.26160209,102.108269
3/12/2018,101.8945893,99.51239348,101.3191436
3/13/2018,101.6874442,99.14344042,100.4860939
3/14/2018,102.1700173,98.84880561,99.53688102
3/15/2018,101.7563086,99.23506422,99.36677837
3/16/2018,101.6610495,99.294903,98.96342731
3/19/2018,101.1160671,98.98021506,98.34467394
3/20/2018,101.7185858,98.33370674,98.94073875
3/21/2018,101.648866,98.02524074,99.86980298
3/22/2018,101.8599766,98.22925571,97.29303137
3/23/2018,100.6885081,98.26141491,96.77877272
3/26/2018,102.2063618,99.18841524,98.34186295
3/27/2018,101.1606647,99.27413986,95.73303994
3/28/2018,99.43623114,99.22169565,93.87395066
3/29/2018,100.4193598,99.06130924,95.46613633
3/30/2018,100.4193598,99.06130924,95.46613633
4/2/2018,98.49137489,99.37091589,94.40046145
4/3/2018,99.23150117,99.5203076,95.14782133
4/4/2018,99.06274221,99.90617186,95.06165862
4/5/2018,97.75862931,99.68088206,95.59628494
4/6/2018,96.80281749,99.72052219,94.09659514
4/9/2018,97.42856456,99.94297482,94.74922401
4/10/2018,98.66661368,100.1480872,96.38205282
4/11/2018,99.16730523,100.3549842,96.1885749
4/12/2018,100.1371725,100.4825579,98.20813248
4/13/2018,99.85494006,101.0149005,97.64404439
4/16/2018,99.48087483,100.935598,97.58036483
4/17/2018,99.99005986,100.75386,98.05758147
4/18/2018,100.0155177,100.4059983,98.89667753
4/19/2018,97.3991063,99.89139907,98.91301228
4/20/2018,96.87186477,99.1778336,98.87236182
4/23/2018,95.48537913,99.23348139,98.18163818
4/24/2018,95.9587197,99.32898788,95.07619148
4/25/2018,96.47213595,99.09256259,95.13909881
4/26/2018,97.29943337,99.10887168,96.22570467
4/27/2018,96.43834851,98.60827893,94.74669648
4/30/2018,95.75801413,98.92176436,94.8070711
5/1/2018,97.32192396,98.6410687,95.235899
5/2/2018,96.94016831,99.47309662,95.58053477
5/3/2018,97.22479709,99.60635675,95.9736431
5/4/2018,97.70824479,100.1661615,96.65586333
5/7/2018,98.31932255,100.3935663,97.47359377
5/8/2018,99.00204477,100.4929624,99.21954847
5/9/2018,99.31210872,100.6706293,100.8879261
5/10/2018,100.2945276,100.8101445,100.3877139
5/11/2018,99.8252945,100.5614322,99.74356173
5/14/2018,100.8189356,100.5783039,100.3104808
5/15/2018,100.3896429,100.7062663,100.9039166
5/16/2018,101.4994477,100.7555969,101.8626622
5/17/2018,101.2626923,100.4442268,102.5426734
5/18/2018,100.3765026,100.5335007,102.6116877
5/21/2018,100.8932837,100.745804,102.5529806
5/22/2018,101.8107695,100.6407799,101.5058378
5/23/2018,102.4095038,100.5316954,101.25216
5/24/2018,102.6749837,100.231167,100.9517331
5/25/2018,103.8995318,100.1062411,100.6246284
5/28/2018,103.8995318,100.1062411,100.6246284
5/29/2018,104.5961063,100.5362024,99.34273429
5/30/2018,103.7612921,100.3401009,99.38856122
5/31/2018,103.3495469,100.3667442,99.13561371
6/1/2018,104.7696676,100.6283685,100.9685182
6/4/2018,104.3551498,100.5091321,101.3740985
6/5/2018,104.6417051,100.609355,102.0469446
6/6/2018,104.5657549,100.3466563,103.2760439
6/7/2018,104.1568039,100.4894631,102.2684388
6/8/2018,102.9381357,100.4705273,102.2923862
6/11/2018,102.5546795,100.0952217,102.3041629
6/12/2018,102.4894171,99.97056749,101.9684412
6/13/2018,102.7232428,99.75083782,103.7358458
6/14/2018,103.8375229,99.20470049,102.8206643
6/15/2018,103.6400928,98.41150827,101.7828807
