08-2018	2
07-2018	2
06-2018	2
05-2018	2
04-2018	1.7
03-2018	1.6
02-2018	1.3
01-2018	1.4
12-2017	1.9
11-2017	2.1
10-2017	2.5
09-2017	2.1
08-2017	2.2
07-2017	1.8
06-2017	1.7
05-2017	1.5
04-2017	1.9
03-2017	2
02-2017	2
01-2017	2.2
12-2016	1.8
11-2016	0.8
10-2016	0
09-2016	-0.2
08-2016	-0.5
07-2016	-0.8
06-2016	-0.9
05-2016	-0.8
04-2016	-0.9
03-2016	-1.1
02-2016	-0.9
01-2016	-0.8
12-2015	-0.9
11-2015	-0.5
10-2015	-0.6
09-2015	-0.7
08-2015	-0.8
07-2015	-0.6
06-2015	-0.7
05-2015	-0.8
04-2015	-0.9
03-2015	-1.1
02-2015	-1.5
01-2015	-1.6
12-2014	-1.4
11-2014	-1
10-2014	-0.6
09-2014	-0.6
08-2014	-0.3
07-2014	-0.3
06-2014	-0.2
05-2014	0.3
04-2014	0.2
03-2014	0.3
02-2014	0.7
01-2014	0.7
12-2013	0.7
11-2013	0.6
10-2013	0.6
09-2013	0.8
08-2013	1
07-2013	1.1
06-2013	1.1
05-2013	0.2
04-2013	0.5
03-2013	0.8
02-2013	1
01-2013	1.3
12-2012	1.7
11-2012	2.4
10-2012	2.8
09-2012	3.4
08-2012	3.8
07-2012	3.8
06-2012	4
05-2012	4.3
04-2012	3.6
03-2012	4
02-2012	3.9
01-2012	4.3
12-2011	4.1
11-2011	4.6
10-2011	4.8
09-2011	4.3
08-2011	3.9
07-2011	4.3
06-2011	4.1
05-2011	4.2
04-2011	5
03-2011	4.5
02-2011	4.3
01-2011	3.6
12-2010	3.6
11-2010	3.1
10-2010	2.7
09-2010	2.8
08-2010	2.5
07-2010	2
06-2010	2
05-2010	2.3
04-2010	2.2
03-2010	2.4
02-2010	2.6
01-2010	2.9
12-2009	3.6
11-2009	3.5
10-2009	3.3
09-2009	3.1
08-2009	3.4
07-2009	3.7
06-2009	3.6
05-2009	3.5
04-2009	3.6
03-2009	4
02-2009	3.6
01-2009	3.3
12-2008	2.8
11-2008	3.3
10-2008	3.7
09-2008	4.2
08-2008	4.5
07-2008	4.8
06-2008	4.8
05-2008	4.6
04-2008	4.4
03-2008	4
02-2008	4.1
01-2008	4.2
12-2007	4
11-2007	4
10-2007	3.6
09-2007	3
08-2007	2.3
07-2007	1.5
06-2007	2.3
05-2007	2.6
04-2007	2.3
03-2007	2.3
02-2007	2.5
01-2007	1.9
12-2006	1.6
11-2006	1.4
10-2006	1.4
09-2006	1.2
08-2006	1.6
07-2006	1.3
06-2006	1.1
05-2006	0.8
04-2006	0.9
03-2006	0.7
02-2006	0.4
01-2006	0.7
12-2005	0.7
11-2005	0.7
10-2005	1
09-2005	1.6
08-2005	1.8
07-2005	1.6
06-2005	1.3
05-2005	1.4
04-2005	2.5
03-2005	3
02-2005	3.4
01-2005	3.6
12-2004	3.7
11-2004	4.4
10-2004	4.5
09-2004	4.5
08-2004	4.4
07-2004	4.6
06-2004	4.6
05-2004	4.4
04-2004	3.4
03-2004	2.2
02-2004	1.7
01-2004	1.6
12-2003	1.6
11-2003	1.7
10-2003	1.6
09-2003	1.3
08-2003	0.9
07-2003	0.7
06-2003	0.8
05-2003	0.8
04-2003	0.4
03-2003	0.3
02-2003	0.6
01-2003	0.5
12-2002	0.4
11-2002	0.8
10-2002	0.9
09-2002	1.1
08-2002	1.3
07-2002	1.2
06-2002	1.3
05-2002	1.6
04-2002	1.9
03-2002	3
02-2002	3.3
01-2002	3.5
12-2001	3.5
11-2001	3.6
10-2001	3.6
09-2001	4
08-2001	4.3
07-2001	5.1
06-2001	5.2
05-2001	6.2
04-2001	6.9
03-2001	6.6
02-2001	6.2
01-2001	6.6
12-2000	7.4
11-2000	8.5
10-2000	9.3
09-2000	9.9
08-2000	10.3
07-2000	10.7
06-2000	11.6
05-2000	10.2
04-2000	10
03-2000	9.8
02-2000	10.3
01-2000	10.4
