Stacja;SHR_09_17;SHR_09_18;Dynamika
TVP Sport;0.159;1.448;810.69
Polsat Sport;0.401;1.243;209.98
Eurosport 1;0.272;0.226;-16.91
Eleven Sports 1 (Eleven);0.129;0.177;37.21
nSport+;0.164;0.137;-16.46
Canal+ Sport;0.145;0.106;-26.9
Polsat Sport Extra;0.098;0.102;4.08
Extreme Sports;0.082;0.101;23.17
Eurosport 2;0.085;0.087;2.35
Eleven Sports 2 (Eleven Sports);0.104;0.062;-40.38
Canal+ Sport2;0.072;0.055;-23.61
Polsat Sport News HD;0.042;0.035;-16.67
Polsat Sport Fight;0.018;0.025;38.89
Motowizja;0.009;0.015;66.67
Fightklub;0.001;0.001;0
Golf Channel Polska;0.004;0;-100
