Rank;Country;Score;RankChange;ScoreChange
1;United States;85.6;0;0.8
2;Singapore;83.5;0;0.5
3;Germany;82.8;0;0.2
4;Switzerland;82.6;0;0.2
5;Japan;82.5;3;0.9
6;Netherlands;82.4;-1;0.2
7;Hong Kong SAR;82.3;0;0.3
8;United Kingdom;82.0;-2;-0.1
9;Sweden;81.7;0;0.1
10;Denmark;80.6;1;0.7
11;Finland;80.3;1;0.5
12;Canada;79.9;-2;-0.1
13;Taiwan, China;79.3;0;0.1
14;Australia;78.9;1;0.7
15;Korea, Rep.;78.8;2;0.8
16;Norway;78.2;-2;-0.8
17;France;78.0;1;0.6
18;New Zealand;77.5;-2;-0.6
19;Luxembourg;76.6;3;0.6
20;Israel;76.6;0;0.4
