"COUNTRY","Country","YEAR","Year","ISC11","ISCED 2011","EXP","Teacher career point (experience level)","QUAL","Teacher qualification level","INDICATOR","Indicator","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","EXP0","Starting salary","QUAL_TYP","Typical qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,41798.38696,,
"AUS","Australia","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","EXP0","Starting salary","QUAL_MIN","Minimum qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,41798.38696,,
"AUS","Australia","2017","2017","L1","Primary education (ISCED2011 level 1)","EXP0","Starting salary","QUAL_TYP","Typical qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,41798.38696,,
"AUS","Australia","2017","2017","L1","Primary education (ISCED2011 level 1)","EXP0","Starting salary","QUAL_MIN","Minimum qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,41798.38696,,
"AUS","Australia","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","EXP0","Starting salary","QUAL_TYP","Typical qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,41800.2967,,
"AUS","Australia","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","EXP0","Starting salary","QUAL_MIN","Minimum qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,41800.2967,,
"AUS","Australia","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","EXP0","Starting salary","QUAL_TYP","Typical qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,41798.38696,,
"AUS","Australia","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","EXP0","Starting salary","QUAL_MIN","Minimum qualifications","USD_STAT_YR","Annual statutory teachers' salaries, in public institutions, in equivalent USD converted using PPPs for private consumption",,,"0","Units",,,41798.38696,,
"AUS","Australia","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","EXP0","Starting salary","QUAL_TYP","Typical qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,67028,,
"AUS","Australia","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","EXP0","Starting salary","QUAL_MIN","Minimum qualifications","NAT_STAT_YR","Annual statutory teachers' salaries, in public institutions, in national currency",,,"0","Units",,,67028,,
