"","Series id","Year","Period","Value","date"
"1","LNS14000000",2008,"M01",5,2008-01-01
"2","LNS14000000",2008,"M02",4.9,2008-02-01
"3","LNS14000000",2008,"M03",5.1,2008-03-01
"4","LNS14000000",2008,"M04",5,2008-04-01
"5","LNS14000000",2008,"M05",5.4,2008-05-01
"6","LNS14000000",2008,"M06",5.6,2008-06-01
"7","LNS14000000",2008,"M07",5.8,2008-07-01
"8","LNS14000000",2008,"M08",6.1,2008-08-01
"9","LNS14000000",2008,"M09",6.1,2008-09-01
"10","LNS14000000",2008,"M10",6.5,2008-10-01
"11","LNS14000000",2008,"M11",6.8,2008-11-01
"12","LNS14000000",2008,"M12",7.3,2008-12-01
"13","LNS14000000",2009,"M01",7.8,2009-01-01
"14","LNS14000000",2009,"M02",8.3,2009-02-01
"15","LNS14000000",2009,"M03",8.7,2009-03-01
"16","LNS14000000",2009,"M04",9,2009-04-01
"17","LNS14000000",2009,"M05",9.4,2009-05-01
"18","LNS14000000",2009,"M06",9.5,2009-06-01
"19","LNS14000000",2009,"M07",9.5,2009-07-01
"20","LNS14000000",2009,"M08",9.6,2009-08-01
"21","LNS14000000",2009,"M09",9.8,2009-09-01
"22","LNS14000000",2009,"M10",10,2009-10-01
"23","LNS14000000",2009,"M11",9.9,2009-11-01
"24","LNS14000000",2009,"M12",9.9,2009-12-01
"25","LNS14000000",2010,"M01",9.8,2010-01-01
"26","LNS14000000",2010,"M02",9.8,2010-02-01
"27","LNS14000000",2010,"M03",9.9,2010-03-01
"28","LNS14000000",2010,"M04",9.9,2010-04-01
"29","LNS14000000",2010,"M05",9.6,2010-05-01
"30","LNS14000000",2010,"M06",9.4,2010-06-01
"31","LNS14000000",2010,"M07",9.4,2010-07-01
"32","LNS14000000",2010,"M08",9.5,2010-08-01
"33","LNS14000000",2010,"M09",9.5,2010-09-01
"34","LNS14000000",2010,"M10",9.4,2010-10-01
"35","LNS14000000",2010,"M11",9.8,2010-11-01
"36","LNS14000000",2010,"M12",9.3,2010-12-01
"37","LNS14000000",2011,"M01",9.1,2011-01-01
"38","LNS14000000",2011,"M02",9,2011-02-01
"39","LNS14000000",2011,"M03",9,2011-03-01
"40","LNS14000000",2011,"M04",9.1,2011-04-01
"41","LNS14000000",2011,"M05",9,2011-05-01
"42","LNS14000000",2011,"M06",9.1,2011-06-01
"43","LNS14000000",2011,"M07",9,2011-07-01
"44","LNS14000000",2011,"M08",9,2011-08-01
"45","LNS14000000",2011,"M09",9,2011-09-01
"46","LNS14000000",2011,"M10",8.8,2011-10-01
"47","LNS14000000",2011,"M11",8.6,2011-11-01
"48","LNS14000000",2011,"M12",8.5,2011-12-01
"49","LNS14000000",2012,"M01",8.3,2012-01-01
"50","LNS14000000",2012,"M02",8.3,2012-02-01
"51","LNS14000000",2012,"M03",8.2,2012-03-01
"52","LNS14000000",2012,"M04",8.2,2012-04-01
"53","LNS14000000",2012,"M05",8.2,2012-05-01
"54","LNS14000000",2012,"M06",8.2,2012-06-01
"55","LNS14000000",2012,"M07",8.2,2012-07-01
"56","LNS14000000",2012,"M08",8.1,2012-08-01
"57","LNS14000000",2012,"M09",7.8,2012-09-01
"58","LNS14000000",2012,"M10",7.8,2012-10-01
"59","LNS14000000",2012,"M11",7.7,2012-11-01
"60","LNS14000000",2012,"M12",7.9,2012-12-01
"61","LNS14000000",2013,"M01",8,2013-01-01
"62","LNS14000000",2013,"M02",7.7,2013-02-01
"63","LNS14000000",2013,"M03",7.5,2013-03-01
"64","LNS14000000",2013,"M04",7.6,2013-04-01
"65","LNS14000000",2013,"M05",7.5,2013-05-01
"66","LNS14000000",2013,"M06",7.5,2013-06-01
"67","LNS14000000",2013,"M07",7.3,2013-07-01
"68","LNS14000000",2013,"M08",7.2,2013-08-01
"69","LNS14000000",2013,"M09",7.2,2013-09-01
"70","LNS14000000",2013,"M10",7.2,2013-10-01
"71","LNS14000000",2013,"M11",6.9,2013-11-01
"72","LNS14000000",2013,"M12",6.7,2013-12-01
"73","LNS14000000",2014,"M01",6.6,2014-01-01
"74","LNS14000000",2014,"M02",6.7,2014-02-01
"75","LNS14000000",2014,"M03",6.7,2014-03-01
"76","LNS14000000",2014,"M04",6.3,2014-04-01
"77","LNS14000000",2014,"M05",6.3,2014-05-01
"78","LNS14000000",2014,"M06",6.1,2014-06-01
"79","LNS14000000",2014,"M07",6.2,2014-07-01
"80","LNS14000000",2014,"M08",6.2,2014-08-01
"81","LNS14000000",2014,"M09",5.9,2014-09-01
"82","LNS14000000",2014,"M10",5.7,2014-10-01
"83","LNS14000000",2014,"M11",5.8,2014-11-01
"84","LNS14000000",2014,"M12",5.6,2014-12-01
"85","LNS14000000",2015,"M01",5.7,2015-01-01
"86","LNS14000000",2015,"M02",5.5,2015-02-01
"87","LNS14000000",2015,"M03",5.5,2015-03-01
"88","LNS14000000",2015,"M04",5.4,2015-04-01
"89","LNS14000000",2015,"M05",5.5,2015-05-01
"90","LNS14000000",2015,"M06",5.3,2015-06-01
"91","LNS14000000",2015,"M07",5.2,2015-07-01
"92","LNS14000000",2015,"M08",5.1,2015-08-01
"93","LNS14000000",2015,"M09",5,2015-09-01
"94","LNS14000000",2015,"M10",5,2015-10-01
"95","LNS14000000",2015,"M11",5,2015-11-01
"96","LNS14000000",2015,"M12",5,2015-12-01
"97","LNS14000000",2016,"M01",4.9,2016-01-01
"98","LNS14000000",2016,"M02",4.9,2016-02-01
"99","LNS14000000",2016,"M03",5,2016-03-01
"100","LNS14000000",2016,"M04",5,2016-04-01
"101","LNS14000000",2016,"M05",4.7,2016-05-01
"102","LNS14000000",2016,"M06",4.9,2016-06-01
"103","LNS14000000",2016,"M07",4.9,2016-07-01
"104","LNS14000000",2016,"M08",4.9,2016-08-01
"105","LNS14000000",2016,"M09",5,2016-09-01
"106","LNS14000000",2016,"M10",4.9,2016-10-01
"107","LNS14000000",2016,"M11",4.6,2016-11-01
"108","LNS14000000",2016,"M12",4.7,2016-12-01
"109","LNS14000000",2017,"M01",4.8,2017-01-01
"110","LNS14000000",2017,"M02",4.7,2017-02-01
"111","LNS14000000",2017,"M03",4.5,2017-03-01
"112","LNS14000000",2017,"M04",4.4,2017-04-01
"113","LNS14000000",2017,"M05",4.3,2017-05-01
"114","LNS14000000",2017,"M06",4.3,2017-06-01
"115","LNS14000000",2017,"M07",4.3,2017-07-01
"116","LNS14000000",2017,"M08",4.4,2017-08-01
"117","LNS14000000",2017,"M09",4.2,2017-09-01
"118","LNS14000000",2017,"M10",4.1,2017-10-01
"119","LNS14000000",2017,"M11",4.1,2017-11-01
"120","LNS14000000",2017,"M12",4.1,2017-12-01
"121","LNS14000000",2018,"M01",4.1,2018-01-01
"122","LNS14000000",2018,"M02",4.1,2018-02-01
"123","LNS14000000",2018,"M03",4.1,2018-03-01
"124","LNS14000000",2018,"M04",3.9,2018-04-01
"125","LNS14000000",2018,"M05",3.8,2018-05-01
"126","LNS14000000",2018,"M06",4,2018-06-01
"127","LNS14000000",2018,"M07",3.9,2018-07-01
"128","LNS14000000",2018,"M08",3.9,2018-08-01
"129","LNS14000000",2018,"M09",3.7,2018-09-01
