"","Age","Diff"
"1",0,843229
"2",1,843135
"3",2,843037
"4",3,842933
"5",4,842827
"6",5,842726
"7",6,842620
"8",7,842508
"9",8,842398
"10",9,842287
"11",10,842172
"12",11,842053
"13",12,841931
"14",13,841806
"15",14,841682
"16",15,841555
"17",16,841415
"18",17,841256
"19",18,841064
"20",19,840818
"21",20,840498
"22",21,840094
"23",22,839602
"24",23,839025
"25",24,838360
"26",25,837617
"27",26,836795
"28",27,835890
"29",28,834902
"30",29,833835
"31",30,832690
"32",31,831456
"33",32,830119
"34",33,828678
"35",34,827125
"36",35,825450
"37",36,823639
"38",37,821692
"39",38,819597
"40",39,817332
"41",40,814880
"42",41,812226
"43",42,809349
"44",43,806217
"45",44,802825
"46",45,799166
"47",46,795205
"48",47,790923
"49",48,786277
"50",49,781228
"51",50,775763
"52",51,769838
"53",52,763415
"54",53,756474
"55",54,748963
"56",55,740841
"57",56,732077
"58",57,722634
"59",58,712466
"60",59,701513
"61",60,689751
"62",61,677164
"63",62,663729
"64",63,649423
"65",64,634184
"66",65,617998
"67",66,600827
"68",67,582669
"69",68,563559
"70",69,543468
"71",70,522365
"72",71,500267
"73",72,477227
"74",73,453286
"75",74,428505
"76",75,402999
"77",76,376897
"78",77,350356
"79",78,323515
"80",79,296529
"81",80,269626
"82",81,243025
"83",82,216923
"84",83,191573
"85",84,167262
"86",85,144204
"87",86,122668
"88",87,102919
"89",88,84994
"90",89,68940
"91",90,54890
"92",91,42821
"93",92,32651
"94",93,24320
"95",94,17664
"96",95,12485
"97",96,8587
"98",97,5733
"99",98,3710
"100",99,2324
"101",100,1408
"102",101,824
"103",102,465
"104",103,253
"105",104,132
"106",105,67
"107",106,32
"108",107,16
"109",108,7
"110",109,3
"111",110,1
