"","Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex","Gender"
"5662",2009,"0",0.0051,0.00507,0.07,100000,507,99527,7991684,79.92,"Female"
"5663",2009,"1",0.00032,0.00032,0.5,99493,32,99477,7892158,79.32,"Female"
"5664",2009,"2",0.00018,0.00018,0.5,99461,18,99452,7792681,78.35,"Female"
"5665",2009,"3",0.00018,0.00018,0.5,99443,18,99434,7693229,77.36,"Female"
"5666",2009,"4",0.00016,0.00016,0.5,99424,16,99416,7593795,76.38,"Female"
"5667",2009,"5",9e-05,9e-05,0.5,99408,9,99404,7494379,75.39,"Female"
"5668",2009,"6",0.00015,0.00015,0.5,99400,15,99392,7394975,74.4,"Female"
"5669",2009,"7",0.00015,0.00015,0.5,99384,15,99377,7295583,73.41,"Female"
"5670",2009,"8",0.00014,0.00014,0.5,99369,14,99362,7196206,72.42,"Female"
"5671",2009,"9",9e-05,9e-05,0.5,99355,9,99351,7096844,71.43,"Female"
"5672",2009,"10",0.00012,0.00012,0.5,99346,12,99340,6997493,70.44,"Female"
"5673",2009,"11",0.00011,0.00011,0.5,99334,11,99328,6898154,69.44,"Female"
"5674",2009,"12",0.00013,0.00013,0.5,99322,13,99316,6798825,68.45,"Female"
"5675",2009,"13",2e-04,2e-04,0.5,99310,20,99300,6699509,67.46,"Female"
"5676",2009,"14",0.00023,0.00023,0.5,99289,23,99278,6600210,66.47,"Female"
"5677",2009,"15",0.00022,0.00022,0.5,99267,22,99256,6500931,65.49,"Female"
"5678",2009,"16",0.00022,0.00022,0.5,99245,21,99234,6401675,64.5,"Female"
"5679",2009,"17",0.00026,0.00026,0.5,99224,26,99211,6302441,63.52,"Female"
"5680",2009,"18",0.00028,0.00028,0.5,99197,27,99184,6203230,62.53,"Female"
"5681",2009,"19",0.00027,0.00027,0.5,99170,27,99157,6104047,61.55,"Female"
"5682",2009,"20",0.00023,0.00023,0.5,99143,23,99132,6004890,60.57,"Female"
"5683",2009,"21",0.00024,0.00024,0.5,99120,24,99108,5905758,59.58,"Female"
"5684",2009,"22",0.00026,0.00026,0.5,99096,26,99083,5806650,58.6,"Female"
"5685",2009,"23",0.00025,0.00025,0.5,99070,25,99058,5707567,57.61,"Female"
"5686",2009,"24",3e-04,3e-04,0.5,99045,30,99030,5608509,56.63,"Female"
"5687",2009,"25",2e-04,2e-04,0.5,99015,20,99005,5509479,55.64,"Female"
"5688",2009,"26",3e-04,3e-04,0.5,98995,30,98980,5410474,54.65,"Female"
"5689",2009,"27",0.00026,0.00026,0.5,98965,26,98952,5311494,53.67,"Female"
"5690",2009,"28",0.00038,0.00038,0.5,98940,38,98921,5212542,52.68,"Female"
"5691",2009,"29",0.00035,0.00035,0.5,98902,34,98885,5113621,51.7,"Female"
"5692",2009,"30",0.00042,0.00042,0.5,98867,42,98847,5014736,50.72,"Female"
"5693",2009,"31",0.00043,0.00043,0.5,98826,42,98805,4915890,49.74,"Female"
"5694",2009,"32",0.00047,0.00047,0.5,98784,47,98760,4817085,48.76,"Female"
"5695",2009,"33",0.00047,0.00047,0.5,98737,46,98714,4718325,47.79,"Female"
"5696",2009,"34",0.00052,0.00052,0.5,98691,51,98665,4619611,46.81,"Female"
"5697",2009,"35",0.00066,0.00065,0.5,98640,65,98607,4520946,45.83,"Female"
"5698",2009,"36",7e-04,7e-04,0.5,98575,69,98541,4422339,44.86,"Female"
"5699",2009,"37",0.00062,0.00062,0.5,98506,61,98476,4323798,43.89,"Female"
"5700",2009,"38",0.00088,0.00088,0.5,98445,87,98402,4225322,42.92,"Female"
"5701",2009,"39",0.001,0.001,0.5,98359,98,98310,4126920,41.96,"Female"
