"Year","Age","Gender","Tx"
2009,"0","Female",7991684
2009,"1","Female",7892158
2009,"2","Female",7792681
2009,"3","Female",7693229
2009,"4","Female",7593795
2009,"5","Female",7494379
2009,"6","Female",7394975
2009,"7","Female",7295583
2009,"8","Female",7196206
2009,"9","Female",7096844
2009,"10","Female",6997493
2009,"11","Female",6898154
2009,"12","Female",6798825
2009,"13","Female",6699509
2009,"14","Female",6600210
2009,"15","Female",6500931
2009,"16","Female",6401675
2009,"17","Female",6302441
2009,"18","Female",6203230
2009,"19","Female",6104047
2009,"20","Female",6004890
2009,"21","Female",5905758
2009,"22","Female",5806650
2009,"23","Female",5707567
2009,"24","Female",5608509
2009,"25","Female",5509479
2009,"26","Female",5410474
2009,"27","Female",5311494
2009,"28","Female",5212542
2009,"29","Female",5113621
2009,"30","Female",5014736
2009,"31","Female",4915890
2009,"32","Female",4817085
2009,"33","Female",4718325
2009,"34","Female",4619611
2009,"35","Female",4520946
2009,"36","Female",4422339
2009,"37","Female",4323798
2009,"38","Female",4225322
2009,"39","Female",4126920
2009,"40","Female",4028610
2009,"41","Female",3930402
2009,"42","Female",3832310
2009,"43","Female",3734343
2009,"44","Female",3636509
2009,"45","Female",3538823
2009,"46","Female",3441306
2009,"47","Female",3343983
2009,"48","Female",3246872
2009,"49","Female",3150000
2009,"50","Female",3053397
2009,"51","Female",2957090
2009,"52","Female",2861118
2009,"53","Female",2765512
2009,"54","Female",2670297
2009,"55","Female",2575509
2009,"56","Female",2481183
2009,"57","Female",2387359
2009,"58","Female",2294086
2009,"59","Female",2201407
2009,"60","Female",2109364
2009,"61","Female",2018012
2009,"62","Female",1927414
2009,"63","Female",1837624
2009,"64","Female",1748682
2009,"65","Female",1660624
2009,"66","Female",1573514
2009,"67","Female",1487411
2009,"68","Female",1402360
2009,"69","Female",1318423
2009,"70","Female",1235686
2009,"71","Female",1154262
2009,"72","Female",1074258
2009,"73","Female",995781
2009,"74","Female",918966
2009,"75","Female",844006
2009,"76","Female",771103
2009,"77","Female",700453
2009,"78","Female",632253
2009,"79","Female",566743
2009,"80","Female",504184
2009,"81","Female",444819
2009,"82","Female",388880
2009,"83","Female",336605
2009,"84","Female",288228
2009,"85","Female",243909
2009,"86","Female",203797
2009,"87","Female",168018
2009,"88","Female",136515
2009,"89","Female",109115
2009,"90","Female",85734
2009,"91","Female",66093
2009,"92","Female",49808
2009,"93","Female",36679
2009,"94","Female",26378
2009,"95","Female",18526
2009,"96","Female",12711
2009,"97","Female",8485
2009,"98","Female",5504
2009,"99","Female",3466
2009,"100","Female",2117
2009,"101","Female",1253
2009,"102","Female",718
2009,"103","Female",399
2009,"104","Female",214
2009,"105","Female",112
2009,"106","Female",56
2009,"107","Female",28
2009,"108","Female",13
2009,"109","Female",6
2009,"110+","Female",3
2009,"0","Male",7148455
2009,"1","Male",7049023
2009,"2","Male",6949644
2009,"3","Male",6850296
2009,"4","Male",6750968
2009,"5","Male",6651653
2009,"6","Male",6552355
2009,"7","Male",6453075
2009,"8","Male",6353808
2009,"9","Male",6254557
2009,"10","Male",6155321
2009,"11","Male",6056101
2009,"12","Male",5956894
2009,"13","Male",5857703
2009,"14","Male",5758528
2009,"15","Male",5659376
2009,"16","Male",5560260
2009,"17","Male",5461185
2009,"18","Male",5362166
2009,"19","Male",5263229
2009,"20","Male",5164392
2009,"21","Male",5065664
2009,"22","Male",4967048
2009,"23","Male",4868542
2009,"24","Male",4770149
2009,"25","Male",4671862
2009,"26","Male",4573679
2009,"27","Male",4475604
2009,"28","Male",4377640
2009,"29","Male",4279786
2009,"30","Male",4182046
2009,"31","Male",4084434
2009,"32","Male",3986966
2009,"33","Male",3889647
2009,"34","Male",3792486
2009,"35","Male",3695496
2009,"36","Male",3598700
2009,"37","Male",3502106
2009,"38","Male",3405725
2009,"39","Male",3309588
2009,"40","Male",3213730
2009,"41","Male",3118176
2009,"42","Male",3022961
2009,"43","Male",2928126
2009,"44","Male",2833684
2009,"45","Male",2739657
2009,"46","Male",2646101
2009,"47","Male",2553060
2009,"48","Male",2460595
2009,"49","Male",2368772
2009,"50","Male",2277634
2009,"51","Male",2187252
2009,"52","Male",2097703
2009,"53","Male",2009038
2009,"54","Male",1921334
2009,"55","Male",1834668
2009,"56","Male",1749106
2009,"57","Male",1664725
2009,"58","Male",1581620
2009,"59","Male",1499894
2009,"60","Male",1419613
2009,"61","Male",1340848
2009,"62","Male",1263685
2009,"63","Male",1188201
2009,"64","Male",1114498
2009,"65","Male",1042626
2009,"66","Male",972687
2009,"67","Male",904742
2009,"68","Male",838801
2009,"69","Male",774955
2009,"70","Male",713321
2009,"71","Male",653995
2009,"72","Male",597031
2009,"73","Male",542495
2009,"74","Male",490461
2009,"75","Male",441007
2009,"76","Male",394206
2009,"77","Male",350097
2009,"78","Male",308738
2009,"79","Male",270214
2009,"80","Male",234558
2009,"81","Male",201794
2009,"82","Male",171957
2009,"83","Male",145032
2009,"84","Male",120966
2009,"85","Male",99705
2009,"86","Male",81129
2009,"87","Male",65099
2009,"88","Male",51521
2009,"89","Male",40175
2009,"90","Male",30844
2009,"91","Male",23272
2009,"92","Male",17157
2009,"93","Male",12359
2009,"94","Male",8714
2009,"95","Male",6041
2009,"96","Male",4124
2009,"97","Male",2752
2009,"98","Male",1794
2009,"99","Male",1142
2009,"100","Male",709
