"","x","value","type"
"1","0",7991684,"Female"
"2","1",7892158,"Female"
"3","2",7792681,"Female"
"4","3",7693229,"Female"
"5","4",7593795,"Female"
"6","5",7494379,"Female"
"7","6",7394975,"Female"
"8","7",7295583,"Female"
"9","8",7196206,"Female"
"10","9",7096844,"Female"
"11","10",6997493,"Female"
"12","11",6898154,"Female"
"13","12",6798825,"Female"
"14","13",6699509,"Female"
"15","14",6600210,"Female"
"16","15",6500931,"Female"
"17","16",6401675,"Female"
"18","17",6302441,"Female"
"19","18",6203230,"Female"
"20","19",6104047,"Female"
"21","20",6004890,"Female"
"22","21",5905758,"Female"
"23","22",5806650,"Female"
"24","23",5707567,"Female"
"25","24",5608509,"Female"
"26","25",5509479,"Female"
"27","26",5410474,"Female"
"28","27",5311494,"Female"
"29","28",5212542,"Female"
"30","29",5113621,"Female"
"31","30",5014736,"Female"
"32","31",4915890,"Female"
"33","32",4817085,"Female"
"34","33",4718325,"Female"
"35","34",4619611,"Female"
"36","35",4520946,"Female"
"37","36",4422339,"Female"
"38","37",4323798,"Female"
"39","38",4225322,"Female"
"40","39",4126920,"Female"
"41","40",4028610,"Female"
"42","41",3930402,"Female"
"43","42",3832310,"Female"
"44","43",3734343,"Female"
"45","44",3636509,"Female"
"46","45",3538823,"Female"
"47","46",3441306,"Female"
"48","47",3343983,"Female"
"49","48",3246872,"Female"
"50","49",3150000,"Female"
"51","50",3053397,"Female"
"52","51",2957090,"Female"
"53","52",2861118,"Female"
"54","53",2765512,"Female"
"55","54",2670297,"Female"
"56","55",2575509,"Female"
"57","56",2481183,"Female"
"58","57",2387359,"Female"
"59","58",2294086,"Female"
"60","59",2201407,"Female"
"61","60",2109364,"Female"
"62","61",2018012,"Female"
"63","62",1927414,"Female"
"64","63",1837624,"Female"
"65","64",1748682,"Female"
"66","65",1660624,"Female"
"67","66",1573514,"Female"
"68","67",1487411,"Female"
"69","68",1402360,"Female"
"70","69",1318423,"Female"
"71","70",1235686,"Female"
"72","71",1154262,"Female"
"73","72",1074258,"Female"
"74","73",995781,"Female"
"75","74",918966,"Female"
"76","75",844006,"Female"
"77","76",771103,"Female"
"78","77",700453,"Female"
"79","78",632253,"Female"
"80","79",566743,"Female"
"81","80",504184,"Female"
"82","81",444819,"Female"
"83","82",388880,"Female"
"84","83",336605,"Female"
"85","84",288228,"Female"
"86","85",243909,"Female"
"87","86",203797,"Female"
"88","87",168018,"Female"
"89","88",136515,"Female"
"90","89",109115,"Female"
"91","90",85734,"Female"
"92","91",66093,"Female"
"93","92",49808,"Female"
"94","93",36679,"Female"
"95","94",26378,"Female"
"96","95",18526,"Female"
"97","96",12711,"Female"
"98","97",8485,"Female"
"99","98",5504,"Female"
"100","99",3466,"Female"
"101","100",2117,"Female"
"102","101",1253,"Female"
"103","102",718,"Female"
"104","103",399,"Female"
"105","104",214,"Female"
"106","105",112,"Female"
"107","106",56,"Female"
"108","107",28,"Female"
"109","108",13,"Female"
"110","109",6,"Female"
"111","110+",3,"Female"
"112","0",7148455,"Male"
"113","1",7049023,"Male"
"114","2",6949644,"Male"
"115","3",6850296,"Male"
"116","4",6750968,"Male"
"117","5",6651653,"Male"
"118","6",6552355,"Male"
"119","7",6453075,"Male"
"120","8",6353808,"Male"
"121","9",6254557,"Male"
"122","10",6155321,"Male"
"123","11",6056101,"Male"
"124","12",5956894,"Male"
"125","13",5857703,"Male"
"126","14",5758528,"Male"
"127","15",5659376,"Male"
"128","16",5560260,"Male"
"129","17",5461185,"Male"
"130","18",5362166,"Male"
"131","19",5263229,"Male"
"132","20",5164392,"Male"
"133","21",5065664,"Male"
"134","22",4967048,"Male"
"135","23",4868542,"Male"
"136","24",4770149,"Male"
"137","25",4671862,"Male"
"138","26",4573679,"Male"
"139","27",4475604,"Male"
"140","28",4377640,"Male"
"141","29",4279786,"Male"
"142","30",4182046,"Male"
"143","31",4084434,"Male"
"144","32",3986966,"Male"
"145","33",3889647,"Male"
"146","34",3792486,"Male"
"147","35",3695496,"Male"
"148","36",3598700,"Male"
"149","37",3502106,"Male"
"150","38",3405725,"Male"
"151","39",3309588,"Male"
"152","40",3213730,"Male"
"153","41",3118176,"Male"
"154","42",3022961,"Male"
"155","43",2928126,"Male"
"156","44",2833684,"Male"
"157","45",2739657,"Male"
"158","46",2646101,"Male"
"159","47",2553060,"Male"
"160","48",2460595,"Male"
"161","49",2368772,"Male"
"162","50",2277634,"Male"
"163","51",2187252,"Male"
"164","52",2097703,"Male"
"165","53",2009038,"Male"
"166","54",1921334,"Male"
"167","55",1834668,"Male"
"168","56",1749106,"Male"
"169","57",1664725,"Male"
"170","58",1581620,"Male"
"171","59",1499894,"Male"
"172","60",1419613,"Male"
"173","61",1340848,"Male"
"174","62",1263685,"Male"
"175","63",1188201,"Male"
"176","64",1114498,"Male"
"177","65",1042626,"Male"
"178","66",972687,"Male"
"179","67",904742,"Male"
"180","68",838801,"Male"
"181","69",774955,"Male"
"182","70",713321,"Male"
"183","71",653995,"Male"
"184","72",597031,"Male"
"185","73",542495,"Male"
"186","74",490461,"Male"
"187","75",441007,"Male"
"188","76",394206,"Male"
"189","77",350097,"Male"
"190","78",308738,"Male"
"191","79",270214,"Male"
"192","80",234558,"Male"
"193","81",201794,"Male"
"194","82",171957,"Male"
"195","83",145032,"Male"
"196","84",120966,"Male"
"197","85",99705,"Male"
"198","86",81129,"Male"
"199","87",65099,"Male"
"200","88",51521,"Male"
"201","89",40175,"Male"
"202","90",30844,"Male"
"203","91",23272,"Male"
"204","92",17157,"Male"
"205","93",12359,"Male"
"206","94",8714,"Male"
"207","95",6041,"Male"
"208","96",4124,"Male"
"209","97",2752,"Male"
"210","98",1794,"Male"
"211","99",1142,"Male"
"212","100",709,"Male"
"213","101",429,"Male"
"214","102",253,"Male"
"215","103",146,"Male"
"216","104",82,"Male"
"217","105",45,"Male"
"218","106",24,"Male"
"219","107",12,"Male"
"220","108",6,"Male"
"221","109",3,"Male"
"222","110+",2,"Male"
