DATE,UNEMPLOYED,JOB_OPENINGS
"2000-12-1",5634000,4736000
"2001-1-1",6023000,5385000
"2001-2-1",6089000,4658000
"2001-3-1",6141000,4563000
"2001-4-1",6271000,4901000
"2001-5-1",6226000,4550000
"2001-6-1",6484000,4280000
"2001-7-1",6583000,4499000
"2001-8-1",7042000,4134000
"2001-9-1",7142000,3975000
"2001-10-1",7694000,3605000
"2001-11-1",8003000,3387000
"2001-12-1",8258000,3385000
"2002-1-1",8182000,3759000
"2002-2-1",8215000,3372000
"2002-3-1",8304000,3551000
"2002-4-1",8599000,3472000
"2002-5-1",8399000,3596000
"2002-6-1",8393000,3365000
"2002-7-1",8390000,3411000
"2002-8-1",8304000,3490000
"2002-9-1",8251000,3308000
"2002-10-1",8307000,3535000
"2002-11-1",8520000,3415000
"2002-12-1",8640000,2943000
"2003-1-1",8520000,3824000
"2003-2-1",8618000,3381000
"2003-3-1",8588000,3052000
"2003-4-1",8842000,3340000
"2003-5-1",8957000,3233000
"2003-6-1",9266000,3334000
"2003-7-1",9011000,3270000
"2003-8-1",8896000,3283000
"2003-9-1",8921000,3074000
"2003-10-1",8732000,3205000
"2003-11-1",8576000,3157000
"2003-12-1",8317000,3214000
"2004-1-1",8370000,3459000
"2004-2-1",8167000,3402000
"2004-3-1",8491000,3380000
"2004-4-1",8170000,3629000
"2004-5-1",8212000,3660000
"2004-6-1",8286000,3424000
"2004-7-1",8136000,3934000
"2004-8-1",7990000,3619000
"2004-9-1",7927000,3742000
"2004-10-1",8061000,3792000
"2004-11-1",7932000,3238000
"2004-12-1",7934000,3650000
"2005-1-1",7784000,3670000
"2005-2-1",7980000,3845000
"2005-3-1",7737000,3831000
"2005-4-1",7672000,4243000
"2005-5-1",7651000,3884000
"2005-6-1",7524000,4022000
"2005-7-1",7406000,4319000
"2005-8-1",7345000,4073000
"2005-9-1",7553000,4237000
"2005-10-1",7453000,4277000
"2005-11-1",7566000,4220000
"2005-12-1",7279000,4064000
"2006-1-1",7064000,4298000
"2006-2-1",7184000,4229000
"2006-3-1",7072000,4493000
"2006-4-1",7120000,4680000
"2006-5-1",6980000,4389000
"2006-6-1",7001000,4349000
"2006-7-1",7175000,4154000
"2006-8-1",7091000,4560000
"2006-9-1",6847000,4516000
"2006-10-1",6727000,4472000
"2006-11-1",6872000,4341000
"2006-12-1",6762000,4278000
"2007-1-1",7116000,4630000
"2007-2-1",6927000,4465000
"2007-3-1",6731000,4666000
"2007-4-1",6850000,4824000
"2007-5-1",6766000,4550000
"2007-6-1",6979000,4608000
"2007-7-1",7149000,4490000
"2007-8-1",7067000,4555000
"2007-9-1",7170000,4523000
"2007-10-1",7237000,4300000
"2007-11-1",7240000,4156000
"2007-12-1",7645000,4123000
"2008-1-1",7685000,4260000
"2008-2-1",7497000,4042000
"2008-3-1",7822000,4001000
"2008-4-1",7637000,4098000
"2008-5-1",8395000,3960000
"2008-6-1",8575000,3767000
"2008-7-1",8937000,3821000
"2008-8-1",9438000,3665000
"2008-9-1",9494000,3264000
"2008-10-1",10074000,3292000
"2008-11-1",10538000,2956000
"2008-12-1",11286000,2830000
"2009-1-1",12058000,2767000
"2009-2-1",12898000,2791000
"2009-3-1",13426000,2491000
"2009-4-1",13853000,2357000
"2009-5-1",14499000,2427000
"2009-6-1",14707000,2428000
"2009-7-1",14601000,2196000
"2009-8-1",14814000,2306000
"2009-9-1",15009000,2478000
"2009-10-1",15352000,2400000
"2009-11-1",15219000,2350000
"2009-12-1",15098000,2407000
"2010-1-1",15046000,2636000
"2010-2-1",15113000,2578000
"2010-3-1",15202000,2666000
"2010-4-1",15325000,3220000
"2010-5-1",14849000,2891000
"2010-6-1",14474000,2664000
"2010-7-1",14512000,2965000
"2010-8-1",14648000,2920000
"2010-9-1",14579000,2767000
"2010-10-1",14516000,3033000
"2010-11-1",15081000,2914000
"2010-12-1",14348000,2857000
"2011-1-1",14013000,2940000
"2011-2-1",13820000,3062000
"2011-3-1",13737000,3132000
"2011-4-1",13957000,3286000
"2011-5-1",13855000,3114000
"2011-6-1",13962000,3223000
"2011-7-1",13763000,3476000
"2011-8-1",13818000,3176000
"2011-9-1",13948000,3494000
"2011-10-1",13594000,3422000
"2011-11-1",13302000,3152000
"2011-12-1",13093000,3372000
"2012-1-1",12797000,3725000
"2012-2-1",12813000,3497000
"2012-3-1",12713000,3830000
"2012-4-1",12646000,3641000
"2012-5-1",12660000,3693000
"2012-6-1",12692000,3800000
"2012-7-1",12656000,3694000
"2012-8-1",12471000,3684000
"2012-9-1",12115000,3521000
"2012-10-1",12124000,3708000
"2012-11-1",12005000,3542000
"2012-12-1",12298000,3570000
"2013-1-1",12471000,3805000
"2013-2-1",11950000,3970000
"2013-3-1",11689000,3922000
"2013-4-1",11760000,3935000
"2013-5-1",11654000,3885000
"2013-6-1",11751000,3903000
"2013-7-1",11335000,3872000
"2013-8-1",11279000,3914000
"2013-9-1",11270000,3937000
"2013-10-1",11136000,4108000
"2013-11-1",10787000,3845000
"2013-12-1",10404000,3782000
"2014-1-1",10235000,3989000
"2014-2-1",10365000,4145000
"2014-3-1",10435000,4204000
"2014-4-1",9724000,4538000
"2014-5-1",9740000,4609000
"2014-6-1",9474000,4676000
"2014-7-1",9610000,4622000
"2014-8-1",9602000,4945000
"2014-9-1",9266000,4588000
"2014-10-1",8972000,4941000
"2014-11-1",9064000,4698000
"2014-12-1",8704000,4819000
"2015-1-1",8951000,5111000
"2015-2-1",8634000,5162000
"2015-3-1",8578000,5182000
"2015-4-1",8546000,5599000
"2015-5-1",8662000,5424000
"2015-6-1",8265000,5165000
"2015-7-1",8206000,5863000
"2015-8-1",7996000,5365000
