Skoczek,Skok,Punkty
Andreas Stjernen,145.0,81.7
Piotr Żyła,141.0,76.9
Stephan Leyhe,139.5,76.6
Daniel Huber,143.5,76.3
Robert Johansson,141.5,74.3
Markus Eisenbichler,140.0,73.4
Daniel Tande,138.0,72.8
Karl Geiger,136.5,67
Jewgienij Klimow,136.0,66.6
Philipp Aschenwald,132.5,64.5
Ryoyu Kobayashi,130.5,62.4
Halvor Egner Granerud,131.0,61.7
Gregor Schlierenzauer,133.5,61.3
Taku Takeuchi,131.0,61.1
Dawid Kubacki,128.5,60.9
Shohei Tochimoto,133.0,60.6
Jernej Damjan,132.0,60.4
Maciej Kot,127.5,59.5
Dimitry Vassiliev,126.0,59.2
Michael Hayboeck,132.0,59.2
