Pozycja,Imię i nazwisko,Majątek (mld dol.),Wiek,Źródło majątku,Filantropia (1-5)
1,Jeff Bezos,160,54,Amazon,2
2,Bill Gates,97,63,Microsoft,5
3,Warren Buffett,88.3,88,Berkshire Hathaway,5
4,Mark Zuckerberg,61,34,Facebook,5
5,Larry Ellison,58.4,74,oprogramowanie,4
6,Larry Page,53.8,45,Google,4
7,Charles Koch,53.5,82,Koch Industries,4
7,David Koch,53.5,78,Koch Industries,4
9,Sergey Brin,52.4,45,Google,4
10,Michael Bloomberg,51.8,76,Bloomberg LP,5
11,Jim Walton,45.2,70,Walmart,2
12,Alice Walton,44.9,69,Walmart,3
12,S. Robson Walton,44.9,74,Walmart,NA
14,Steve Ballmer,42.3,62,Microsoft,4
15,Sheldon Adelson,35.5,85,kasyna,4
16,Phil Knight & family,33.8,80,Nike,4
17,Michael Dell,27.6,53,Dell computers,5
18,Jacqueline Mars,24,79,Mars,2
18,John Mars,24,83,Mars,2
20,Laurene Powell Jobs & family,20.5,54,Apple. Disney,5
21,Paul Allen,20.3,65,Microsoft. inwestycje,5
22,Thomas Peterffy,20.2,74,trading,NA
23,Jim Simons,20,80,fundusze hedgingowe,5
24,Elon Musk,19.6,47,Tesla Motors,1
25,Ray Dalio,18.1,69,fundusze hedgingowe,4
26,Rupert Murdoch & family,18,87,media,1
27,Len Blavatnik,17.9,61,zdywersyfikowane,3
28,Abigail Johnson,17.3,56,zarządzanie kapitałem,3
29,Harold Hamm & family,17.2,72,ropa i gaz,2
30,Donald Bren,16.4,86,nieruchomości,4
31,Carl Icahn,16.3,82,inwestycje,4
32,Lukas Walton,15.3,32,Walmart,1
33,Eric Schmidt,14.4,63,Google,3
34,Stephen Schwarzman,13.8,71,inwestycje,3
35,Leonard Lauder,13.4,81,Estee Lauder,4
36,Steve Cohen,13,62,fundusze hedgingowe,3
37,Thomas Frist. Jr. & family,11.9,80,szpitale,2
38,Pierre Omidyar,11.6,51,eBay,5
38,David Tepper,11.6,61,fundusze hedgingowe,3
40,Philip Anschutz,11.3,78,inwestycje,5
41,John Menard. Jr.,11,78,handel,1
41,Donald Newhouse,11,89,media,2
43,Dustin Moskovitz,10.9,34,Facebook,5
44,Charles Ergen,10.8,65,TV satelitarna,3
45,Ken Griffin,10,50,fundusze hedgingowe,4
46,Andrew Beal,9.9,65,banki. nieruchomości,1
47,David Duffield,9.6,78,oprogramowanie,4
47,Jan Koum,9.6,42,WhatsApp,5
49,Micky Arison,9.4,69,Carnival Cruises,3
49,Gordon Moore,9.4,89,Intel,5
49,Ronald Perelman,9.4,75,przejęcia,3
52,Jim Kennedy,9.3,70,media. motoryzacja,2
52,Blair Parry-Okeden,9.3,68,media. motoryzacja,2
52,Charles Schwab,9.3,81,trading,3
55,James Goodnight,8.9,75,oprogramowanie,3
56,David Geffen,8.7,75,filmy. branża muzyczna,4
57,Edward Johnson. III.,8.6,88,zarządzanie kapitałem,3
58,Stanley Kroenke,8.5,71,sport. nieruchomości,1
59,Carl Cook,8.4,56,urządzenia medyczna,NA
60,Herbert Kohler. Jr. & family,8.3,79,narzędzia hydrauliczne,1
60,George Soros,8.3,88,fundusze hedgingowe,5
62,George Kaiser,8.2,76,ropa i gaz. banki,5
63,John Doerr,7.9,67,venture capital,2
64,Pauline MacMillan Keinath,7.8,84,Cargill,NA
65,Shahid Khan,7.6,68,części samochodowe,2
65,Stephen Ross,7.6,78,nieruchomości,4
67,John Malone,7.5,77,telewizja kablowa,3
68,Hank & Doug Meijer,7.3,,handel,3
68,Patrick Soon-Shiong,7.3,66,farmaceutyki,2
70,Christy Walton,7.2,69,Walmart,1
71,Daniel Gilbert,7.1,56,Quicken Loans,3
71,Ralph Lauren,7.1,79,Ralph Lauren,3
73,David Green & family,7,76,handel,4
73,Tom & Judy Love,7,81,handel. stacje paliw,1
75,Jerry Jones,6.9,76,Dallas Cowboys,2
76,Leon Black,6.8,67,private equity,3
76,Diane Hendricks,6.8,71,materiały budowlane,2
78,Eli Broad,6.7,85,inwestycje,5
79,Jensen Huang,6.6,55,półprzewodniki,3
79,Richard Kinder,6.6,74,rurociągi,3
79,Robert Kraft,6.6,77,New England Patriots,4
79,John A. Sobrato & family,6.6,79,nieruchomości,4
83,Ann Walton Kroenke,6.5,69,Walmart,1
84,Marc Benioff,6.4,54,business oprogramowanie,4
85,Jack Dorsey,6.3,41,Twitter. Square,3
85,Whitney MacMillan,6.3,89,Cargill,3
85,David Shaw,6.3,67,fundusze hedgingowe,2
88,Dannine Avara,6.2,54,rurociągi,2
88,James Chambers,6.2,61,media. motoryzacja,NA
88,Scott Duncan,6.2,35,rurociągi,2
88,Milane Frantz,6.2,49,rurociągi,2
88,John Paulson,6.2,62,fundusze hedgingowe,4
88,Steven Rales,6.2,67,przemysł,3
88,Katharine Rayner,6.2,73,media. motoryzacja,NA
88,Margaretta Taylor,6.2,76,media. motoryzacja,NA
88,Dennis Washington,6.2,84,budownictwo. górnictwo,4
88,Randa Williams,6.2,57,rurociągi,2
98,Israel Englander,6,70,fundusze hedgingowe,2
98,Richard LeFrak & family,6,73,nieruchomości,2
98,Marijke Mars,6,54,Mars,NA
