Rok	Urodzenia	Zgony
1990	547720	390300
1991	547719	405700
1992	515214	394700
1993	494310	392300
1994	481285	386400
1995	433109	386100
1996	428203	385500
1997	412635	380200
1998	395619	375300
1999	382002	381400
2000	378348	368000
2001	368205	363200
2002	353765	359500
2003	351072	365200
2004	356131	363500
2005	364383	368300
2006	374244	369700
2007	387873	377200
2008	414499	379400
2009	417589	384900
2010	413300	378500
2011	388416	375500
2012	386257	384800
2013	369576	387300
2014	375160	376500
2015	369308	394921
2016	382257	388009
2017	402000	402900
