x;y;z
8;1;1
10;1;1
12;1;1
14;1;1
16;2;1
18;3;1
20;4;1
21;6;1
22;7;1
22;9;1
22;11;1
22;13;1
21;15;1
19;16;1
17;17;1
15;17;1
13;16;1
12;15;1
11;14,5;1
10;15;1
8;15,5;1
6;16;1
4;15;1
3;14;1
2;13;1
1,5;11;1
1,5;9;1
2;7;1
3;5;1
4;3;1
6;2;1
11;15;2
11,3;16;2
11;17;2
11;18;2
10,5;19;2
10;18;2
9;18;2
10;17;2
10,5;16;2
9;12;3
9;10;3
8,5;11;3
8;10;3
9,5;11;3
10;10;3
14;10;3
14,5;11;3
15;10;3
15;12;3
15,5;11;3
16;10;3
12;9;4
11,5;8;4
12,5;8;4
6;7;5
6;6;5
7;6,5;5
7;5;5
8;4,5;5
8;6;5
9;5,5;5
9;4;5
10;3,5;5
10;5,5;5
10;5;5
11;3;5
11;5;5
11;5,5;5
12;3;5
12;5,5;5
13;3;5
13;4;5
13;6;5
14;3,5;5
14;4;5
14;6;5
15;4;5
15;6,5;5
16;5;5
16;6,5;5
16,5;7;5
17;6;5
17,5;7,5;5
18;7;5
18,5;8;5
