Rok,Liczba,Zdarzenie
2017,152,Wypadki
2016,156,Wypadki
2015,141,Wypadki
2014,160,Wypadki
2013,180,Wypadki
2012,221,Wypadki
2011,169,Wypadki
2010,173,Wypadki
2009,286,Wypadki
2008,335,Wypadki
2007,306,Wypadki
2006,271,Wypadki
2005,226,Wypadki
2004,227,Wypadki
2003,319,Wypadki
2002,291,Wypadki
2001,407,Wypadki
2000,358,Wypadki
1999,311,Wypadki
1998,428,Wypadki
1997,317,Wypadki
1996,499,Wypadki
1995,415,Wypadki
1994,321,Wypadki
1993,269,Wypadki
2017,11,Zabici
2016,16,Zabici
2015,20,Zabici
2014,16,Zabici
2013,20,Zabici
2012,15,Zabici
2011,9,Zabici
2010,15,Zabici
2009,18,Zabici
2008,32,Zabici
2007,35,Zabici
2006,28,Zabici
2005,28,Zabici
2004,37,Zabici
2003,29,Zabici
2002,35,Zabici
2001,62,Zabici
2000,30,Zabici
1999,39,Zabici
1998,46,Zabici
1997,35,Zabici
1996,66,Zabici
1995,51,Zabici
1994,48,Zabici
1993,34,Zabici
2017,195,Ranni
2016,193,Ranni
2015,173,Ranni
2014,213,Ranni
2013,215,Ranni
2012,275,Ranni
2011,238,Ranni
2010,241,Ranni
2009,261,Ranni
2008,419,Ranni
2007,354,Ranni
2006,338,Ranni
2005,313,Ranni
2004,326,Ranni
2003,406,Ranni
2002,369,Ranni
2001,505,Ranni
2000,499,Ranni
1999,424,Ranni
1998,547,Ranni
1997,403,Ranni
1996,527,Ranni
1995,545,Ranni
1994,401,Ranni
1993,336,Ranni
