Week,"Scary Movies"
2013-11-10,20
2013-11-17,19
2013-11-24,27
2013-12-01,18
2013-12-08,20
2013-12-15,20
2013-12-22,32
2013-12-29,37
2014-01-05,27
2014-01-12,20
2014-01-19,24
2014-01-26,23
2014-02-02,21
2014-02-09,23
2014-02-16,24
2014-02-23,21
2014-03-02,25
2014-03-09,25
2014-03-16,27
2014-03-23,30
2014-03-30,32
2014-04-06,31
2014-04-13,36
2014-04-20,31
2014-04-27,26
2014-05-04,24
2014-05-11,27
2014-05-18,27
2014-05-25,33
2014-06-01,29
2014-06-08,38
2014-06-15,34
2014-06-22,38
2014-06-29,40
2014-07-06,37
2014-07-13,35
2014-07-20,34
2014-07-27,33
2014-08-03,33
2014-08-10,30
2014-08-17,28
2014-08-24,27
2014-08-31,29
2014-09-07,29
2014-09-14,32
2014-09-21,34
2014-09-28,45
2014-10-05,49
2014-10-12,53
2014-10-19,53
2014-10-26,89
2014-11-02,28
2014-11-09,22
2014-11-16,19
2014-11-23,25
2014-11-30,19
2014-12-07,21
2014-12-14,23
2014-12-21,30
2014-12-28,37
2015-01-04,25
2015-01-11,25
2015-01-18,28
2015-01-25,25
2015-02-01,24
2015-02-08,27
2015-02-15,30
2015-02-22,27
2015-03-01,24
2015-03-08,27
2015-03-15,26
2015-03-22,27
2015-03-29,28
2015-04-05,25
2015-04-12,24
2015-04-19,27
2015-04-26,26
2015-05-03,26
2015-05-10,29
2015-05-17,34
2015-05-24,41
2015-05-31,34
2015-06-07,30
2015-06-14,33
2015-06-21,35
2015-06-28,36
2015-07-05,37
2015-07-12,35
2015-07-19,36
2015-07-26,36
2015-08-02,38
2015-08-09,37
2015-08-16,35
2015-08-23,33
2015-08-30,30
2015-09-06,37
2015-09-13,34
2015-09-20,33
2015-09-27,43
2015-10-04,52
2015-10-11,54
2015-10-18,61
2015-10-25,100
2015-11-01,49
2015-11-08,28
2015-11-15,24
2015-11-22,31
2015-11-29,23
2015-12-06,22
2015-12-13,24
2015-12-20,31
2015-12-27,42
2016-01-03,31
2016-01-10,30
2016-01-17,35
2016-01-24,29
2016-01-31,27
2016-02-07,25
2016-02-14,28
2016-02-21,25
2016-02-28,27
2016-03-06,27
2016-03-13,31
2016-03-20,32
2016-03-27,32
2016-04-03,29
2016-04-10,28
2016-04-17,27
2016-04-24,30
2016-05-01,31
2016-05-08,41
2016-05-15,39
2016-05-22,39
2016-05-29,42
2016-06-05,45
2016-06-12,44
2016-06-19,39
2016-06-26,42
2016-07-03,43
2016-07-10,38
2016-07-17,37
2016-07-24,41
2016-07-31,38
2016-08-07,32
2016-08-14,29
2016-08-21,32
2016-08-28,34
2016-09-04,39
2016-09-11,34
2016-09-18,36
2016-09-25,40
2016-10-02,56
2016-10-09,57
2016-10-16,59
2016-10-23,68
2016-10-30,77
2016-11-06,26
2016-11-13,26
2016-11-20,35
2016-11-27,25
2016-12-04,28
2016-12-11,28
2016-12-18,37
2016-12-25,48
2017-01-01,46
2017-01-08,45
2017-01-15,44
2017-01-22,40
2017-01-29,35
2017-02-05,33
2017-02-12,31
2017-02-19,37
2017-02-26,29
2017-03-05,32
2017-03-12,36
2017-03-19,31
2017-03-26,38
2017-04-02,36
2017-04-09,34
2017-04-16,33
2017-04-23,33
2017-04-30,35
2017-05-07,37
2017-05-14,36
2017-05-21,42
2017-05-28,46
2017-06-04,44
2017-06-11,41
2017-06-18,47
2017-06-25,46
2017-07-02,50
2017-07-09,47
2017-07-16,46
2017-07-23,49
2017-07-30,46
2017-08-06,48
2017-08-13,47
2017-08-20,38
2017-08-27,38
2017-09-03,51
2017-09-10,47
2017-09-17,40
2017-09-24,39
2017-10-01,50
2017-10-08,66
2017-10-15,57
2017-10-22,60
2017-10-29,68
2017-11-05,24
2017-11-12,22
2017-11-19,27
2017-11-26,21
2017-12-03,20
2017-12-10,22
2017-12-17,26
2017-12-24,36
2017-12-31,38
2018-01-07,28
2018-01-14,32
2018-01-21,25
2018-01-28,27
2018-02-04,27
2018-02-11,27
2018-02-18,29
2018-02-25,27
2018-03-04,35
2018-03-11,36
2018-03-18,35
2018-03-25,36
2018-04-01,36
2018-04-08,39
2018-04-15,33
2018-04-22,27
2018-04-29,26
2018-05-06,26
2018-05-13,26
2018-05-20,27
2018-05-27,36
2018-06-03,37
2018-06-10,44
2018-06-17,40
2018-06-24,40
2018-07-01,44
2018-07-08,42
2018-07-15,40
2018-07-22,39
2018-07-29,37
2018-08-05,37
2018-08-12,37
2018-08-19,30
2018-08-26,34
2018-09-02,44
2018-09-09,40
2018-09-16,38
2018-09-23,42
2018-09-30,60
2018-10-07,70
2018-10-14,70
2018-10-21,74
2018-10-28,88
