Year;Expenditure;Type
2010;0,99;Adult costumes
2010;0,84;Children costumes
2010;0,22;Pet costumes
2011;1,21;Adult costumes
2011;1;Children costumes
2011;0,31;Pet costumes
2012;1,4;Adult costumes
2012;1,1;Children costumes
2012;0,37;Pet costumes
2013;1,22;Adult costumes
2013;1,04;Children costumes
2013;0,33;Pet costumes
2014;1,38;Adult costumes
2014;1,06;Children costumes
2014;0,35;Pet costumes
2015;1,22;Adult costumes
2015;0,95;Children costumes
2015;0,35;Pet costumes
2016;1,54;Adult costumes
2016;1,17;Children costumes
2016;0,42;Pet costumes
2017;1,68;Adult costumes
2017;1,23;Children costumes
2017;0,44;Pet costumes
