"Timestamp","Płeć","Wiek","Które miasto jest największe?","Które miasto jest najmniejsze?","Które miasto ma większą powierzchnię, Wrocław, czy Łódź?","Które miasto ma większą powierzchnię, Wrocław, czy Gdańsk?","Które miasto jest największe?","Które miasto jest najmniejsze?","Które miasto ma większą powierzchnię, Wrocław, czy Łódź?","Które miasto ma większą powierzchnię, Wrocław, czy Gdańsk?","Które miasto jest największe?","Które miasto jest najmniejsze?","Które miasto ma większą powierzchnię, Wrocław, czy Łódź?","Które miasto ma większą powierzchnię, Wrocław, czy Gdańsk?","Który wykres był najbardziej przejrzysty i zrozumiały?"
"2018/11/16 12:08:15 PM GMT+1","Kobieta","20-40 lat","Trudno powiedzieć","Katowice","Trudno powiedzieć","Wrocław","Trudno powiedzieć","Katowice","Trudno powiedzieć","Wrocław","Kraków","Katowice","Łódź","Wrocław","Wykres słupkowy"
"2018/11/16 12:08:53 PM GMT+1","Mężczyzna","20-40 lat","Kraków","Katowice","Trudno powiedzieć","Trudno powiedzieć","Kraków","Katowice","Trudno powiedzieć","Trudno powiedzieć","Kraków","Katowice","Łódź","Wrocław","Wykres słupkowy"
"2018/11/16 12:14:37 PM GMT+1","Mężczyzna","20-40 lat","Kraków","Katowice","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Katowice","Trudno powiedzieć","Trudno powiedzieć","Kraków","Katowice","Łódź","Wrocław","Wykres słupkowy"
"2018/11/16 12:15:30 PM GMT+1","Kobieta","20-40 lat","Trudno powiedzieć","Katowice","Trudno powiedzieć","Trudno powiedzieć","Kraków","Katowice","Trudno powiedzieć","Trudno powiedzieć","Kraków","Katowice","Łódź","Wrocław","Wykres słupkowy"
"2018/11/16 12:15:49 PM GMT+1","Mężczyzna","20-40 lat","Łódź","Łódź","Łódź","Gdańsk","Kraków","Poznań","Łódź","Wrocław","Wrocław","Gdańsk","Łódź","Gdańsk","Trudno powiedzieć"
"2018/11/16 12:18:09 PM GMT+1","Kobieta","20-40 lat","Kraków","Katowice","Łódź","Trudno powiedzieć","Kraków","Katowice","Łódź","Wrocław","Kraków","Katowice","Łódź","Wrocław","Wykres słupkowy"
"2018/11/16 12:18:36 PM GMT+1","Mężczyzna","poniżej 20 lat","Kraków","Katowice","Łódź","Wrocław","Kraków","Katowice","Łódź","Wrocław","Kraków","Katowice","Łódź","Wrocław","Wykres słupkowy"
"2018/11/16 12:20:34 PM GMT+1","Kobieta","20-40 lat","Kraków","Katowice","Łódź","Wrocław","Kraków","Katowice","Łódź","Wrocław","Kraków","Katowice","Łódź","Wrocław","Wykres słupkowy"
"2018/11/16 12:27:36 PM GMT+1","Mężczyzna","20-40 lat","Kraków","Katowice","Wrocław","Trudno powiedzieć","Kraków","Katowice","Łódź","Trudno powiedzieć","Kraków","Katowice","Łódź","Wrocław","Wykres słupkowy"
"2018/11/16 12:35:05 PM GMT+1","Mężczyzna","20-40 lat","Kraków","Katowice","Trudno powiedzieć","Trudno powiedzieć","Kraków","Katowice","Łódź","Trudno powiedzieć","Kraków","Katowice","Łódź","Wrocław","Wykres słupkowy"
"2018/11/16 12:39:18 PM GMT+1","Kobieta","20-40 lat","Kraków","Katowice","Wrocław","Wrocław","Kraków","Katowice","Łódź","Wrocław","Kraków","Katowice","Łódź","Wrocław","Wykres słupkowy"
"2018/11/16 12:40:29 PM GMT+1","Mężczyzna","20-40 lat","Kraków","Katowice","Trudno powiedzieć","Trudno powiedzieć","Poznań","Katowice","Trudno powiedzieć","Trudno powiedzieć","Kraków","Katowice","Łódź","Wrocław","Wykres słupkowy"
"2018/11/16 12:50:34 PM GMT+1","Kobieta","20-40 lat","Kraków","Katowice","Łódź","Trudno powiedzieć","Kraków","Katowice","Trudno powiedzieć","Trudno powiedzieć","Kraków","Katowice","Łódź","Wrocław","Wykres słupkowy"
"2018/11/16 1:00:56 PM GMT+1","Mężczyzna","20-40 lat","Kraków","Katowice","Trudno powiedzieć","Trudno powiedzieć","Kraków","Gdańsk","Trudno powiedzieć","Trudno powiedzieć","Łódź","Katowice","Łódź","Trudno powiedzieć","Wykres kołowy numer 1"
"2018/11/16 1:42:03 PM GMT+1","Mężczyzna","poniżej 20 lat","Kraków","Katowice","Trudno powiedzieć","Wrocław","Kraków","Katowice","Wrocław","Wrocław","Kraków","Katowice","Łódź","Wrocław","Wykres słupkowy"
"2018/11/16 3:24:28 PM GMT+1","Mężczyzna","20-40 lat","Trudno powiedzieć","Katowice","Trudno powiedzieć","Trudno powiedzieć","Trudno powiedzieć","Katowice","Trudno powiedzieć","Trudno powiedzieć","Kraków","Katowice","Łódź","Wrocław","Wykres słupkowy"
"2018/11/16 6:02:21 PM GMT+1","Kobieta","poniżej 20 lat","Kraków","Katowice","Trudno powiedzieć","Wrocław","Kraków","Katowice","Trudno powiedzieć","Wrocław","Kraków","Katowice","Łódź","Wrocław","Wykres słupkowy"
"2018/11/16 7:18:32 PM GMT+1","Mężczyzna","poniżej 20 lat","Kraków","Katowice","Łódź","Trudno powiedzieć","Kraków","Katowice","Łódź","Wrocław","Kraków","Katowice","Trudno powiedzieć","Wrocław","Wykres kołowy numer 2"
"2018/11/16 9:35:02 PM GMT+1","Kobieta","20-40 lat","Kraków","Katowice","Trudno powiedzieć","Trudno powiedzieć","Kraków","Katowice","Trudno powiedzieć","Trudno powiedzieć","Kraków","Katowice","Łódź","Wrocław","Wykres słupkowy"
"2018/11/18 4:22:28 PM GMT+1","Kobieta","20-40 lat","Kraków","Katowice","Łódź","Wrocław","Kraków","Katowice","Łódź","Wrocław","Kraków","Katowice","Łódź","Wrocław","Wykres słupkowy"
