"Sygnatura czasowa","Płeć","Wiek","Bierzemy pod uwagę liczbę kobiet. Która grupa jest druga co do liczności?","Bierzemy pod uwagę liczbę kobiet. Która grupa jest druga co do liczności?","Która grupa jest szósta (6) co do liczności?","Która grupa jest szósta (6) co do liczności?","Kiedy dokonano pierwszego pomiaru?"
"2018/11/17 5:48:58 PM CET","Mężczyzna","22","Płacze","Śpi","Kat","Grudzień","2018-05-14 12:27 CET"
"2018/11/17 5:49:05 PM CET","Kobieta","21","Pisze kolosa","Słucha","Rogownik","Marzec","2018-05-14 12:36 CET"
"2018/11/17 5:49:12 PM CET","Kobieta","20","Płacze","Śpi","Kat","Grudzień","2018-05-16 12:27 CET"
"2018/11/17 5:49:49 PM CET","Mężczyzna","23","Płacze","Śpi","Rogownik","Marzec","2018-05-16 12:27 CET"
"2018/11/17 5:49:53 PM CET","Kobieta","20","Ściąga","Śpi","Rogownik","Grudzień","2018-05-16 12:27 CET"
"2018/11/17 5:50:16 PM CET","Mężczyzna","20","Ściąga","Śpi","Rogownik","Marzec","2018-05-14 12:27 CET"
"2018/11/17 5:52:10 PM CET","Mężczyzna","19","Ściąga","Śpi","Słuchawka","Marzec","2018-05-16 12:27 CET"
"2018/11/17 5:52:28 PM CET","Kobieta","22","Ściąga","Śpi","Kat","Marzec","2018-05-14 12:27 CET"
"2018/11/17 5:52:29 PM CET","Mężczyzna","20","Płacze","Śpi","Kat","Marzec","2018-05-16 12:27 CET"
"2018/11/17 5:53:05 PM CET","Kobieta","19","Pisze kolosa","Śpi","Dopełniacz","Marzec","2018-05-14 12:27 CET"
"2018/11/17 5:53:16 PM CET","Kobieta","18","Płacze","Śpi","Osiłek","Marzec","2018-05-16 12:27 CET"
"2018/11/17 5:56:29 PM CET","Kobieta","21","Ściąga","Śpi","Rogownik","Marzec","2018-05-16 12:27 CET"
"2018/11/17 5:57:24 PM CET","Kobieta","22","Płacze","Śpi","Osiłek","Grudzień","2018-05-14 12:27 CET"
"2018/11/17 5:58:13 PM CET","Kobieta","26","Płacze","Śpi","Kat","Grudzień","2018-05-16 12:27 CET"
"2018/11/17 5:59:20 PM CET","Kobieta","19","Ściąga","Śpi","Rogownik","Marzec","2018-05-16 12:27 CET"
"2018/11/17 6:01:42 PM CET","Mężczyzna","24","Płacze","Śpi","Kat","Marzec","2018-05-16 12:27 CET"
"2018/11/17 6:05:35 PM CET","Kobieta","19","Płacze","Śpi","Kat","Marzec","2018-05-16 12:27 CET"
"2018/11/17 6:06:40 PM CET","Kobieta","22","Płacze","Robi notatki","Rogownik","Lipiec","2018-05-16 12:27 CET"
"2018/11/17 6:14:09 PM CET","Mężczyzna","23","Pisze kolosa","Śpi","Rogownik","Marzec","2018-05-14 12:27 CET"
"2018/11/17 6:22:31 PM CET","Kobieta","20","Ściąga","Śpi","Osiłek","Grudzień","2018-05-16 12:27 CET"
"2018/11/17 6:28:10 PM CET","Kobieta","22","Płacze","Śpi","Osiłek","Marzec","2018-05-14 12:27 CET"
"2018/11/17 6:48:26 PM CET","Kobieta","19","Płacze","Śpi","Rogownik","Marzec","2018-05-16 12:27 CET"
"2018/11/17 6:55:26 PM CET","Kobieta","21","Płacze","Śpi","Kat","Grudzień","2018-05-14 12:36 CET"
"2018/11/17 7:07:01 PM CET","Kobieta","19","Ściąga","Słucha","Waltornista","Grudzień","2018-05-16 12:27 CET"
"2018/11/17 7:19:08 PM CET","Kobieta","24","Pisze kolosa","Słucha","Dyplomata","Grudzień","2018-05-14 12:27 CET"
"2018/11/17 7:21:43 PM CET","Kobieta","21","Ściąga","Robi notatki","Rogownik","Styczeń","2018-05-16 12:27 CET"
"2018/11/17 7:24:41 PM CET","Kobieta","20","Płacze","Słucha","Waltornista","Grudzień","2018-05-16 12:27 CET"
"2018/11/17 7:29:09 PM CET","Mężczyzna","20","Płacze","Śpi","Śmigacz","Grudzień","2018-05-16 12:27 CET"
"2018/11/17 7:48:04 PM CET","Kobieta","21","Płacze","Śpi","Rogownik","Marzec","2018-05-16 12:27 CET"
"2018/11/17 7:56:17 PM CET","Mężczyzna","24","Ściąga","Śpi","Rogownik","Marzec","2018-05-16 12:27 CET"
"2018/11/17 8:00:15 PM CET","Kobieta","19","Płacze","Śpi","Handlarz","Grudzień","2018-05-14 12:27 CET"
"2018/11/17 8:09:20 PM CET","Kobieta","23","Pisze kolosa","Robi notatki","Patron","Sierpień","2018-05-14 12:36 CET"
"2018/11/17 8:39:42 PM CET","Kobieta","22","Płacze","Śpi","Rogownik","Marzec","2018-05-14 12:27 CET"
"2018/11/17 8:41:55 PM CET","Kobieta","20","Płacze","Śpi","Śmigacz","Marzec","2018-05-14 12:27 CET"
"2018/11/17 8:44:52 PM CET","Mężczyzna","20","Ściąga","Śpi","Kat","Marzec","2018-05-16 12:27 CET"
"2018/11/17 8:48:23 PM CET","Mężczyzna","20","Ściąga","Śpi","Kat","Marzec","2018-05-16 12:27 CET"
"2018/11/17 9:02:40 PM CET","Kobieta","22","Płacze","Śpi","Osiłek","Marzec","2018-05-16 12:27 CET"
"2018/11/17 9:05:11 PM CET","Kobieta","24","Ściąga","Śpi","Rogownik","Marzec","2018-05-14 12:27 CET"
"2018/11/17 9:10:51 PM CET","Mężczyzna","20","Ściąga","Śpi","Śmigacz","Marzec","2018-05-16 12:27 CET"
"2018/11/17 9:14:58 PM CET","Kobieta","22","Płacze","Śpi","Osiłek","Marzec","2018-05-14 12:36 CET"
