Który region jest najszczęśliwszy?,Który kolor zwrócił Twoją uwagę jako pierwszy?,Czy 2 najciemniejsze kolory miały większą powierzchnie niż 2 najjaśniejsze kolory?,Który region jest najszczęśliwszy?,Który region miał najwięcej krajów?,Który region miał największą różnicę pomiędzy najbardziej i najmniej zadowolonym krajem?
Ameryka Pn,Czerwony,Nie,Australia i NZ,Afryka Pd,Bliski Wsch i Afryka Pn
Australia i NZ,Czarny,Tak,Europa Zach,Afryka Pd,Ameryka Pd
Ameryka Pn,Czarny,Tak,Australia i NZ,Ameryka Pd,Azja Pd-Wsch
Ameryka Pn,Czarny,Tak,Australia i NZ,Afryka Pd,Azja Pd-Wsch
Australia i NZ,Czarny,Tak,Ameryka Pn,Afryka Pd,Bliski Wsch i Afryka Pn
Australia i NZ,Czerwony,Tak,Australia i NZ,Afryka Pd,Bliski Wsch i Afryka Pn
Europa Zach,Czerwony,Tak,Ameryka Pn,Europa Śr-Wsch,Ameryka Pd
Australia i NZ,Czerwony,Nie,Australia i NZ,Afryka Pd,Bliski Wsch i Afryka Pn
Ameryka Pn,Czerwony,Nie,Ameryka Pn,Afryka Pd,Ameryka Pd
Europa Zach,Czarny,Tak,Australia i NZ,Afryka Pd,Bliski Wsch i Afryka Pn
Ameryka Pn,Czarny,Nie,Australia i NZ,Afryka Pd,Bliski Wsch i Afryka Pn
Australia i NZ,Czerwony,Tak,Ameryka Pn,Ameryka Pd,Ameryka Pd
Europa Zach,Czerwony,Nie,Ameryka Pn,Afryka Pd,Bliski Wsch i Afryka Pn
Australia i NZ,Czerwony,Nie,Australia i NZ,Afryka Pd,Bliski Wsch i Afryka Pn
Ameryka Pn,Czerwony,Tak,Australia i NZ,Afryka Pd,Bliski Wsch i Afryka Pn
Australia i NZ,Pomarańczowy,Tak,Ameryka Pn,Europa Śr-Wsch,Bliski Wsch i Afryka Pn
Europa Zach,Czarny,Tak,Australia i NZ,Afryka Pd,Bliski Wsch i Afryka Pn
Ameryka Pn,Czarny,Tak,Australia i NZ,Afryka Pd,Bliski Wsch i Afryka Pn
Europa Zach,Czerwony,Nie,Ameryka Pn,Afryka Pd,Bliski Wsch i Afryka Pn
Ameryka Pn,Czarny,Tak,Ameryka Pn,Afryka Pd,Bliski Wsch i Afryka Pn
