czas,pyt1,pyt2,pyt3,pyt4,pyt5,pyt6
2018-11-17 19:26:34,Bank C,Bank A,Tak,Bank G,Bank E,Wykres nr 3
2018-11-17 19:31:28,Bank A,Bank A,Nie,Bank B,Bank E,Wykres nr 3
2018-11-17 19:38:53,Bank B,Bank A,Nie,Bank G,Bank E,Wykres nr 3
2018-11-17 19:41:30,Bank K,Bank A,Tak,Bank E,Bank E,Wykres nr 3
2018-11-17 20:14:25,Bank B,Bank A,Tak,Bank B,Bank E,Wykres nr 3
2018-11-17 20:42:55,Bank A,Bank A,Tak,Bank B,Bank E,Wykres nr 3
2018-11-17 22:58:48,Bank A,Bank A,Nie,Bank E,Bank E,Wykres nr 3
2018-11-18 15:52:19,Bank A,Bank A,Nie,Bank B,Bank E,Wykres nr 3
2018-11-18 23:00:08,Bank A,Bank A,Tak,Bank B,Bank E,Wykres nr 3
2018-11-19 14:52:22,Bank B,Bank A,Nie,Bank E,Bank E,Wykres nr 3
2018-11-19 15:59:30,Bank A,Bank A,Nie,Bank E,Bank G,Wykres nr 3
2018-11-19 18:48:15,Bank A,Bank A,Tak,Bank B,Bank E,Wykres nr 3
2018-11-20 12:29:21,Bank A,Bank A,Nie,Bank B,Bank E,Wykres nr 3
2018-11-20 12:44:03,Bank A,Bank A,Nie,Bank G,Bank E,Wykres nr 3
2018-11-20 15:39:14,Bank B,Bank A,Tak,Bank B,Bank E,Wykres nr 3
2018-11-20 19:29:37,Bank A,Bank A,Tak,Bank E,Bank E,Wykres nr 3
