Позначка часу,Największa grupa (typ) konsumentów mediów to:,Czy są typy o tej samej liczności?,"Jeśli tak, to które? [Zdigitalizowani]","Jeśli tak, to które? [Niezaangażowani]","Jeśli tak, to które? [Fani YouTube'a]","Jeśli tak, to które? [TV maniacy]","Jeśli tak, to które? [Fani krótkich form]","Jeśli tak, to które? [Pożeracze mediów]",Proszę posortować typy nie rosnąco [1],Proszę posortować typy nie rosnąco [2],Proszę posortować typy nie rosnąco [3],Proszę posortować typy nie rosnąco [4],Proszę posortować typy nie rosnąco [5],Proszę posortować typy nie rosnąco [6]
19.11.2018 07:29:14,Fani YouTube'a,Tak,Zdigitalizowani,"Niezaangażowani, Fani YouTube'a","Niezaangażowani, Fani YouTube'a","TV maniacy, Pożeracze mediów",Fani krótkich form,"TV maniacy, Pożeracze mediów",Fani krótkich form,Zdigitalizowani,Niezaangażowani,Fani YouTube'a,Pożeracze mediów,TV maniacy
19.11.2018 08:19:42,Fani krótkich form,Tak,,"Fani YouTube'a, TV maniacy",,,,,Fani krótkich form,Zdigitalizowani,Fani YouTube'a,Niezaangażowani,TV maniacy,Pożeracze mediów
19.11.2018 08:20:12,"Zdigitalizowani, TV maniacy",Tak,Fani YouTube'a,,"Zdigitalizowani, Fani krótkich form",Pożeracze mediów,Fani YouTube'a,TV maniacy,Zdigitalizowani,TV maniacy,Pożeracze mediów,Niezaangażowani,Fani YouTube'a,Fani krótkich form
19.11.2018 08:57:00,TV maniacy,Może,,,,,Fani YouTube'a,,Fani YouTube'a,Pożeracze mediów,TV maniacy,Fani krótkich form,Zdigitalizowani,Niezaangażowani
19.11.2018 09:07:59,Fani krótkich form,Tak,,,,Zdigitalizowani,,Zdigitalizowani,Fani krótkich form,Zdigitalizowani,Fani YouTube'a,Niezaangażowani,Pożeracze mediów,TV maniacy
19.11.2018 10:04:37,"Fani YouTube'a, Pożeracze mediów",Tak,,,Pożeracze mediów,,,Fani YouTube'a,Fani YouTube'a,Pożeracze mediów,Fani krótkich form,Zdigitalizowani,TV maniacy,Niezaangażowani
19.11.2018 10:37:56,Fani krótkich form,Może,Zdigitalizowani,"Niezaangażowani, Fani YouTube'a","Niezaangażowani, Fani YouTube'a",TV maniacy,Fani krótkich form,Pożeracze mediów,TV maniacy,Pożeracze mediów,Fani YouTube'a,Niezaangażowani,Zdigitalizowani,Fani krótkich form
19.11.2018 12:03:55,Fani YouTube'a,Tak,Zdigitalizowani,"Niezaangażowani, Fani YouTube'a","Niezaangażowani, Fani YouTube'a","TV maniacy, Pożeracze mediów",Fani krótkich form,"TV maniacy, Pożeracze mediów",Fani krótkich form,Zdigitalizowani,Niezaangażowani,Fani YouTube'a,TV maniacy,Pożeracze mediów
19.11.2018 17:48:07,Fani krótkich form,Tak,Fani krótkich form,Fani YouTube'a,,Pożeracze mediów,,,Pożeracze mediów,TV maniacy,Fani YouTube'a,Niezaangażowani,Zdigitalizowani,Fani krótkich form
19.11.2018 17:48:31,Fani krótkich form,Może,"Zdigitalizowani, Fani krótkich form",,,,,,Fani krótkich form,Zdigitalizowani,Niezaangażowani,TV maniacy,Fani YouTube'a,Pożeracze mediów
19.11.2018 17:58:54,"Zdigitalizowani, Fani krótkich form",Może,Fani krótkich form,Fani YouTube'a,,,,,Fani krótkich form,Zdigitalizowani,Niezaangażowani,Fani YouTube'a,TV maniacy,Pożeracze mediów
19.11.2018 19:15:27,Fani krótkich form,Tak,Fani krótkich form,Fani YouTube'a,Niezaangażowani,Pożeracze mediów,Zdigitalizowani,TV maniacy,Fani krótkich form,Zdigitalizowani,Niezaangażowani,Fani YouTube'a,TV maniacy,Pożeracze mediów
19.11.2018 19:41:42,Fani krótkich form,Może,Zdigitalizowani,Niezaangażowani,Fani YouTube'a,"TV maniacy, Pożeracze mediów",Fani krótkich form,Pożeracze mediów,Fani krótkich form,Zdigitalizowani,Fani YouTube'a,TV maniacy,Pożeracze mediów,Niezaangażowani
19.11.2018 19:55:26,Zdigitalizowani,Tak,,,Niezaangażowani,"Niezaangażowani, Fani YouTube'a",,,Pożeracze mediów,Fani YouTube'a,Niezaangażowani,TV maniacy,Zdigitalizowani,Fani krótkich form
