"Timestamp","Jaka jest wartość zmiennej G?","Jaka jest wartość zmiennej A?","Jaka jest wartość zmiennej C?","Jaka jest wartość zmiennej F?","Jaka jest wartość zmiennej D?","Jaka jest wartość zmiennej J?","Jaka jest wartość zmiennej H?","Jaka jest wartość zmiennej B?","Jaka jest wartość zmiennej E?","Jaka jest wartość zmiennej I?"
"2018/11/19 10:05:44 pm CET","0.15","0.01","0.17","0.03","0.04","0.08","0.06","0.025","0.75","0.05"
"2018/11/19 10:11:03 pm CET","1/7","0,04","17,5","3,5","1,5","10","5,25","2,5","7,5","5"
"2018/11/19 10:28:43 pm CET","15","10","15","15","2","10","5.5","0.25","0.07","0.06"
"2018/11/19 10:31:25 pm CET","11","1","5","3","0.01","0.1","0.051","0.025","0.07","0.05"
"2018/11/19 10:40:54 pm CET","12.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001","12","0.166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666","3","1.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069","12.0001010100101010101010101010101010010101010101","0.05501010101010010101001010101010101010101010101001","0.0250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001","0.075","0.050000000000000000000000000000000000000000000000001"
"2018/11/19 10:41:47 pm CET","0.125","0.009","0.166","0.001","0.01","0.08","0.05","0.0025","0.07","0.05"
"2018/11/19 10:45:21 pm CET","0,12","0,07","0,27","0,01","0,005","0,1","0,051","0,025","0,078","0,05"
"2018/11/19 10:47:18 pm CET","0.125","0.00462963","0.16666667","0.03030303","0.0208333","0.1","0.0545","0.0247","0.00777","0.05"
"2018/11/19 10:53:54 pm CET","18","2","8","2","0.01","0.1","0.051","0.025","0.075","0.05"
"2018/11/19 10:57:12 pm CET","0.1875","0.025","0.1527492318479517037906572363105627467856237409186305162837238975649801265783109873694078724652098365471058643089527487230751408239698342675623745938702983678653475983427589207309462743258923095487239408572837465234682036943769063452023965320965320498623094863029348572034958723093487520394857230948572039485720349786320495872340957236340259436230476","0.0314159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745028410270193852110555964462294895493038196442881097566593344612847564823","0.027182818284590452353602874713526624977572470936999595749669676277240766303535475945713821785251664274274663919320030599218174135966290435729003342952605956307381323286279434907632338298807531952510190115738341879307021540891499348841675092447614606680822648001684774118537423454424","0.11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111","sqrt(0.00266)","0.025","0.073","0.0498"
"2018/11/19 11:07:54 pm CET","15.5","3","19","3","4","10","5.5","25","75","5"
"2018/11/19 11:20:29 pm CET","0,15","0,00675c0,45","0,181/","0,083","0,4375","0,1125","0,0505","0,025","0,075","0,05"
"2018/11/19 11:23:07 pm CET","0,15","0,00675c0,45","0,181/","0,083","0,4375","0,1125","0,0505","0,025","0,075","0,05"
"2018/11/19 11:23:36 pm CET","0,15","0,00675c0,45","0,181/","0,083","0,4375","0,1125","0,0505","0,025","0,075","0,05"
"2018/11/20 10:26:23 am CET","15","1","20","1","1","10","5.5","2.5","7.5","5"
"2018/11/20 10:29:09 am CET","1/5","1/10","1/5","1/20","1/20","1/10","1/3","1/5","1/2","1/3"
"2018/11/20 10:37:32 am CET","27","2","16.7","3","1","10","5.5","2.5","7.85","5"
"2018/11/20 10:45:32 am CET","0.1346","0.0064","0.17","0.02","0.015","0.1","0.053","0.025","0.077","0.05"
"2018/11/20 10:57:53 am CET","0.125","0.01","0.2","0.02","0.005","0.1","0.055","0.025","0.075","0.05"
