Jaka jest wartość zmiennej G?,Jaka jest wartość zmiennej A?,Jaka jest wartość zmiennej C?,Jaka jest wartość zmiennej F?,Jaka jest wartość zmiennej D?,Jaka jest wartość zmiennej J?,Jaka jest wartość zmiennej H?,Jaka jest wartość zmiennej B?,Jaka jest wartość zmiennej E?,Jaka jest wartość zmiennej I?
0.15,0.01,0.17,0.03,0.04,0.08,0.06,0.025,0.075,0.05
0.1429,0.04,0.175,0.035,0.015,0.1,0.0525,0.025,0.075,0.05
0.15,0.01,0.15,0.15,0.02,0.1,0.055,0.025,0.07,0.06
0.11,0.01,0.05,0.03,0.01,0.1,0.051,0.025,0.07,0.05
0.12,0.012,0.1667,0.03,0.01,0.12,0.055,0.025,0.075,0.05
0.125,0.009,0.166,0.001,0.01,0.08,0.05,0.025,0.07,0.05
0.12,0.07,0.27,0.01,0.05,0.1,0.051,0.025,0.078,0.05
0.125,0.0046,0.1667,0.0303,0.0208,0.1,0.0545,0.0247,0.0777,0.05
0.18,0.02,0.08,0.02,0.01,0.1,0.051,0.025,0.075,0.05
0.1875,0.025,0.1527,0.0314,0.0272,0.1111,0.0516,0.025,0.073,0.0498
0.155,0.03,0.19,0.03,0.04,0.1,0.055,0.025,0.075,0.05
0.15,0.00675,0.181,0.083,0.04375,0.1125,0.0505,0.025,0.075,0.05
0.15,0.1,0.2,0.01,0.01,0.1,0.055,0.025,0.075,0.05
0.2,0.1,0.2,0.05,0.05,0.1,0.033,0.02,0.05,0.033
0.27,0.2,0.167,0.03,0.01,0.1,0.055,0.025,0.0785,0.05
0.1346,0.0064,0.17,0.02,0.015,0.1,0.053,0.025,0.077,0.05
0.125,0.01,0.2,0.02,0.005,0.1,0.055,0.025,0.075,0.05
