Tabela,Data,Kurs średni,Zmiana
223/A/NBP/2018,2018-11-16,4.8468,-0.45
222/A/NBP/2018,2018-11-15,4.8686,-1.49
221/A/NBP/2018,2018-11-14,4.9424,0.2
220/A/NBP/2018,2018-11-13,4.9325,0.61
219/A/NBP/2018,2018-11-12,4.9027,-0.39
218/A/NBP/2018,2018-11-09,4.9221,-0.2
217/A/NBP/2018,2018-11-08,4.9318,0.17
216/A/NBP/2018,2018-11-07,4.9235,-0.25
215/A/NBP/2018,2018-11-06,4.9359,0.12
214/A/NBP/2018,2018-11-05,4.9302,0.11
213/A/NBP/2018,2018-11-02,4.925,1.23
212/A/NBP/2018,2018-10-31,4.865,0.13
211/A/NBP/2018,2018-10-30,4.8585,-0.1
210/A/NBP/2018,2018-10-29,4.8635,0.08
209/A/NBP/2018,2018-10-26,4.8597,-0.36
208/A/NBP/2018,2018-10-25,4.8773,0.03
207/A/NBP/2018,2018-10-24,4.8758,0.11
206/A/NBP/2018,2018-10-23,4.8704,0.13
205/A/NBP/2018,2018-10-22,4.8642,-0.76
204/A/NBP/2018,2018-10-19,4.9014,0.22
203/A/NBP/2018,2018-10-18,4.8906,0.23
202/A/NBP/2018,2018-10-17,4.8794,0
