"Sygnatura czasowa","Która litera na wykresie oznacza większą wartość?"
"2018/11/11 1:58:06 PM CET","b (kolor niebieski)"
"2018/11/11 2:15:25 PM CET","są sobie równe"
"2018/11/11 2:38:22 PM CET","a (kolor czerwony)"
"2018/11/11 4:29:42 PM CET","są sobie równe"
"2018/11/11 4:29:53 PM CET","są sobie równe"
"2018/11/11 4:29:58 PM CET","są sobie równe"
"2018/11/11 4:36:24 PM CET","są sobie równe"
"2018/11/11 4:40:48 PM CET","są sobie równe"
"2018/11/11 4:42:15 PM CET","b (kolor niebieski)"
"2018/11/11 4:43:00 PM CET","b (kolor niebieski)"
"2018/11/11 4:48:55 PM CET","są sobie równe"
"2018/11/11 8:20:25 PM CET","a (kolor czerwony)"
"2018/11/11 8:21:53 PM CET","są sobie równe"
"2018/11/12 5:09:36 PM CET","są sobie równe"
"2018/11/12 5:10:45 PM CET","są sobie równe"
"2018/11/12 5:11:05 PM CET","b (kolor niebieski)"
"2018/11/12 5:12:49 PM CET","a (kolor czerwony)"
"2018/11/12 5:17:39 PM CET","są sobie równe"
"2018/11/12 5:26:37 PM CET","są sobie równe"
"2018/11/12 5:37:16 PM CET","są sobie równe"
"2018/11/12 5:53:00 PM CET","b (kolor niebieski)"
"2018/11/12 5:53:29 PM CET","są sobie równe"
"2018/11/12 5:56:12 PM CET","b (kolor niebieski)"
"2018/11/12 6:14:10 PM CET","są sobie równe"
"2018/11/12 6:14:27 PM CET","są sobie równe"
"2018/11/12 6:15:34 PM CET","są sobie równe"
