"Sygnatura czasowa","Które województwo ma największą powierzchnie ?","Które województwo ma najmniejszą powierzchnie ?","Która odpowiedź jest poprawna ?","Która odpowiedź jest poprawna ?","Które województwo ma największą powierzchnie ?","Które województwo ma najmniejszą powierzchnie ?","Która odpowiedź jest poprawna ?","Która odpowiedź jest poprawna ?"
"2018/11/18 7:53:51 PM CET","Mazowieckie","Opolskie","Podkarpackie < Pomorskie < Łódzkie","Wamińsko-Mazurskie < Lubelskie < Zachodniopomorskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/18 7:54:47 PM CET","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie","Mazowieckie","Opolskie","Pomorskie < Łódzkie < Podkarpackie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/18 7:55:09 PM CET","Mazowieckie","Opolskie","Łódzkie < Pomorskie < Podkarpackie","Lubelskie < Zachodniopomorskie < Wamińsko-Mazurskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/18 7:55:26 PM CET","Mazowieckie","Opolskie","Podkarpackie < Pomorskie < Łódzkie","Lubelskie < Zachodniopomorskie < Wamińsko-Mazurskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/18 7:57:00 PM CET","Mazowieckie","Opolskie","Podkarpackie < Pomorskie < Łódzkie","Lubelskie < Zachodniopomorskie < Wamińsko-Mazurskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/18 7:58:36 PM CET","Mazowieckie","Śląskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/18 8:05:40 PM CET","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/18 8:09:31 PM CET","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/18 8:12:22 PM CET","Mazowieckie","Śląskie","Podkarpackie < Pomorskie < Łódzkie","Lubelskie < Zachodniopomorskie < Wamińsko-Mazurskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
"2018/11/18 8:13:34 PM CET","Mazowieckie","Opolskie","Podkarpackie < Pomorskie < Łódzkie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie","Mazowieckie","Opolskie","Podkarpackie < Łódzkie < Pomorskie","Zachodniopomorskie < Wamińsko-Mazurskie < Lubelskie"
