WorkTimeInSeconds,Answer.Graph1GroupASize,Answer.Graph1LargerGroup,Answer.Graph1LargestSize,Answer.Graph2GroupASize,Answer.Graph2LargerGroup,Answer.Graph2LargestSize
52,30,B,60,25,B,50
140,10,B,45,10,B,45
179,10,E,15,10,B,25
112,10,E,15,13,B,25
163,16,B,47,25,B,50
160,35,B,50,25,B,50
136,10,B,20,8,B,15
75,15,B,25,15,B,25
132,9,B,9,20,B,20
92,15,B,42,12,B,24
80,15,E,15,20,B,20
215,10,B,25,12,B,30
248,10,B,25,15,B,15
166,20,E,60,45,B,50
218,15,B,40,15,B,40
217,15,B,35,15,B,30
204,15,B,45,15,B,45
201,10,B,30,15,B,35
135,15,B,15,20,B,20
112,7,B,15,30,B,45
154,15,B,25,15,B,25
132,12,E,20,12,E,20
102,20,B,15,20,E,20
261,15,B,35,12,B,30
120,15,B,35,15,B,35
