0.04	2.5	1	1	0.0416	1.85	0.92	1
0.05	2	1	1.3	0.04	2	0.87	1
0.1	1.5	1	1	0.0416	2	0.92	1
0.1	0.5	0.9	1	0.04	0.5	0.92	1
0.1	2	1	1	0.0434	2	1.083	0.166
0.1	2	1	1	0.04	1.9	0.9	1
0.04	1	4	1	0.043	1.9	0.92	1
0.03	1.5	1	1	0.043	1.92	0.88	1
10	1.3	1	1	0.06	2	0.9	1
0.025	2	1	1.25	0.0416	2	0.83	1
0.05	2	1	1	0.0416	0.5	0.92	1
10	2	1	3	25	0.5	1.25	1
1	0.2	1.5	1	50	2	0.9	1
0.1	1.5	1	1	0.1	1.8	0.95	1
0.1	2	1	1	0.4	2	0.9	1
0.057	1.4	1	1	0.086	2	0.875	0.99
0.2	2	1	0.33	0.0434	2	0.923	1
0.025	3	1.5	1	0.0416	2	1.2	1
0.02	1.5	1.8	1	0.416	2	0.923	1
0.1	2.0	1.0	1.0	0.04	2.0	0.92	1.0
0.05	2	1.5	1	0.04	2	0.92	1
0.072	1	5	1	0.042	2	0.84	1
0.10	1.33	1	1	0.04	2.66	0.92	1
0.02	1.75	1.1	0.2	0.04	1.7	0.9	1
0.025	1.8	1.1	0.2	0.043	1.7	0.9	1
1.5	2	1	3.1	0.9	0.6	0.2	1
0.05	1.75	1.2	1	0.042	2	0.923	1
0.04	0.99	1.99	1.33	0.04	2.1	0.8	1
