Sygnatura czasowa,Jaka marka sprzeda³a najwiêcej samochodów marki premium w 2016 roku?,Jaka marka sprzeda³a najmniej samochodów marki premium w 2016 roku?,Czy Audi i Volvo wspólnie sprzeda³y wiêcej samochodów ni¿ BMV?,Ile samochodów marki premium sprzeda³ Mercedes?,Jaka marka sprzeda³a najwiêcej napojów w 2011 roku?,Jaka marka sprzeda³a najmniej napojów w 2011 roku?,Czy Burn i D.M. Tiger sprzeda³y ³¹cznie wiêcej napojów ni¿ Red Bull?,Ile wynios³a sprzeda¿ napoju Burn (w z³) w Polsce w 2011 roku?
2018-11-20 01:53:22,Mercedes,MINI,NIE,Oko³o 90tys,Black,N-Gine,NIE,Oko³o 75 milionów
2018-11-20 08:13:32,BMW,MINI,TAK,Oko³o 73tys,Black,N-Gine,NIE,Oko³o 22 miliony
2018-11-20 09:47:27,BMW,MINI,TAK,Oko³o 11tys,Black,N-Gine,NIE,Oko³o 75 milionów
2018-11-20 12:26:34,Mercedes,MINI,TAK,Oko³o 11tys,Black,N-Gine,NIE,Oko³o 75 milionów
2018-11-20 12:30:59,Mercedes,MINI,NIE,Oko³o 11tys,Black,N-Gine,NIE,Oko³o 420 milionów
2018-11-20 12:32:19,Mercedes,MINI,NIE,Oko³o 11tys,Black,N-Gine,NIE,Oko³o 420 milionów
2018-11-20 12:35:25,Mercedes,MINI,TAK,Oko³o 11tys,Black,N-Gine,NIE,Oko³o 75 milionów
2018-11-20 12:46:13,BMW,MINI,TAK,Oko³o 11tys,Black,N-Gine,NIE,Oko³o 75 milionów
2018-11-20 15:11:56,BMW,MINI,TAK,Oko³o 11tys,Black,N-Gine,NIE,Oko³o 1 miliard z³
2018-11-20 17:43:45,Mercedes,MINI,TAK,Oko³o 90tys,Black,N-Gine,NIE,Oko³o 75 milionów
2018-11-20 18:00:49,BMW,MINI,TAK,Oko³o 90tys,Black,N-Gine,NIE,Oko³o 22 miliony
2018-11-20 20:21:48,Mercedes,MINI,TAK,Oko³o 11tys,Black,N-Gine,NIE,Oko³o 75 milionów
2018-11-20 20:28:24,Audi,Lexus,NIE,Oko³o 11tys,Burn,N-Gine,TAK,Oko³o 420 milionów
2018-11-20 20:47:37,Mercedes,Lexus,TAK,Oko³o 18tys,Black,Mountain Dew,TAK,Oko³o 75 milionów
2018-11-20 20:48:57,Mercedes,MINI,NIE,Oko³o 11tys,Black,N-Gine,NIE,Oko³o 75 milionów
2018-11-20 20:54:13,BMW,Volvo,NIE,Oko³o 90tys,Black,N-Gine,TAK,Oko³o 75 milionów
2018-11-20 21:13:50,Audi,MINI,TAK,Oko³o 73tys,Burn,N-Gine,NIE,Oko³o 75 milionów
