Sygnatura czasowa,Która firma odnotowała największy udział w sprzedaży w 2015 roku?,"Wybierz odpowiedź, w której wybrani producenci są uszeregowani względem udziału od najmniejszego do największego."
2018-11-12 19:24:32,Samsung,"LG, Pozostali, Siemens"
2018-11-12 19:33:10,Samsung,"Pozostali, Siemens, LG"
2018-11-12 19:35:25,Samsung,"LG, Pozostali, Siemens"
2018-11-12 22:53:53,Samsung,"LG, Pozostali, Siemens"
2018-11-13 13:23:35,Samsung,"LG, Pozostali, Siemens"
2018-11-13 13:32:30,Whirlpool,"Siemens, Pozostali, LG"
2018-11-13 13:34:22,Samsung,"LG, Siemens, Pozostali"
2018-11-13 13:34:44,Samsung,"LG, Pozostali, Siemens"
2018-11-13 13:34:57,Whirlpool,"Pozostali, LG, Siemens"
2018-11-13 13:35:06,Samsung,"Pozostali, LG, Siemens"
2018-11-13 13:35:33,Whirlpool,"LG, Pozostali, Siemens"
2018-11-13 13:35:44,Samsung,"LG, Pozostali, Siemens"
2018-11-13 13:36:39,Samsung,"LG, Siemens, Pozostali"
2018-11-13 13:36:55,Whirlpool,"Pozostali, LG, Siemens"
2018-11-13 13:39:03,Whirlpool,"LG, Pozostali, Siemens"
2018-11-13 13:40:39,Samsung,"LG, Pozostali, Siemens"
2018-11-13 13:40:44,Whirlpool,"LG, Pozostali, Siemens"
2018-11-13 13:41:22,Samsung,"LG, Pozostali, Siemens"
2018-11-13 13:44:23,Samsung,"Pozostali, Siemens, LG"
2018-11-13 13:44:32,Samsung,"LG, Pozostali, Siemens"
2018-11-13 13:45:37,Samsung,"Pozostali, LG, Siemens"
2018-11-13 13:47:12,Samsung,"Pozostali, LG, Siemens"
2018-11-13 13:48:14,Samsung,"Pozostali, LG, Siemens"
2018-11-13 13:51:31,Whirlpool,"Pozostali, Siemens, LG"
2018-11-13 13:52:41,Samsung,"LG, Siemens, Pozostali"
2018-11-13 13:52:45,Samsung,"LG, Pozostali, Siemens"
2018-11-13 13:55:15,Whirlpool,"Siemens, LG, Pozostali"
2018-11-13 13:58:49,Samsung,"LG, Pozostali, Siemens"
2018-11-13 13:59:16,Whirlpool,"Pozostali, LG, Siemens"
2018-11-13 13:59:53,Whirlpool,"LG, Pozostali, Siemens"
2018-11-13 14:00:23,Samsung,"LG, Siemens, Pozostali"
2018-11-13 14:03:56,Samsung,"Pozostali, LG, Siemens"
2018-11-13 14:08:05,Samsung,"LG, Siemens, Pozostali"
2018-11-13 14:12:33,Samsung,"Siemens, Pozostali, LG"
2018-11-13 14:34:35,Samsung,"LG, Pozostali, Siemens"
2018-11-13 15:05:07,Samsung,"LG, Pozostali, Siemens"
2018-11-13 15:08:01,Samsung,"LG, Siemens, Pozostali"
2018-11-13 15:22:57,Samsung,"LG, Pozostali, Siemens"
2018-11-13 15:33:44,Samsung,"LG, Siemens, Pozostali"
2018-11-13 15:45:11,Whirlpool,"LG, Pozostali, Siemens"
2018-11-13 16:07:23,Whirlpool,"LG, Siemens, Pozostali"
2018-11-13 16:14:45,Samsung,"LG, Pozostali, Siemens"
2018-11-13 16:45:30,Samsung,"Pozostali, LG, Siemens"
2018-11-13 16:52:53,Samsung,"Pozostali, LG, Siemens"
2018-11-13 17:37:34,Samsung,"LG, Pozostali, Siemens"
2018-11-13 17:39:32,Samsung,"Pozostali, Siemens, LG"
2018-11-14 06:57:13,Whirlpool,"Pozostali, LG, Siemens"
2018-11-14 07:04:43,Samsung,"LG, Pozostali, Siemens"
2018-11-14 09:50:13,Samsung,"Pozostali, LG, Siemens"
2018-11-14 10:52:25,Samsung,"LG, Pozostali, Siemens"
2018-11-14 21:41:39,Whirlpool,"LG, Pozostali, Siemens"
2018-11-16 23:26:05,Samsung,"LG, Siemens, Pozostali"
