Sygnatura czasowa,Z jakiego miasta były dane o mieszkaniach?,Czy liczba mieszkań z 2 pokojami nieprzechodnimi była większa od liczby mieszkań z 3 pokojami?,Czy którekolwiek dwie grupy były równoliczne?,Średnie miesięczne wydatki mieszkańców jakiego miasta przedstawia wykres?,Czy wydatki na wyżywienie były większe niż na transport publiczny?,Czy którekolwiek dwie grupy były równoliczne?,Płeć,Wiek,Wykształcenie (obszar naukowy)
2018-11-12 22:00:46,Kraków,Nie,Nie pamiętam,Lubin,Tak,Tak,Mężczyzna,24,obszar nauk ścisłych
2018-11-12 22:00:58,Nie pamiętam,Nie pamiętam,Nie pamiętam,Lubin,Nie,Tak,Mężczyzna,,obszar nauk ścisłych
2018-11-12 22:01:59,Kraków,Nie,Tak,Lublin,Tak,Tak,Mężczyzna,23,obszar nauk ścisłych
2018-11-12 22:02:29,Kraków,Tak,Nie,Lubin,Tak,Tak,Mężczyzna,,obszar nauk technicznych
2018-11-12 22:02:59,Kraków,Tak,Nie,Lubin,Tak,Tak,Mężczyzna,,obszar nauk ścisłych
2018-11-12 22:03:03,Kraków,Nie pamiętam,Nie pamiętam,Lublin,Tak,Tak,Kobieta,25,obszar nauk ścisłych
2018-11-12 22:05:07,Kraków,Tak,Tak,Lubin,Tak,Tak,Kobieta,23,obszar nauk ścisłych
2018-11-12 22:10:10,Kraków,Tak,Nie,Lublin,Tak,Nie,Mężczyzna,25,obszar nauk ścisłych
2018-11-12 22:11:09,Kraków,Tak,Nie,Lublin,Tak,Tak,Mężczyzna,41,obszar nauk technicznych
2018-11-12 22:12:31,Kraków,Nie pamiętam,Nie,Lublin,Nie,Tak,Mężczyzna,25,obszar nauk ścisłych
2018-11-12 22:12:36,Kraków,Nie,Tak,Lubin,Nie pamiętam,Tak,Kobieta,24,obszar nauk ścisłych
2018-11-12 22:12:46,Kraków,Tak,Nie pamiętam,Lublin,Nie,Tak,Kobieta,23,obszar nauk ścisłych
2018-11-12 22:13:45,Kraków,Tak,Tak,Lubin,Nie,Tak,Kobieta,24,obszar nauk ścisłych
2018-11-12 22:14:21,Kraków,Nie,Nie pamiętam,Lubin,Tak,Nie,Kobieta,21,obszar nauk medycznych i nauk o zdrowiu
2018-11-12 22:17:59,Kraków,Nie pamiętam,Nie,Lubin,Tak,Tak,Mężczyzna,23,obszar nauk ścisłych
2018-11-12 22:19:33,Kraków,Nie pamiętam,Nie,Lubin,Tak,Tak,Mężczyzna,21,obszar nauk technicznych
2018-11-12 22:19:59,Kraków,Tak,Nie,Lublin,Tak,Tak,Kobieta,24,obszar nauk ścisłych
2018-11-12 22:22:02,Kraków,Nie,Nie pamiętam,Lubin,Tak,Tak,Kobieta,31,obszar nauk ścisłych
2018-11-12 22:22:13,Kraków,Nie,Nie,Lublin,Nie,Tak,Mężczyzna,24,obszar nauk ścisłych
2018-11-12 22:26:51,Kraków,Tak,Nie,Lubin,Tak,Tak,Kobieta,24,obszar nauk humanistycznych
2018-11-12 22:29:11,Kraków,Tak,Tak,Lubin,Nie,Tak,Kobieta,25,obszar nauk technicznych
2018-11-12 22:30:50,Kraków,Nie,Tak,Lubin,Nie pamiętam,Tak,Mężczyzna,24,obszar nauk ścisłych
2018-11-12 22:37:31,Kraków,Nie pamiętam,Nie,Lublin,Tak,Tak,Kobieta,25,obszar nauk ścisłych
2018-11-12 22:39:15,Kraków,Tak,Nie pamiętam,Lubin,Tak,Tak,Mężczyzna,24,obszar nauk humanistycznych
2018-11-12 22:41:40,Nie pamiętam,Tak,Nie,Lubin,Tak,Tak,Mężczyzna,22,obszar nauk technicznych
2018-11-12 22:44:03,Kraków,Nie,Nie,Lublin,Tak,Tak,Mężczyzna,33,obszar nauk technicznych
2018-11-12 23:01:57,Kraków,Nie pamiętam,Nie pamiętam,Lublin,Tak,Tak,Kobieta,25,obszar nauk ścisłych
2018-11-12 23:02:49,Kraków,Tak,Nie pamiętam,Lubin,Tak,Tak,Mężczyzna,,obszar nauk technicznych
2018-11-12 23:10:06,Kraków,Nie pamiętam,Tak,Lublin,Tak,Nie,Mężczyzna,24,obszar nauk ścisłych
2018-11-12 23:14:16,Kraków,Tak,Tak,Lubin,Tak,Tak,Kobieta,23,obszar nauk ścisłych
2018-11-12 23:42:14,Kraków,Tak,Nie,Lublin,Tak,Nie,Kobieta,32,obszar nauk technicznych
2018-11-12 23:48:54,Kraków,Nie pamiętam,Nie pamiętam,Lublin,Nie,Tak,Mężczyzna,23,obszar nauk technicznych
2018-11-12 23:51:11,Kraków,Nie,Nie,Lubin,Tak,Tak,Mężczyzna,25,obszar nauk humanistycznych
2018-11-13 00:11:54,Kraków,Nie pamiętam,Nie,Lublin,Nie pamiętam,Tak,Kobieta,24,obszar nauk ścisłych
2018-11-13 02:47:44,Kraków,Nie pamiętam,Tak,Lubin,Nie pamiętam,Tak,Kobieta,22,obszar nauk ścisłych
2018-11-13 05:10:48,Kraków,Tak,Tak,Lublin,Tak,Tak,Kobieta,25,obszar nauk ścisłych
2018-11-13 07:00:05,Nie pamiętam,Nie pamiętam,Nie pamiętam,Lubin,Nie pamiętam,Nie,Kobieta,25,obszar nauk technicznych
2018-11-13 07:37:32,Kraków,Tak,Tak,Lubin,Tak,Tak,Mężczyzna,24,obszar nauk ścisłych
2018-11-13 07:56:08,Kraków,Tak,Nie,Lublin,Tak,Tak,Mężczyzna,22,obszar nauk ścisłych
2018-11-13 08:17:54,Kraków,Tak,Tak,Lubin,Nie,Tak,Kobieta,53,obszar nauk technicznych
2018-11-13 08:21:05,Kraków,Tak,Nie,Lubin,Tak,Tak,Mężczyzna,+30,obszar nauk technicznych
2018-11-13 08:31:02,Kraków,Tak,Nie,Lubin,Tak,Tak,Mężczyzna,27,obszar nauk ścisłych
2018-11-13 08:45:14,Nie pamiętam,Tak,Tak,Lublin,Nie,Tak,Mężczyzna,2x,obszar nauk technicznych
2018-11-13 08:46:37,Kraków,Nie pamiętam,Tak,Lublin,Tak,Tak,Mężczyzna,33,obszar nauk technicznych
2018-11-13 09:13:52,Kraków,Nie pamiętam,Nie,Lubin,Nie,Tak,Mężczyzna,24,obszar nauk ścisłych
2018-11-13 09:50:48,Kraków,Tak,Nie,Lubin,Tak,Tak,Mężczyzna,,obszar nauk ścisłych
2018-11-13 09:52:03,Nie pamiętam,Tak,Tak,Lublin,Tak,Tak,Kobieta,24,obszar nauk ścisłych
2018-11-13 09:56:20,Kraków,Nie,Nie,Lubin,Tak,Tak,Mężczyzna,34,obszar nauk społecznych
2018-11-13 10:06:14,Kraków,Nie pamiętam,Nie,Lubin,Nie pamiętam,Tak,Mężczyzna,36,obszar nauk technicznych
2018-11-13 10:12:20,Kraków,Tak,Nie pamiętam,Lubin,Nie,Tak,Mężczyzna,25,obszar nauk ścisłych
2018-11-13 10:29:26,Kraków,Tak,Tak,Lubin,Tak,Tak,Mężczyzna,27,obszar nauk ścisłych
2018-11-13 10:29:38,Kraków,Tak,Nie,Lubin,Tak,Tak,Mężczyzna,33,obszar nauk ścisłych
2018-11-13 10:34:21,Wrocław,Nie pamiętam,Nie,Gdańsk,Nie,Tak,Kobieta,32,obszar nauk technicznych
2018-11-13 10:51:55,Kraków,Tak,Tak,Lubin,Tak,Tak,Kobieta,26,obszar nauk ścisłych
2018-11-13 10:55:59,Kraków,Tak,Nie,Lublin,Tak,Tak,Kobieta,25,obszar nauk technicznych
2018-11-13 11:00:17,Kraków,Tak,Tak,Lublin,Tak,Tak,Mężczyzna,26,obszar nauk technicznych
2018-11-13 11:21:31,Nie pamiętam,Tak,Nie pamiętam,Lubin,Tak,Nie,Mężczyzna,,obszar nauk społecznych
2018-11-13 12:20:52,Kraków,Nie,Tak,Opole,Nie,Tak,Kobieta,25,obszar nauk ścisłych
2018-11-13 13:34:29,Kraków,Tak,Nie,Lubin,Tak,Tak,Mężczyzna,,obszar nauk technicznych
2018-11-13 13:39:41,Kraków,Nie,Nie,Lublin,Nie,Tak,Kobieta,31,obszar nauk społecznych
2018-11-13 13:41:55,Kraków,Tak,Nie pamiętam,Lubin,Tak,Tak,Mężczyzna,22,obszar nauk ścisłych
2018-11-13 13:58:04,Kraków,Nie,Nie,Lublin,Nie,Tak,Mężczyzna,60,obszar nauk technicznych
2018-11-13 14:21:50,Kraków,Tak,Nie,Lubin,Tak,Tak,Mężczyzna,32,obszar nauk technicznych
2018-11-13 14:21:55,Kraków,Tak,Nie,Lubin,Tak,Tak,Mężczyzna,32,obszar nauk technicznych
2018-11-13 14:31:51,Kraków,Tak,Nie,Lublin,Nie pamiętam,Tak,Kobieta,31,obszar nauk ścisłych
2018-11-13 17:03:17,Kraków,Tak,Tak,Lublin,Tak,Tak,Mężczyzna,58,obszar nauk technicznych
2018-11-13 19:42:57,Kraków,Tak,Nie,Lubin,Tak,Tak,Mężczyzna,24,obszar nauk technicznych
2018-11-13 20:25:15,Kraków,Tak,Nie,Lublin,Tak,Tak,Mężczyzna,25,obszar nauk medycznych i nauk o zdrowiu
2018-11-13 20:46:52,Kraków,Nie,Tak,Lubin,Tak,Nie,Mężczyzna,56,obszar nauk technicznych
2018-11-14 10:06:12,Kraków,Tak,Tak,Lubin,Tak,Tak,Mężczyzna,21,obszar nauk technicznych
2018-11-14 10:32:46,Kraków,Tak,Tak,Lublin,Tak,Tak,Kobieta,24,obszar nauk ścisłych
2018-11-14 10:41:28,Kraków,Tak,Nie,Lublin,Tak,Tak,Kobieta,25,obszar sztuki
2018-11-14 10:46:55,Kraków,Tak,Nie pamiętam,Lublin,Tak,Tak,Mężczyzna,,obszar nauk technicznych
2018-11-14 17:06:51,Kraków,Nie,Nie,Lubin,Tak,Tak,Kobieta,16,obszar nauk ścisłych
2018-11-14 17:22:10,Kraków,Tak,Tak,Lublin,Tak,Tak,Kobieta,16,obszar nauk humanistycznych
2018-11-14 17:50:07,Kraków,Tak,Nie,Lublin,Tak,Nie,Kobieta,14,obszar nauk ścisłych
2018-11-14 18:50:05,Kraków,Tak,Nie,Lublin,Tak,Tak,Kobieta,19,obszar nauk przyrodniczych
2018-11-14 19:12:46,Kraków,Tak,Nie pamiętam,Lubin,Tak,Tak,Kobieta,18,obszar nauk humanistycznych
2018-11-14 20:53:18,Kraków,Tak,Tak,Lubin,Tak,Nie,Kobieta,43,obszar nauk humanistycznych
2018-11-14 21:00:48,Kraków,Nie pamiętam,Nie,Lublin,Nie pamiętam,Tak,Kobieta,25,obszar nauk technicznych
2018-11-15 15:46:44,Kraków,Tak,Nie pamiętam,Lublin,Tak,Tak,Kobieta,24,obszar nauk ścisłych
2018-11-15 19:49:54,Kraków,Tak,Nie pamiętam,Lubin,Tak,Tak,Kobieta,21,obszar nauk humanistycznych
2018-11-15 19:54:12,Kraków,Tak,Tak,Lublin,Tak,Tak,Mężczyzna,25,obszar nauk technicznych
2018-11-15 20:00:47,Kraków,Tak,Nie pamiętam,Lubin,Tak,Tak,Kobieta,23,obszar nauk ścisłych
2018-11-15 21:23:17,Kraków,Nie,Nie,Lublin,Tak,Tak,Kobieta,65,obszar nauk ścisłych
2018-11-16 11:24:18,Kraków,Nie pamiętam,Nie pamiętam,Lubin,Tak,Tak,Mężczyzna,45,obszar nauk technicznych
2018-11-16 12:40:19,Nie pamiętam,Nie,Nie,Lublin,Nie,Tak,Mężczyzna,66,obszar nauk technicznych
2018-11-16 19:37:12,Kraków,Nie,Nie,Lublin,Tak,Tak,Mężczyzna,34,obszar nauk ścisłych
2018-11-17 08:01:11,Kraków,Tak,Nie,Lubin,Tak,Tak,Mężczyzna,25,obszar nauk humanistycznych
2018-11-17 08:19:27,Kraków,Tak,Nie pamiętam,Lubin,Nie,Tak,Kobieta,21,obszar nauk technicznych
2018-11-17 09:01:38,Nie pamiętam,Tak,Tak,Lublin,Tak,Tak,Kobieta,24,obszar nauk ścisłych
2018-11-17 09:15:35,Kraków,Tak,Nie,Lublin,Nie pamiętam,Tak,Kobieta,23,obszar nauk ścisłych
2018-11-17 10:59:56,Kraków,Tak,Nie pamiętam,Lubin,Tak,Tak,Kobieta,23,obszar nauk przyrodniczych
2018-11-17 14:28:07,Nie pamiętam,Nie pamiętam,Nie,Lubin,Tak,Tak,Mężczyzna,25,obszar nauk technicznych
