"time","pie1","pie2","pie3","pie4","bar1","bar2","bar3","bar4","bar5"
"2018/11/20 12:38:58 PM CET","Lenovo","Dell","Nie","40","HP","Dell","Nie","22","Słupkowy"
"2018/11/20 12:44:08 PM CET","HP","Dell","Nie","18","HP","Dell","Nie","21","Słupkowy"
"2018/11/20 12:54:40 PM CET","HP","Dell","Tak","20","HP","Dell","Tak","21","Słupkowy"
"2018/11/20 12:58:05 PM CET","Lenovo","Dell","Nie","22","HP","Dell","Tak","21","Słupkowy"
"2018/11/20 1:01:06 PM CET","HP","Dell","Tak","17","HP","Dell","Tak","21.5","Słupkowy"
"2018/11/20 1:02:17 PM CET","HP","Dell","Tak","18","HP","Dell","Nie","21","Słupkowy"
"2018/11/20 1:02:38 PM CET","Lenovo","Dell","Nie","25","Dell","Dell","Nie","21","Słupkowy"
"2018/11/20 1:03:45 PM CET","HP","Dell","Tak","20","HP","Dell","Tak","22","Słupkowy"
"2018/11/20 1:04:05 PM CET","HP","Dell","Nie","22","HP","Dell","Tak","22","Słupkowy"
"2018/11/20 1:05:12 PM CET","HP","Dell","Tak","25","HP","Dell","Nie","21","Słupkowy"
"2018/11/20 1:05:44 PM CET","Lenovo","Dell","Nie","22","HP","Dell","Tak","21","Słupkowy"
"2018/11/20 1:07:34 PM CET","HP","Dell","Tak","22","HP","Dell","Tak","22","Słupkowy"
"2018/11/20 1:16:08 PM CET","HP","Dell","Nie","20","HP","Dell","Tak","21","Słupkowy"
"2018/11/20 1:21:48 PM CET","Lenovo","Dell","Nie","20","HP","Dell","Tak","22","Słupkowy"
"2018/11/20 1:23:15 PM CET","HP","Dell","Tak","18","HP","Dell","Tak","20","Słupkowy"
"2018/11/20 1:25:13 PM CET","HP","Dell","Tak","20","HP","Dell","Nie","22","Słupkowy"
"2018/11/20 1:25:40 PM CET","HP","HP","Nie","25","HP","HP","Nie","21.5","Słupkowy"
"2018/11/20 1:29:25 PM CET","HP","Lenovo","Tak","18","HP","Dell","Tak","21","Słupkowy"
"2018/11/20 1:30:03 PM CET","HP","Lenovo","Nie","24","HP","Dell","Nie","22","Słupkowy"
"2018/11/20 1:31:04 PM CET","Lenovo","Dell","Nie","20","HP","Dell","Tak","21","Słupkowy"
"2018/11/20 1:38:18 PM CET","Lenovo","Dell","Nie","20","HP","Dell","Nie","21","Słupkowy"
"2018/11/20 1:44:31 PM CET","HP","Dell","Nie","22","HP","Dell","Tak","22","Słupkowy"
"2018/11/20 1:45:42 PM CET","Lenovo","Pozostałe","Nie","18","HP","Dell","Tak","21","Słupkowy"
"2018/11/20 1:49:35 PM CET","HP","Dell","Nie","20","HP","Dell","Nie","21","Słupkowy"
"2018/11/20 2:10:39 PM CET","Lenovo","Dell","Tak","35","HP","Dell","Nie","22","Słupkowy"
"2018/11/20 2:17:53 PM CET","HP","Pozostałe","Nie","19","HP","Dell","Tak","21","Słupkowy"
"2018/11/20 2:31:58 PM CET","Lenovo","Dell","Tak","20","HP","Dell","Nie","22","Słupkowy"
"2018/11/20 2:37:32 PM CET","Lenovo","HP","Nie","25","HP","Dell","Tak","23","Słupkowy"
"2018/11/20 2:40:13 PM CET","Lenovo","Dell","Nie","24","HP","Dell","Tak","21","Słupkowy"
"2018/11/20 2:46:18 PM CET","HP","Dell","Tak","17","HP","Dell","Tak","22","Słupkowy"
"2018/11/20 3:06:09 PM CET","HP","Dell","Tak","20","HP","Dell","Tak","22","Słupkowy"
"2018/11/20 3:39:20 PM CET","Lenovo","Dell","Nie","40","Dell","Dell","Nie","22","Słupkowy"
"2018/11/20 3:56:26 PM CET","Lenovo","Dell","Nie","30","HP","Dell","Tak","22","Słupkowy"
"2018/11/20 3:57:58 PM CET","Lenovo","Pozostałe","Nie","20","HP","Dell","Tak","21","Słupkowy"
"2018/11/20 3:59:12 PM CET","HP","Dell","Nie","17","HP","Dell","Nie","21","Słupkowy"
"2018/11/20 4:17:07 PM CET","HP","Pozostałe","Nie","28","HP","Dell","Nie","26","Słupkowy"
"2018/11/20 4:28:26 PM CET","HP","Dell","Nie","21","HP","Dell","Tak","22","Słupkowy"
"2018/11/20 4:29:11 PM CET","HP","Pozostałe","Nie","20","HP","Dell","Tak","20","Słupkowy"
"2018/11/20 4:35:02 PM CET","Lenovo","Dell","Nie","25","HP","Dell","Tak","22","Słupkowy"
"2018/11/20 4:47:49 PM CET","HP","Dell","Nie","18","HP","Dell","Tak","21","Słupkowy"
"2018/11/20 4:53:50 PM CET","HP","Dell","Nie","22","HP","Dell","Nie","21","Słupkowy"
"2018/11/20 4:54:35 PM CET","HP","Dell","Nie","22","HP","Dell","Nie","21","Słupkowy"
"2018/11/20 5:13:36 PM CET","HP","Dell","Nie","20","HP","Dell","Tak","21","Słupkowy"
"2018/11/20 5:33:44 PM CET","HP","Pozostałe","Tak","40","HP","Dell","Tak","22","Słupkowy"
"2018/11/20 5:45:07 PM CET","HP","Dell","Nie","15","HP","Dell","Tak","21","Słupkowy"
"2018/11/20 5:51:09 PM CET","HP","Pozostałe","Nie","25","HP","Dell","Tak","22","Słupkowy"
"2018/11/20 6:01:16 PM CET","Lenovo","Dell","Nie","23","HP","Dell","Nie","22","Słupkowy"
"2018/11/20 6:23:07 PM CET","HP","Dell","Nie","20","HP","Dell","Tak","21","Słupkowy"
"2018/11/20 6:44:25 PM CET","Lenovo","Pozostałe","Nie","22","HP","Dell","Nie","21","Słupkowy"
"2018/11/20 6:51:33 PM CET","HP","Pozostałe","Nie","20","HP","Dell","Tak","21","Słupkowy"
"2018/11/20 7:08:10 PM CET","HP","Dell","Tak","20","HP","Dell","Tak","21","Słupkowy"
"2018/11/20 7:47:08 PM CET","HP","Pozostałe","Nie","17","HP","Dell","Tak","21","Słupkowy"
"2018/11/20 7:47:59 PM CET","HP","Dell","Nie","20","HP","Dell","Tak","21","Słupkowy"
"2018/11/20 8:21:00 PM CET","HP","Dell","Nie","33","HP","Dell","Nie","22","Słupkowy"
"2018/11/20 8:58:28 PM CET","HP","Pozostałe","Nie","20","HP","Dell","Tak","21","Słupkowy"
"2018/11/20 9:37:42 PM CET","HP","Pozostałe","Nie","15","HP","Dell","Tak","21","Słupkowy"
"2018/11/20 9:40:59 PM CET","Lenovo","Pozostałe","Tak","20","HP","Dell","Tak","22","Słupkowy"
"2018/11/20 10:21:55 PM CET","Lenovo","Dell","Nie","25","HP","Dell","Nie","21","Słupkowy"
"2018/11/20 10:43:23 PM CET","Lenovo","HP","Nie","18","HP","Dell","Nie","22","Kołowy"
"2018/11/20 10:47:57 PM CET","HP","Dell","Nie","22","HP","Dell","Tak","22","Słupkowy"
