"","Wroclaw","Torun","Lodz","Krakow","Warszawa","Gdansk","Data"
"6",53.57,32.526905,48,125.4,35.93,12,2017-01-01
"7",31.33,17.024157,34,70.8,32.53,3,2017-01-02
"8",12.69,9.109883,19,NA,15.42,4,2017-01-03
"9",6.13,3.183268,8,NA,7.26,4,2017-01-04
"10",8.28,7.394197,8,18.4,7.44,NA,2017-01-05
"11",13.52,22.627685,16,24.8,13.79,23,2017-01-06
"12",37.02,40.233847,72,133.9,44.82,13,2017-01-07
"13",54.59,46.289711,107,185.5,149.89,31,2017-01-08
"14",131.5,91.805097,101,139,106.87,32,2017-01-09
"15",90.65,81.072986,111,NA,68.22,62,2017-01-10
"16",34.15,45.665521,80,NA,62.24,47,2017-01-11
"17",17,15.656281,21,40.2,28.31,8,2017-01-12
"18",12.6,17.606254,27,20.6,38.65,18,2017-01-13
"19",16.66,16.420017,20,28.7,19.96,4,2017-01-14
"20",14.48,24.909373,28,32.5,29.76,9,2017-01-15
"21",37.13,14.757964,43,50.5,55.22,7,2017-01-16
"22",48.87,37.310412,61,70.1,94.35,13,2017-01-17
"23",53.72,43.624854,61,27.5,87.28,13,2017-01-18
"24",59.65,46.444875,56,86.8,43.36,11,2017-01-19
"25",69.88,28.077746,63,146.2,44.09,1,2017-01-20
"26",42.4,18.377532,29,96,21.41,2,2017-01-21
"27",69,26.182561,35,55.2,25.4,13,2017-01-22
"28",59.38,58.812966,65,141.1,50.08,34,2017-01-23
"29",43.21,49.051458,78,95,82.02,15,2017-01-24
"30",48.98,45.37467,45,136.4,32.48,16,2017-01-25
"31",66.18,48.279767,63,113.4,38.65,11,2017-01-26
"32",70.79,90.802225,98,222.8,106.16,46,2017-01-27
"33",67.97,106.093501,106,246.5,108.69,104,2017-01-28
"34",92.81,79.550644,125,160.7,48.27,71,2017-01-29
"35",88.41,110.450717,123,279.3,56.47,86,2017-01-30
"36",40.08,80.067324,95,159.1,69.5,53,2017-01-31
"37",62.67,79.050117,94,149.91,76.57,47,2017-02-01
"38",52.39,88.47291,94,144.35,72.04,54,2017-02-02
"39",60.01,68.686518,35,130.07,66.41,59,2017-02-03
"40",45.95,38.907802,36,33.32,35.2,36,2017-02-04
"41",NA,34.591086,40,85.72,28.67,24,2017-02-05
"42",NA,30.380534,39,60.75,32.84,24,2017-02-06
"43",NA,25.380363,30,34.68,19.42,16,2017-02-07
"44",NA,17.261123,18,27.92,15.06,14,2017-02-08
"45",NA,21.984273,31,37.34,26.14,18,2017-02-09
"46",NA,25.493849,32,41.73,26.13,20,2017-02-10
"47",45.11,19.386351,32,45.81,24.32,19,2017-02-11
"48",56.58,23.84353,23,38.69,22.32,16,2017-02-12
