Rok,Województwo,Kod strefy,Nazwa strefy,Kod stacji,Wskaźnik,Czas uśredniania,Średnia,Min,Maks,Liczba pomiarów,Kompletność ,Liczba Lato/Zima
2001,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWlocZytnia,C6H6,24g,3.7,0.4,8.0,51,14.0,1.0
2001,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpCiechTezni,C6H6,24g,2.6,0.4,9.6,51,14.0,1.0
2002,dolnośląskie,PL0202,miasto Legnica,DsLegRzecz,C6H6,24g,3.3,0.0,17.0,52,14.2,1.1
2002,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydgATRKalisk,C6H6,24g,2.7,0.0,15.0,62,17.0,1.0
2002,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydgMorska,C6H6,24g,3.7,0.0,20.0,62,17.0,1.0
2002,kujawsko-pomorskie,PL0402,miasto Toruń,KpTorunGagarina,C6H6,24g,3.5,0.0,15.0,61,16.7,1.0
2002,kujawsko-pomorskie,PL0402,miasto Toruń,KpTorunKopernika,C6H6,24g,3.8,0.0,22.0,61,16.7,1.0
2002,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclKilinskiego,C6H6,24g,4.1,0.0,16.0,61,16.7,1.0
2002,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclLady,C6H6,24g,4.9,0.0,24.0,62,17.0,1.0
2002,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWlocZytnia,C6H6,24g,5.2,0.0,25.7,62,17.0,1.0
2002,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpBrodnZwirki,C6H6,24g,7.8,0.0,29.0,62,17.0,1.0
2002,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpChelmnLunawska,C6H6,24g,4.4,0.0,24.0,62,17.0,1.0
2002,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpCiechTezni,C6H6,24g,2.8,0.0,24.7,62,17.0,1.0
2002,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpGrudzIkara,C6H6,24g,4.4,0.0,21.0,62,17.0,1.0
2002,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpGrudzKosynierow,C6H6,24g,6.4,0.0,29.0,62,17.0,1.0
2002,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpMogilKosciuszki,C6H6,24g,3.3,0.0,21.0,62,17.0,1.0
2002,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpNakloSkargi,C6H6,24g,6.0,0.0,23.0,62,17.0,1.0
2002,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpTuchPiastowska,C6H6,24g,2.5,0.0,21.0,60,16.4,1.1
2002,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpWienSanatorium,C6H6,24g,3.5,0.0,30.0,60,16.4,1.1
2002,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZninBrowarowa,C6H6,24g,4.1,0.0,27.0,62,17.0,1.0
2002,lubelskie,PL0601,Aglomeracja Lubelska,LbLublin_Chmielna,C6H6,24g,2.4,0.0,7.2,51,14.0,1.0
2002,lubelskie,PL0601,Aglomeracja Lubelska,LbLublinNadrzecz,C6H6,24g,2.0,0.0,6.7,50,13.7,1.2
2002,podkarpackie,PL1801,miasto Rzeszów,PkRzeszWIOSLang,C6H6,24g,2.8,0.6,23.3,124,34.0,1.3
2002,świętokrzyskie,PL2601,miasto Kielce,SkKielJagielWSSE,C6H6,24g,2.6,0.0,8.0,73,20.0,1.0
2002,świętokrzyskie,PL2601,miasto Kielce,SkKielTransp,C6H6,24g,2.0,0.2,11.4,55,15.1,3.2
2003,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocUkr,C6H6,24g,1.6,0.5,9.0,140,38.4,2.0
2003,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWie,C6H6,24g,3.5,0.2,14.5,58,15.9,0.9
2003,dolnośląskie,PL0202,miasto Legnica,DsLegRzecz,C6H6,24g,3.4,0.3,30.2,58,15.9,1.1
2003,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbBator,C6H6,24g,4.2,0.0,41.0,216,59.2,1.1
2003,dolnośląskie,PL0204,strefa dolnośląska,DsKawice,C6H6,24g,2.3,0.3,22.2,58,15.9,1.1
2003,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydgATRKalisk,C6H6,24g,0.2,0.0,2.0,62,17.0,1.1
