Rok,Województwo,Kod strefy,Nazwa strefy,Kod stacji,Wskaźnik,Czas uśredniania,Średnia,Min,Maks,L>200 (S1),19 maks. (S1),Perc. 99.8 (S1),Liczba pomiarów,Kompletność ,Liczba Lato/Zima
2000,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocUkr,NO2,24g,29.0,7.0,68.0,,,,331,90.4,1.0
2000,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWie,NO2,24g,24.5,4.5,57.7,,,,313,85.5,1.1
2000,dolnośląskie,PL0204,strefa dolnośląska,DsCzerStraza,NO2,1g,6.6,0.0,41.0,0,30.0,31.0,8395,95.6,1.1
2000,dolnośląskie,PL0204,strefa dolnośląska,DsJelw05,NO2,1g,14.4,0.0,76.0,0,55.0,56.0,8461,96.3,1.0
2000,dolnośląskie,PL0204,strefa dolnośląska,DsSniezkaObs,NO2,24g,3.9,0.7,10.5,,,,366,100.0,1.0
2000,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclMalinowa,NO2,24g,11.2,1.0,37.0,,,,195,53.3,1.0
2000,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclSiels,NO2,24g,16.2,5.0,39.0,,,,195,53.3,1.0
2000,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWlocZytnia,NO2,24g,23.5,8.0,66.0,,,,195,53.3,1.0
2000,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpKruszynLotnisko,NO2,24g,11.7,7.0,28.0,,,,184,50.3,1.1
2000,lubelskie,PL0602,strefa lubelska,LbBiaPodOrze,NO2,24g,11.6,5.0,28.0,,,,340,92.9,1.0
2000,lubelskie,PL0602,strefa lubelska,LbJarczWolaM,NO2,24g,9.7,1.3,32.5,,,,353,96.4,1.1
2000,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzWSSEMPrzybys,NO2,24g,27.7,10.0,41.0,,,,358,97.8,1.1
2000,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzWSSEMWici3,NO2,24g,23.9,10.0,65.0,,,,266,72.7,1.0
2000,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzWSSEMWodna40,NO2,24g,28.8,3.0,83.0,,,,364,99.5,1.0
2000,łódzkie,PL1001,Aglomeracja Łódzka,LdZgierzWSSEMDabrows,NO2,24g,15.3,0.0,55.0,,,,152,41.5,0.7
2000,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakAlKras,NO2,1g,73.5,1.0,245.0,4,177.0,179.0,7415,84.4,0.8
2000,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakBulwar,NO2,1g,31.7,3.0,117.0,0,96.0,100.0,6457,73.5,0.9
2000,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakowWIOSPrad6115,NO2,1g,29.2,2.0,109.0,0,91.0,96.0,3865,44.0,4.0
2000,mazowieckie,PL1404,strefa mazowiecka,MzBelsIGFPAN,NO2,1g,8.7,0.0,43.0,0,36.0,37.0,7923,90.2,0.9
2000,podkarpackie,PL1802,strefa podkarpacka,PkPrzemWIOSDolin,NO2,24g,6.5,3.1,37.1,,,,365,99.7,1.0
