Rok,Województwo,Kod strefy,Nazwa strefy,Kod stacji,Wskaźnik,Czas uśredniania,Średnia,Min,Max,L. dni > 120 (S8max),26 maks (S8max),Per. S93.2 (S8max),AOT40 V-VII,SOMO35,Liczba pomiarów,Kompl. lato,Kompl. zima,Liczba kompletnych mies. letnich (IV-IX),Kompletność/rok,Liczba Lato/Zima
2000,dolnośląskie,PL0204,strefa dolnośląska,DsCzerStraza,O3,1g,72.4,2.0,190.0,41,132.3,133.3,25643,7070,7939,87,94,3,90.4,0.9
2000,dolnośląskie,PL0204,strefa dolnośląska,DsJelw05,O3,1g,50.8,1.0,197.0,22,118.5,119.4,16771,4544,8339,96,94,6,94.9,1.0
2000,dolnośląskie,PL0204,strefa dolnośląska,DsSniezkaObs,O3,1g,87.6,10.0,234.0,68,141.1,141.1,31298,10782,8772,100,100,6,99.9,1.0
2000,lubelskie,PL0602,strefa lubelska,LbJarczWolaM,O3,1g,56.9,2.0,175.0,30,121.6,124.8,20694,5931,7699,98,77,5,87.6,1.3
2000,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarPodlesn,O3,1g,40.5,0.0,258.0,3,104.3,104.3,7539,2496,8728,100,99,6,99.4,1.0
2000,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarszKrucza,O3,1g,40.8,1.0,150.0,4,95.9,97.4,4764,2119,7972,90,92,4,90.8,1.0
2000,mazowieckie,PL1404,strefa mazowiecka,MzBelsIGFPAN,O3,1g,53.7,1.0,208.0,27,122.0,122.4,20513,4991,8522,95,99,4,97.0,1.0
2000,pomorskie,PL2201,Aglomeracja Trójmiejska,Pm.a09a,O3,1g,47.7,1.0,159.0,12,110.4,110.6,9776,3293,8445,93,99,4,96.1,0.9
2000,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaWyzwo03,O3,1g,46.4,0.0,147.0,8,102.3,102.6,6744,3023,8521,96,98,6,97.0,1.0
2000,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdyPoreb04,O3,1g,56.8,2.0,179.0,16,111.4,118.1,10209,4954,6410,97,49,6,73.0,2.0
