Rok,Województwo,Kod strefy,Nazwa strefy,Kod stacji,Wskaźnik,Czas uśredniania,Średnia,Min,Maks,L>50 (S24),36 maks. (S24),Perc. 90.4 (S24),Maks (S24),Liczba pomiarów,Kompletność ,Liczba Lato/Zima
2000,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWie,PM10,24g,36.4,2.6,121.9,63,62.3,64.7,121.9,311,85.0,1.1
2000,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpCiechTezni,PM10,24g,37.0,7.0,149.0,25,44.0,59.0,149.0,149,40.7,0.7
2000,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzWSSEMWodna40,PM10,24g,45.8,14.0,133.0,86,69.0,75.0,133.0,268,73.2,1.0
2000,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakAlKras,PM10,24g,37.0,8.9,135.9,56,56.3,58.2,135.9,310,84.7,0.9
2000,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakowWIOSPrad6115,PM10,24g,35.5,6.0,130.0,57,58.0,64.0,130.0,296,80.9,0.7
2000,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarszKrucza,PM10,24g,38.0,12.4,120.9,43,53.3,57.7,120.9,244,66.7,1.0
2000,podkarpackie,PL1802,strefa podkarpacka,PkPrzemWIOSDolin,PM10,24g,56.5,11.4,165.8,72,72.2,89.0,165.8,149,40.7,1.2
2001,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWie,PM10,24g,36.7,3.9,170.0,57,59.0,63.2,170.0,276,75.6,0.8
2001,dolnośląskie,PL0204,strefa dolnośląska,DsJelw05,PM10,24g,18.0,2.0,77.0,10,38.0,38.0,77.0,348,95.3,1.0
2001,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclSiels,PM10,24g,23.5,11.7,64.9,3,21.0,38.3,64.9,76,20.8,1.3
2001,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpCiechTezni,PM10,24g,31.4,8.3,95.6,19,40.6,50.8,95.6,183,50.1,1.0
2001,lubelskie,PL0602,strefa lubelska,LbBiaPodOrze,PM10,24g,15.3,6.0,54.0,1,20.0,26.0,54.0,168,46.0,1.1
2001,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzWSSEMWodna40,PM10,24g,42.1,10.0,97.0,66,62.0,65.0,97.0,259,71.0,1.2
2001,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakAlKras,PM10,24g,42.6,9.7,213.4,87,67.2,67.2,213.4,363,99.5,1.0
2001,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakowWIOSPrad6115,PM10,24g,27.3,8.0,95.8,20,42.5,49.7,95.8,227,62.2,1.0
2001,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarszKrucza,PM10,24g,36.9,5.5,95.1,56,58.5,60.4,95.1,296,81.1,0.9
2001,podkarpackie,PL1802,strefa podkarpacka,PkPrzemWIOSDolin,PM10,24g,59.7,6.4,166.6,78,79.4,107.9,166.6,156,42.7,0.9
2002,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWie,PM10,24g,37.4,4.4,200.8,67,63.5,67.2,200.8,308,84.4,1.1
2002,dolnośląskie,PL0204,strefa dolnośląska,DsJelw05,PM10,24g,13.2,2.0,64.0,2,26.0,28.0,64.0,309,84.7,0.9
2002,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclSiels,PM10,24g,31.8,9.1,110.4,12,31.6,54.0,110.4,89,24.4,1.2
2002,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpCiechTezni,PM10,24g,37.1,9.9,140.2,25,45.8,59.6,140.2,148,40.5,1.6
2002,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpWolice,PM10,24g,23.5,2.0,96.0,24,40.1,53.0,96.0,221,60.5,1.0
2002,lubelskie,PL0601,Aglomeracja Lubelska,LbLublinPiel,PM10,24g,41.7,5.0,199.0,96,71.0,71.0,199.0,365,100.0,1.0
2002,lubelskie,PL0601,Aglomeracja Lubelska,LbLubSliwins,PM10,24g,34.2,0.6,127.1,45,55.4,56.6,127.1,313,85.8,1.1
2002,lubelskie,PL0602,strefa lubelska,LbBiaPodOrze,PM10,24g,18.7,4.0,95.0,7,25.0,36.0,95.0,175,47.9,1.1
2002,lubelskie,PL0602,strefa lubelska,LbDorohWIOS,PM10,24g,10.7,3.3,47.0,0,17.0,18.3,47.0,287,78.6,1.1
2002,lubelskie,PL0602,strefa lubelska,LbZamoHrubie,PM10,24g,53.2,5.0,284.8,33,49.3,104.8,284.8,107,29.3,1.1
2002,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzWSSEMWodna40,PM10,24g,41.6,12.0,122.0,71,66.0,72.0,122.0,276,75.6,1.2
2002,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakAlKras,PM10,24g,89.1,19.1,424.8,284,160.0,160.0,424.8,361,98.9,1.0
2002,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarszKrucza,PM10,24g,40.9,5.5,215.8,101,82.2,82.2,215.8,365,100.0,1.0
2002,podlaskie,PL2002,strefa podlaska,PdLomzaKopernika16,PM10,24g,50.1,9.7,431.2,53,64.1,95.0,431.2,177,48.5,0.9
2002,podlaskie,PL2002,strefa podlaska,PdSuwPulaski,PM10,24g,54.0,11.2,240.5,74,69.5,97.1,240.5,170,46.6,0.9
2002,wielkopolskie,PL3003,strefa wielkopolska,WpPilaKusoci,PM10,24g,53.5,11.0,225.0,76,75.0,102.0,225.0,184,50.4,1.0
2002,zachodniopomorskie,PL3201,Aglomeracja Szczecińska,ZpSzczWSSESped6,PM10,24g,27.7,0.0,109.0,16,31.0,62.0,109.0,103,28.2,1.0
2003,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWie,PM10,24g,41.0,4.3,177.3,73,69.1,78.2,177.3,282,77.3,1.0
2003,dolnośląskie,PL0202,miasto Legnica,DsLegZlotor,PM10,24g,48.8,11.6,170.0,59,66.4,89.8,170.0,189,51.8,1.0
2003,dolnośląskie,PL0204,strefa dolnośląska,DsBogChop,PM10,1g,31.5,0.0,333.0,36,50.6,50.7,157.1,8475,96.7,1.0
2003,dolnośląskie,PL0204,strefa dolnośląska,DsCzar07,PM10,1g,10.2,2.0,109.0,2,17.3,22.1,81.5,6403,73.1,0.5
2003,dolnośląskie,PL0204,strefa dolnośląska,DsCzerStraza,PM10,1g,8.1,2.0,95.0,0,15.8,16.1,42.7,8331,95.1,0.9
2003,dolnośląskie,PL0204,strefa dolnośląska,DsDzialoszyn,PM10,1g,19.2,2.0,167.0,8,33.8,33.8,99.4,8703,99.3,1.0
2003,dolnośląskie,PL0204,strefa dolnośląska,DsGlogSikor,PM10,1g,20.7,0.2,151.4,3,21.6,40.2,68.0,2200,25.1,0.0
2003,dolnośląskie,PL0204,strefa dolnośląska,DsJasnaSport,PM10,1g,20.7,0.0,216.0,0,26.6,33.1,49.9,4260,48.6,1.0
2003,dolnośląskie,PL0204,strefa dolnośląska,DsJelw05,PM10,1g,8.9,2.0,83.0,1,19.0,19.0,55.8,8656,98.8,1.0
2003,dolnośląskie,PL0204,strefa dolnośląska,DsJelw05,PM10,24g,8.9,2.0,55.8,1,19.0,19.0,55.8,360,98.6,1.0
2003,dolnośląskie,PL0204,strefa dolnośląska,DsKalinowka,PM10,1g,27.3,0.0,340.0,36,51.4,51.4,101.3,8755,99.9,1.0
2003,dolnośląskie,PL0204,strefa dolnośląska,DsKromolin,PM10,1g,21.3,0.2,150.4,2,22.0,36.3,72.8,2179,24.9,0.0
2003,dolnośląskie,PL0204,strefa dolnośląska,DsLubinMaj,PM10,24g,33.1,4.0,106.0,49,56.0,57.0,106.0,335,91.8,1.0
2003,dolnośląskie,PL0204,strefa dolnośląska,DsNRudaSrebPArch,PM10,24g,43.8,1.5,203.3,49,53.4,90.6,203.3,112,30.7,1.4
2003,dolnośląskie,PL0204,strefa dolnośląska,DsRadomierz,PM10,1g,23.6,0.0,271.0,25,45.1,46.5,145.0,8216,93.8,1.0
2003,dolnośląskie,PL0204,strefa dolnośląska,DsRudna,PM10,1g,34.6,0.0,335.0,59,63.9,63.9,157.5,8747,99.9,1.0
2003,dolnośląskie,PL0204,strefa dolnośląska,DsSnie04,PM10,1g,7.6,2.0,61.0,0,13.6,16.4,30.2,5254,60.0,1.4
2003,dolnośląskie,PL0204,strefa dolnośląska,DsSobczyce,PM10,1g,23.9,0.2,168.3,4,26.3,40.4,67.1,2182,24.9,0.0
2003,dolnośląskie,PL0204,strefa dolnośląska,DsSoko08,PM10,1g,15.1,2.0,237.0,7,20.2,25.8,90.9,5638,64.4,0.6
2003,dolnośląskie,PL0204,strefa dolnośląska,DsSwidRynekArch,PM10,24g,33.2,1.0,88.0,25,47.0,54.0,88.0,159,43.6,1.0
2003,dolnośląskie,PL0204,strefa dolnośląska,DsTarnowek,PM10,1g,29.8,1.0,222.0,34,49.0,49.0,133.7,8754,99.9,1.0
2003,dolnośląskie,PL0204,strefa dolnośląska,DsWitk09,PM10,1g,23.6,2.0,217.0,30,46.5,46.5,128.5,8708,99.4,1.0
2003,dolnośląskie,PL0204,strefa dolnośląska,DsWitka,PM10,1g,17.7,0.0,97.0,0,22.9,26.6,38.5,4244,48.4,1.1
2003,dolnośląskie,PL0204,strefa dolnośląska,DsWlen03,PM10,1g,24.9,2.0,212.0,33,47.4,49.6,158.5,8392,95.8,1.1
2003,dolnośląskie,PL0204,strefa dolnośląska,DsWyszkow,PM10,1g,24.9,0.0,256.0,2,32.8,38.5,65.9,4257,48.6,1.0
2003,dolnośląskie,PL0204,strefa dolnośląska,DsZgorzOrz,PM10,1g,23.6,0.0,217.0,9,31.7,38.9,92.8,4367,49.9,1.0
2003,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydWarszaw,PM10,1g,57.1,0.0,539.1,124,100.9,111.7,293.2,7289,83.2,1.0
2003,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruDziewu,PM10,24g,51.3,2.0,409.0,100,115.0,117.0,409.0,335,91.8,0.9
2003,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclSiels,PM10,24g,37.9,8.9,148.0,15,33.6,62.3,148.0,76,20.8,0.7
2003,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpCiechTezni,PM10,24g,33.9,0.0,151.1,29,45.7,65.0,151.1,148,40.5,0.6
2003,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpSadlog,PM10,24g,28.0,4.0,101.8,37,51.0,55.0,101.8,306,83.8,1.0
2003,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpSwiecGruczno,PM10,24g,24.1,0.0,138.0,24,43.0,46.0,138.0,309,84.7,0.9
2003,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpSwiecKolejowa,PM10,24g,19.5,2.0,114.0,12,34.0,34.0,114.0,346,94.8,1.1
2003,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpWolice,PM10,24g,16.0,2.0,66.0,5,28.3,32.0,66.0,255,69.9,1.0
2003,lubelskie,PL0601,Aglomeracja Lubelska,LbLublinPiel,PM10,24g,39.8,5.0,213.0,81,72.0,72.0,213.0,364,99.7,1.0
2003,lubelskie,PL0601,Aglomeracja Lubelska,LbLubSliwins,PM10,24g,29.6,8.1,128.9,12,40.5,43.3,128.9,236,64.7,1.3
2003,lubelskie,PL0602,strefa lubelska,LbBiaPodOrze,PM10,24g,16.6,3.0,108.0,5,27.0,29.0,108.0,278,76.2,1.1
2003,lubelskie,PL0602,strefa lubelska,LbDorohWIOS,PM10,24g,9.8,4.6,16.3,0,12.3,13.8,16.3,180,49.3,1.0
2003,lubelskie,PL0602,strefa lubelska,LbZamoHrubie,PM10,24g,42.3,6.4,348.0,75,70.7,73.6,348.0,329,90.1,1.0
2003,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzCzerni,PM10,1g,30.6,-1.0,111.0,4,23.3,46.2,79.3,1363,15.6,0.0
2003,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzWIOSARubinst,PM10,1g,43.9,0.0,321.0,21,26.8,69.4,107.1,1207,13.8,0.0
2003,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzWSSEMWodna40,PM10,24g,43.5,5.0,236.0,93,72.0,77.0,236.0,308,84.4,1.1
2003,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzZachod,PM10,1g,44.1,0.0,939.0,39,51.6,72.8,110.6,2395,27.3,0.4
2003,łódzkie,PL1001,Aglomeracja Łódzka,LdPabiKonsta,PM10,1g,48.3,0.0,385.0,28,36.6,87.7,112.4,1461,16.7,0.0
2003,łódzkie,PL1001,Aglomeracja Łódzka,LdZgieMielcz,PM10,1g,50.8,0.0,374.0,50,61.7,79.3,140.2,2530,28.9,0.3
2003,łódzkie,PL1002,strefa łódzka,LdGajewUjWod,PM10,1g,28.1,0.0,119.0,5,21.1,42.6,81.7,1458,16.6,0.0
2003,łódzkie,PL1002,strefa łódzka,LdKutnoWIOSMWilcza,PM10,24g,61.7,8.0,257.0,106,94.0,120.0,257.0,227,62.2,1.1
