Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Wskaźnik;Czas uśredniania;Średnia;Min;Maks;Liczba ważnych pom.;Kompletność/rok;Lato/Zima
2002;dolnośląskie;PL0204;strefa dolnośląska;DsDzialoszyn;As(PM10);24g;4,6     ;0,1     ;20,2     ;175;47,9     ;1,1     
2002;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;As(PM10);24g;6,3     ;0,0     ;39,8     ;167;45,8     ;0,9     
2003;dolnośląskie;PL0201;Aglomeracja Wrocławska;DsWrocWie;As(PM10);24g;3,4     ;0,1     ;13,6     ;140;38,4     ;1,0     
2003;dolnośląskie;PL0204;strefa dolnośląska;DsDzialoszyn;As(PM10);24g;6,2     ;0,4     ;118,9     ;165;45,2     ;1,1     
2003;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;As(PM10);24g;4,4     ;0,1     ;117,5     ;172;47,1     ;1,1     
2003;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarszAlJerozol;As(PM10);24g;0,4     ;0,2     ;0,8     ;18;4,9     ;
2003;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarszBernWoda;As(PM10);24g;0,6     ;0,1     ;3,5     ;89;24,4     ;1,4     
2003;mazowieckie;PL1404;strefa mazowiecka;MzCiechStrazacka;As(PM10);24g;1,2     ;0,5     ;9,0     ;102;27,9     ;1,2     
2004;dolnośląskie;PL0201;Aglomeracja Wrocławska;DsWrocWie;As(PM10);24g;3,1     ;0,1     ;33,5     ;143;39,1     ;1,1     
2004;dolnośląskie;PL0202;miasto Legnica;DsLegAlRzecz;As(PM10);24g;6,4     ;1,7     ;32,5     ;35;9,6     ;0,0     
2004;dolnośląskie;PL0204;strefa dolnośląska;DsCzerStraza;As(PM10);24g;2,4     ;0,0     ;7,9     ;174;47,5     ;1,0     
2004;dolnośląskie;PL0204;strefa dolnośląska;DsDzialoszyn;As(PM10);24g;3,3     ;0,1     ;13,3     ;137;37,4     ;1,1     
2004;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;As(PM10);24g;3,1     ;0,0     ;19,7     ;176;48,1     ;1,1     
2004;dolnośląskie;PL0204;strefa dolnośląska;DsPolKasztan;As(PM10);24g;5,3     ;1,8     ;45,7     ;112;30,6     ;1,8     
2004;lubelskie;PL0602;strefa lubelska;LbDorohWIOS;As(PM10);24g;0,3     ;0,3     ;0,3     ;84;23,0     ;1,0     
2004;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarszAlJerozol;As(PM10);24g;0,2     ;0,0     ;1,1     ;131;35,8     ;1,0     
2004;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarszBernWoda;As(PM10);24g;0,2     ;0,0     ;0,9     ;111;30,3     ;0,8     
2004;mazowieckie;PL1404;strefa mazowiecka;MzCiechStrazacka;As(PM10);24g;0,7     ;0,5     ;5,3     ;104;28,4     ;1,0     
2004;mazowieckie;PL1404;strefa mazowiecka;MzOstrolTargowa;As(PM10);24g;0,5     ;0,0     ;8,3     ;100;27,3     ;1,0     
2005;dolnośląskie;PL0201;Aglomeracja Wrocławska;DsWrocAlWisn;As(PM10);24g;1,9     ;0,1     ;13,8     ;57;15,6     ;1,0     
2005;dolnośląskie;PL0201;Aglomeracja Wrocławska;DsWrocWie;As(PM10);24g;2,8     ;0,2     ;27,6     ;183;50,1     ;1,0     
2005;dolnośląskie;PL0202;miasto Legnica;DsLegAlRzecz;As(PM10);24g;7,7     ;1,7     ;54,5     ;197;54,0     ;1,1     
2005;dolnośląskie;PL0204;strefa dolnośląska;DsCzerStraza;As(PM10);24g;1,3     ;0,0     ;14,1     ;195;53,4     ;1,1     
2005;dolnośląskie;PL0204;strefa dolnośląska;DsDzialoszyn;As(PM10);24g;2,1     ;0,1     ;15,2     ;197;54,0     ;1,1     
2005;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;As(PM10);24g;2,8     ;0,2     ;87,0     ;198;54,2     ;1,1     
2005;dolnośląskie;PL0204;strefa dolnośląska;DsPolKasztan;As(PM10);24g;5,1     ;1,7     ;68,1     ;197;54,0     ;1,1     
2005;kujawsko-pomorskie;PL0402;miasto Toruń;KpToruDziewu;As(PM10);24g;0,0     ;0,0     ;0,0     ;62;17,0     ;1,1     
2005;lubelskie;PL0602;strefa lubelska;LbDorohWIOS;As(PM10);24g;0,2     ;0,2     ;0,3     ;84;23,0     ;1,0     
2005;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarszBernWoda;As(PM10);24g;0,2     ;0,0     ;0,8     ;98;26,8     ;1,2     
2005;mazowieckie;PL1404;strefa mazowiecka;MzCiechStrazacka;As(PM10);24g;1,0     ;0,5     ;4,1     ;95;26,0     ;0,9     
2005;mazowieckie;PL1404;strefa mazowiecka;MzOstrolTargowa;As(PM10);24g;0,9     ;0,0     ;6,0     ;90;24,7     ;1,0     
2006;dolnośląskie;PL0201;Aglomeracja Wrocławska;DsWrocAlWisn;As(PM10);24g;3,2     ;0,2     ;58,2     ;53;14,5     ;0,9     
2006;dolnośląskie;PL0201;Aglomeracja Wrocławska;DsWrocWie;As(PM10);24g;4,4     ;0,2     ;90,1     ;189;51,8     ;0,9     
2006;dolnośląskie;PL0202;miasto Legnica;DsLegAlRzecz;As(PM10);24g;9,8     ;1,7     ;89,0     ;196;53,7     ;1,1     
2006;dolnośląskie;PL0204;strefa dolnośląska;DsCzerStraza;As(PM10);24g;2,8     ;0,0     ;13,2     ;170;46,6     ;1,0     
2006;dolnośląskie;PL0204;strefa dolnośląska;DsDzialoszyn;As(PM10);24g;2,9     ;0,1     ;23,4     ;174;47,7     ;1,1     
2006;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;As(PM10);24g;2,9     ;0,1     ;25,5     ;144;39,5     ;1,2     
2006;dolnośląskie;PL0204;strefa dolnośląska;DsPolKasztan;As(PM10);24g;7,2     ;1,6     ;114,1     ;186;51,0     ;1,0     
2006;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydWarszaw;As(PM10);24g;2,7     ;0,0     ;23,0     ;50;13,7     ;0,9     
2006;kujawsko-pomorskie;PL0402;miasto Toruń;KpToruDziewu;As(PM10);24g;0,5     ;0,0     ;2,7     ;62;17,0     ;1,0     
2006;kujawsko-pomorskie;PL0403;miasto Włocławek;KpWloclOkrze;As(PM10);24g;0,0     ;0,0     ;0,0     ;48;13,2     ;0,9     
2006;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpCiechTezni;As(PM10);24g;0,0     ;0,0     ;0,0     ;52;14,2     ;1,0     
