Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Wskaźnik;Czas uśredniania;Średnia;Min;Maks;Liczba ważnych pom.;Kompletność/rok;Lato/Zima
2001;dolnośląskie;PL0204;strefa dolnośląska;DsCzerStraza;BaP(PM10);24g;0,4;0,0;7,2;168;46,0;1,2
2001;dolnośląskie;PL0204;strefa dolnośląska;DsDzialoszyn;BaP(PM10);24g;0,9;0,0;9,5;178;48,8;1,1
2001;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;BaP(PM10);24g;1,2;0,0;12,7;171;46,8;1,0
2002;dolnośląskie;PL0204;strefa dolnośląska;DsDzialoszyn;BaP(PM10);24g;1,7;0,0;30,7;179;49,0;1,0
2002;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;BaP(PM10);24g;2,6;0,0;47,8;169;46,3;0,9
2003;dolnośląskie;PL0201;Aglomeracja Wrocławska;DsWrocWie;BaP(PM10);24g;2,9;0,1;28,2;140;38,4;1,1
2003;dolnośląskie;PL0204;strefa dolnośląska;DsCzerStraza;BaP(PM10);24g;0,7;0,0;8,5;168;46,0;1,2
2003;dolnośląskie;PL0204;strefa dolnośląska;DsDzialoszyn;BaP(PM10);24g;1,4;0,0;20,6;165;45,2;1,1
2003;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;BaP(PM10);24g;1,7;0,0;28,8;171;46,8;1,0
2004;dolnośląskie;PL0201;Aglomeracja Wrocławska;DsWrocWie;BaP(PM10);24g;3,1;0,1;38,3;144;39,3;1,1
2004;dolnośląskie;PL0202;miasto Legnica;DsLegAlRzecz;BaP(PM10);24g;8,7;0,4;34,6;36;9,8;0,0
2004;dolnośląskie;PL0204;strefa dolnośląska;DsCzerStraza;BaP(PM10);24g;0,8;0,0;18,4;173;47,3;1,0
2004;dolnośląskie;PL0204;strefa dolnośląska;DsDzialoszyn;BaP(PM10);24g;1,2;0,0;10,6;155;42,3;0,9
2004;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;BaP(PM10);24g;1,5;0,0;16,6;168;45,9;1,1
2004;dolnośląskie;PL0204;strefa dolnośląska;DsPolKasztan;BaP(PM10);24g;1,2;0,0;24,8;110;30,1;2,0
2004;małopolskie;PL1203;strefa małopolska;MpTrzebiWIOSPils0303;BaP(PM10);24g;4,2;0,0;18,9;75;20,5;0,6
2005;dolnośląskie;PL0201;Aglomeracja Wrocławska;DsWrocWie;BaP(PM10);24g;3,6;0,1;41,0;183;50,1;1,0
2005;dolnośląskie;PL0202;miasto Legnica;DsLegAlRzecz;BaP(PM10);24g;4,1;0,0;27,8;146;40,0;1,1
2005;dolnośląskie;PL0204;strefa dolnośląska;DsCzerStraza;BaP(PM10);24g;0,8;0,0;16,1;151;41,4;1,1
2005;dolnośląskie;PL0204;strefa dolnośląska;DsDzialoszyn;BaP(PM10);24g;1,1;0,0;13,5;149;40,8;1,1
2005;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;BaP(PM10);24g;2,0;0,0;26,8;150;41,1;1,1
2005;dolnośląskie;PL0204;strefa dolnośląska;DsPolKasztan;BaP(PM10);24g;1,7;0,0;29,0;147;40,3;1,1
2005;śląskie;PL2401;Aglomeracja Górnośląska;SlDabro1000L;BaP(PM10);24g;5,8;0,3;17,0;23;6,3;0,9
2005;śląskie;PL2401;Aglomeracja Górnośląska;SlKatoKossut;BaP(PM10);24g;5,6;0,2;16,0;24;6,6;1,0
2005;śląskie;PL2401;Aglomeracja Górnośląska;SlZabSkloCur;BaP(PM10);24g;8,4;0,3;23,0;24;6,6;1,0
2005;śląskie;PL2402;Aglomeracja Rybnicko-Jastrzębska;SlRybniBorki;BaP(PM10);24g;13,1;0,6;42,0;23;6,3;1,1
2005;śląskie;PL2403;miasto Bielsko-Biała;SlBielKossak;BaP(PM10);24g;6,1;0,1;23,0;23;6,3;0,9
2005;śląskie;PL2404;miasto Częstochowa;SlCzestoBacz;BaP(PM10);24g;3,8;0,1;10,0;23;6,3;1,1
2005;śląskie;PL2405;strefa śląska;SlZywieKoper;BaP(PM10);24g;13,7;0,0;77,9;11;3,0;1,2
2005;zachodniopomorskie;PL3201;Aglomeracja Szczecińska;ZpSzczecinWSSE;BaP(PM10);24g;0,9;0,1;4,1;44;12,1;1,0
2006;dolnośląskie;PL0201;Aglomeracja Wrocławska;DsWrocWie;BaP(PM10);24g;4,3;0,1;53,4;188;51,5;0,9
2006;dolnośląskie;PL0202;miasto Legnica;DsLegAlRzecz;BaP(PM10);24g;5,7;0,0;77,4;151;41,4;1,1
2006;dolnośląskie;PL0204;strefa dolnośląska;DsCzerStraza;BaP(PM10);24g;0,9;0,0;11,6;112;30,7;1,0
2006;dolnośląskie;PL0204;strefa dolnośląska;DsDzialoszyn;BaP(PM10);24g;1,7;0,0;29,0;110;30,1;1,1
2006;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;BaP(PM10);24g;1,6;0,0;15,0;138;37,8;1,2
2006;dolnośląskie;PL0204;strefa dolnośląska;DsPolKasztan;BaP(PM10);24g;2,6;0,0;38,6;150;41,1;1,0
2006;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydWarszaw;BaP(PM10);24g;6,3;0,1;81,0;46;12,6;1,1
2006;kujawsko-pomorskie;PL0402;miasto Toruń;KpToruDziewu;BaP(PM10);24g;2,7;0,0;29,7;60;16,4;1,1
2006;kujawsko-pomorskie;PL0403;miasto Włocławek;KpWloclOkrze;BaP(PM10);24g;0,0;0,0;0,1;48;13,2;0,9
2006;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpCiechTezni;BaP(PM10);24g;0,0;0,0;0,0;52;14,2;1,0
2006;małopolskie;PL1203;strefa małopolska;MpSkawOsOgro;BaP(PM10);24g;15,8;1,9;51,8;15;4,1;0,0
