Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Wskaźnik;Czas uśredniania;Średnia;Min;Maks;Liczba ważnych pom.;Kompletność/rok;Lato/Zima
2001;dolnośląskie;PL0204;strefa dolnośląska;DsCzerStraza;Cd(PM10);24g;0,5;0,2;3,0;177;48,5;1,0
2001;dolnośląskie;PL0204;strefa dolnośląska;DsDzialoszyn;Cd(PM10);24g;0,7;0,2;7,9;180;49,3;1,0
2001;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;Cd(PM10);24g;0,6;0,1;3,5;172;47,1;1,0
2002;dolnośląskie;PL0204;strefa dolnośląska;DsDzialoszyn;Cd(PM10);24g;1,2;0,2;9,5;175;47,9;1,1
2002;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;Cd(PM10);24g;0,7;0,2;5,0;167;45,8;0,9
2003;dolnośląskie;PL0201;Aglomeracja Wrocławska;DsWrocWie;Cd(PM10);24g;1,5;0,3;5,9;140;38,4;1,0
2003;dolnośląskie;PL0204;strefa dolnośląska;DsDzialoszyn;Cd(PM10);24g;2,0;0,1;47,4;165;45,2;1,1
2003;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;Cd(PM10);24g;1,0;0,1;17,2;172;47,1;1,1
2003;dolnośląskie;PL0204;strefa dolnośląska;DsLubinMaj;Cd(PM10);24g;7,1;0,0;87,2;183;50,1;1,1
2003;dolnośląskie;PL0204;strefa dolnośląska;DsNRudaSrebPArch;Cd(PM10);24g;1,1;0,0;7,0;122;33,4;1,2
2003;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarszAlJerozol;Cd(PM10);24g;0,7;0,4;1,4;20;5,5;
2003;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarszBernWoda;Cd(PM10);24g;0,3;0,0;1,4;90;24,7;1,5
2003;mazowieckie;PL1404;strefa mazowiecka;MzCiechStrazacka;Cd(PM10);24g;0,9;0,1;6,0;103;28,2;1,2
2004;dolnośląskie;PL0201;Aglomeracja Wrocławska;DsWrocWie;Cd(PM10);24g;0,9;0,3;3,8;143;39,1;1,1
2004;dolnośląskie;PL0202;miasto Legnica;DsLegAlRzecz;Cd(PM10);24g;2,8;0,5;15,2;35;9,6;0,0
2004;dolnośląskie;PL0202;miasto Legnica;DsLegMick;Cd(PM10);24g;1,4;0,3;20,7;183;50,0;1,0
2004;dolnośląskie;PL0204;strefa dolnośląska;DsCzerStraza;Cd(PM10);24g;0,7;0,0;7,1;174;47,5;1,0
2004;dolnośląskie;PL0204;strefa dolnośląska;DsDzialoszyn;Cd(PM10);24g;1,5;0,0;33,1;137;37,4;1,1
2004;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;Cd(PM10);24g;0,6;0,0;5,0;177;48,4;1,1
2004;dolnośląskie;PL0204;strefa dolnośląska;DsLubinMaj;Cd(PM10);24g;1,6;0,1;20,2;183;50,0;1,0
