Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Wskaźnik;Czas uśredniania;Średnia;Min;Maks;Liczba ważnych pom.;Kompletność/rok;Lato/Zima
2001;dolnośląskie;PL0204;strefa dolnośląska;DsCzerStraza;Ni(PM10);24g;1,7     ;0,1     ;20,4     ;177;48,5     ;1,0     
2001;dolnośląskie;PL0204;strefa dolnośląska;DsDzialoszyn;Ni(PM10);24g;2,0     ;0,1     ;19,2     ;180;49,3     ;1,0     
2001;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;Ni(PM10);24g;1,9     ;0,1     ;21,6     ;172;47,1     ;1,0     
2002;dolnośląskie;PL0204;strefa dolnośląska;DsDzialoszyn;Ni(PM10);24g;2,3     ;0,0     ;17,0     ;175;47,9     ;1,1     
2002;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;Ni(PM10);24g;1,5     ;0,0     ;8,2     ;167;45,8     ;0,9     
2002;lubelskie;PL0602;strefa lubelska;LbDorohWIOS;Ni(PM10);24g;5,0     ;5,0     ;5,0     ;84;23,0     ;1,0     
2003;dolnośląskie;PL0201;Aglomeracja Wrocławska;DsWrocWie;Ni(PM10);24g;4,8     ;0,9     ;28,1     ;140;38,4     ;1,0     
2003;dolnośląskie;PL0204;strefa dolnośląska;DsDzialoszyn;Ni(PM10);24g;2,6     ;0,5     ;33,4     ;165;45,2     ;1,1     
2003;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;Ni(PM10);24g;2,6     ;0,5     ;41,3     ;172;47,1     ;1,1     
2003;dolnośląskie;PL0204;strefa dolnośląska;DsLubinMaj;Ni(PM10);24g;4,8     ;0,0     ;58,9     ;184;50,4     ;1,1     
2003;dolnośląskie;PL0204;strefa dolnośląska;DsNRudaSrebPArch;Ni(PM10);24g;1,4     ;0,0     ;13,0     ;112;30,7     ;1,0     
2003;lubelskie;PL0602;strefa lubelska;LbDorohWIOS;Ni(PM10);24g;5,2     ;5,0     ;20,0     ;84;23,0     ;1,0     
2003;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarszBernWoda;Ni(PM10);24g;10,2     ;4,2     ;28,4     ;91;24,9     ;1,5     
2003;mazowieckie;PL1404;strefa mazowiecka;MzCiechStrazacka;Ni(PM10);24g;2,8     ;1,0     ;18,0     ;107;29,3     ;1,1     
2004;dolnośląskie;PL0201;Aglomeracja Wrocławska;DsWrocWie;Ni(PM10);24g;1,9     ;1,0     ;38,9     ;143;39,1     ;1,1     
2004;dolnośląskie;PL0202;miasto Legnica;DsLegAlRzecz;Ni(PM10);24g;1,5     ;0,7     ;4,5     ;35;9,6     ;0,0     
2004;dolnośląskie;PL0202;miasto Legnica;DsLegMick;Ni(PM10);24g;4,1     ;0,7     ;22,7     ;183;50,0     ;1,0     
2004;dolnośląskie;PL0204;strefa dolnośląska;DsCzerStraza;Ni(PM10);24g;1,4     ;0,0     ;5,6     ;174;47,5     ;1,0     
2004;dolnośląskie;PL0204;strefa dolnośląska;DsDzialoszyn;Ni(PM10);24g;2,0     ;0,0     ;13,9     ;137;37,4     ;1,1     
2004;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;Ni(PM10);24g;1,7     ;0,0     ;13,4     ;177;48,4     ;1,1     
2004;dolnośląskie;PL0204;strefa dolnośląska;DsLubinMaj;Ni(PM10);24g;7,6     ;0,1     ;36,2     ;183;50,0     ;1,0     
2004;dolnośląskie;PL0204;strefa dolnośląska;DsNRudaSrebPArch;Ni(PM10);24g;3,6     ;0,0     ;93,0     ;294;80,3     ;1,0     
2004;dolnośląskie;PL0204;strefa dolnośląska;DsPolKasztan;Ni(PM10);24g;1,4     ;0,7     ;8,9     ;112;30,6     ;1,8     
2004;dolnośląskie;PL0204;strefa dolnośląska;DsSwidRynekArch;Ni(PM10);24g;4,6     ;1,0     ;30,0     ;258;70,5     ;1,0     
2004;lubelskie;PL0602;strefa lubelska;LbDorohWIOS;Ni(PM10);24g;5,5     ;5,0     ;50,0     ;84;23,0     ;1,0     
2004;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarszAlJerozol;Ni(PM10);24g;12,1     ;3,0     ;37,0     ;131;35,8     ;1,0     
