Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Wskaźnik;Czas uśredniania;Średnia;Min;Maks;Liczba ważnych pom.;Kompletność/rok;Lato/Zima
2000;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpCiechTezni;Pb(PM10);24g;0,037;0,000;0,210;40;10,9     ;0,9     
2001;kujawsko-pomorskie;PL0403;miasto Włocławek;KpWloclSiels;Pb(PM10);24g;0,051;0,000;0,230;37;10,1     ;1,3     
2001;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpCiechTezni;Pb(PM10);24g;0,057;0,000;0,690;49;13,4     ;1,0     
2002;kujawsko-pomorskie;PL0403;miasto Włocławek;KpWloclSiels;Pb(PM10);24g;0,030;0,010;0,120;44;12,1     ;1,2     
2002;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpCiechTezni;Pb(PM10);24g;0,029;0,000;0,070;37;10,1     ;1,9     
2002;lubelskie;PL0602;strefa lubelska;LbDorohWIOS;Pb(PM10);24g;0,008;0,005;0,040;85;23,3     ;1,0     
2002;zachodniopomorskie;PL3201;Aglomeracja Szczecińska;ZpSzczWSSESped6;Pb(PM10);24g;0,095;0,000;0,750;103;28,2     ;1,0     
2003;dolnośląskie;PL0201;Aglomeracja Wrocławska;DsWrocWie;Pb(PM10);24g;0,030;0,002;0,117;140;38,4     ;1,0     
2003;dolnośląskie;PL0202;miasto Legnica;DsLegZlotor;Pb(PM10);24g;0,664;0,000;4,630;193;52,9     ;1,0     
2003;dolnośląskie;PL0204;strefa dolnośląska;DsDzialoszyn;Pb(PM10);24g;0,019;0,001;0,489;165;45,2     ;1,1     
2003;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;Pb(PM10);24g;0,024;0,001;0,411;172;47,1     ;1,1     
2003;dolnośląskie;PL0204;strefa dolnośląska;DsLubinMaj;Pb(PM10);24g;0,074;0,001;0,604;183;50,1     ;1,1     
2003;dolnośląskie;PL0204;strefa dolnośląska;DsNRudaSrebPArch;Pb(PM10);24g;0,029;0,000;0,129;122;33,4     ;1,2     
2003;kujawsko-pomorskie;PL0402;miasto Toruń;KpToruDziewu;Pb(PM10);24g;0,067;0,006;0,568;62;17,0     ;1,1     
2003;kujawsko-pomorskie;PL0403;miasto Włocławek;KpWloclSiels;Pb(PM10);24g;0,023;0,007;0,088;40;11,0     ;0,7     
2003;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpCiechTezni;Pb(PM10);24g;0,030;0,005;0,093;45;12,3     ;0,7     
2003;lubelskie;PL0602;strefa lubelska;LbDorohWIOS;Pb(PM10);24g;0,011;0,005;0,050;84;23,0     ;1,0     
2003;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarszAlJerozol;Pb(PM10);24g;0,023;0,000;0,072;116;31,8     ;1,0     
2003;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarszBernWoda;Pb(PM10);24g;0,010;0,002;0,047;90;24,7     ;1,5     
