Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Wskaźnik;Czas uśredniania;Średnia;Min;Maks;Liczba pomiarów;Kompletność ;Liczba Lato/Zima
2000;dolnośląskie;PL0204;strefa dolnośląska;DsCzerStraza;NOx;1g;6,85;0,00;47,00;8392;95,5;1,1
2000;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;NOx;1g;16,11;0,00;135,00;8459;96,3;1,0
2000;małopolskie;PL1201;Aglomeracja Krakowska;MpKrakAlKras;NOx;1g;295,67;9,00;977,00;7477;85,1;0,8
2000;małopolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;NOx;1g;67,52;4,00;710,00;6446;73,4;0,9
2000;małopolskie;PL1201;Aglomeracja Krakowska;MpKrakowWIOSPrad6115;NOx;1g;49,51;2,00;610,00;3839;43,7;4,2
2000;mazowieckie;PL1404;strefa mazowiecka;MzBelsIGFPAN;NOx;1g;9,27;0,00;52,00;7923;90,2;0,9
2000;pomorskie;PL2201;Aglomeracja Trójmiejska;Pm.a09a;NOx;1g;19,90;3,00;172,00;8426;95,9;0,9
2000;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaKacze02;NOx;1g;21,07;0,00;283,00;8238;93,8;1,1
2000;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaLeczk08;NOx;1g;27,26;1,00;609,00;8640;98,4;1,0
2000;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaPoWie01;NOx;1g;36,56;2,00;462,00;8716;99,2;1,0
2000;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaWyzwo03;NOx;1g;25,20;2,00;359,00;8569;97,6;1,0
2000;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdyPoreb04;NOx;1g;17,78;2,00;232,00;8564;97,5;1,0
2000;pomorskie;PL2201;Aglomeracja Trójmiejska;PmSopBitPl06;NOx;1g;17,81;2,00;278,00;8631;98,3;1,0
2000;pomorskie;PL2202;strefa pomorska;PmTczeTarg07;NOx;1g;25,61;10,00;237,00;8472;96,4;1,0
2000;śląskie;PL2401;Aglomeracja Górnośląska;SlBytomByto_modrz;NOx;1g;35,13;3,00;348,00;8191;93,2;1,0
2000;śląskie;PL2401;Aglomeracja Górnośląska;SlKatoKossut;NOx;1g;47,29;11,00;488,00;6449;73,4;2,0
2000;śląskie;PL2401;Aglomeracja Górnośląska;SlSosnoSosn_narut;NOx;1g;80,41;9,00;924,00;8607;98,0;1,0
2000;wielkopolskie;PL3003;strefa wielkopolska;WpKoniWyszyn;NOx;1g;18,66;8,00;161,00;4916;56,0;3,5
2001;dolnośląskie;PL0204;strefa dolnośląska;DsCzerStraza;NOx;1g;7,06;0,00;77,00;8374;95,6;1,1
2001;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;NOx;1g;21,24;0,00;167,00;8033;91,7;1,1
