Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Wskaźnik;Czas uśredniania;Średnia;Śr. zimowa;Min;Maks;L>350 (S1);25 maks. (S1);Perc. 99.7 (S1);L>125 (S24);4 maks. (S24);Perc. 99.2 (S24);Liczba pomiarów;Kompletność ;Liczba Lato/Zima
2000;dolnośląskie;PL0201;Aglomeracja Wrocławska;DsWrocUkr;SO2;24g;8,2;11,2;0,0;38,0;;;;0;32,0;32,0;344;94,0;0,99
2000;dolnośląskie;PL0201;Aglomeracja Wrocławska;DsWrocWie;SO2;24g;4,3;1,8;0,2;22,8;;;;0;18,1;18,1;317;86,6;1,17
2000;kujawsko-pomorskie;PL0403;miasto Włocławek;KpWloclMalinowa;SO2;24g;7,1;11,5;1,0;39,0;;;;0;29,0;35,0;194;53,0;0,98
2000;kujawsko-pomorskie;PL0403;miasto Włocławek;KpWloclSiels;SO2;24g;6,3;9,3;1,0;31,0;;;;0;22,0;28,0;195;53,3;0,97
2000;kujawsko-pomorskie;PL0403;miasto Włocławek;KpWlocZytnia;SO2;24g;7,1;12,0;1,0;46,0;;;;0;22,0;24,0;195;53,3;0,97
2000;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpKruszynLotnisko;SO2;24g;3,7;10,3;0,0;14,0;;;;0;12,0;14,0;184;50,3;1,09
2000;lubelskie;PL0602;strefa lubelska;LbBiaPodOrze;SO2;24g;4,7;8,3;3,0;26,0;;;;0;19,0;19,0;341;93,2;0,96
2000;łódzkie;PL1001;Aglomeracja Łódzka;LdLodzWSSEMPrzybys;SO2;24g;11,8;19,2;2,0;28,0;;;;0;27,0;27,0;366;100,0;1,00
2000;łódzkie;PL1001;Aglomeracja Łódzka;LdLodzWSSEMWici3;SO2;24g;6,8;10,2;0,0;49,0;;;;0;49,0;49,0;313;85,5;1,32
2000;łódzkie;PL1001;Aglomeracja Łódzka;LdLodzWSSEMWodna40;SO2;24g;4,4;9,3;0,0;36,0;;;;0;23,0;23,0;354;96,7;1,02
2000;łódzkie;PL1002;strefa łódzka;LdOzorkoWSSEMWigury1;SO2;24g;5,6;8,1;0,0;29,0;;;;0;25,0;25,0;366;100,0;1,00
2000;małopolskie;PL1201;Aglomeracja Krakowska;MpKrakAlKras;SO2;24g;27,0;37,6;3,0;133,0;;;;1;89,0;89,0;320;87,4;0,89
2000;podkarpackie;PL1802;strefa podkarpacka;PkPrzemWIOSDolin;SO2;24g;3,5;3,5;1,6;18,8;;;;0;15,5;15,5;365;99,7;0,99
2001;dolnośląskie;PL0201;Aglomeracja Wrocławska;DsWrocUkr;SO2;24g;8,8;12,8;0,0;78,0;;;;0;53,0;53,0;338;92,6;1,01
2001;dolnośląskie;PL0201;Aglomeracja Wrocławska;DsWrocWie;SO2;24g;5,8;8,6;0,1;59,1;;;;0;36,0;37,0;273;74,8;0,88
2001;dolnośląskie;PL0204;strefa dolnośląska;DsCzerStraza;SO2;1g;8,0;9,6;1,0;145,0;0;57,0;57,0;0;24,2;24,2;8143;93,0;1,03
2001;dolnośląskie;PL0204;strefa dolnośląska;DsJelw05;SO2;1g;10,8;14,1;1,0;202,0;0;91,0;91,0;0;40,3;40,3;7921;90,4;1,00
2001;dolnośląskie;PL0204;strefa dolnośląska;DsSniezkaObs;SO2;24g;2,2;2,4;0,4;6,4;;;;0;5,8;5,8;365;100,0;1,01
2001;kujawsko-pomorskie;PL0403;miasto Włocławek;KpWloclMalinowa;SO2;24g;7,3;12,2;0,0;30,0;;;;0;28,0;28,0;189;51,8;1,10
