"";"Dzien";"Wroclaw";"Lodz";"Krakow";"Warszawa";"Poznan"
"1";2017-01-01;"53,57";"60,0";"125,4";"33,56";"36,13"
"2";2017-01-02;"31,33";"47,0";"70,8";"31,93";"25,72"
"3";2017-01-03;"12,69";"31,0";NA;"17,42";"14,73"
"4";2017-01-04;"6,13";"16,0";NA;"7,44";"6,09"
"5";2017-01-05;"8,28";"20,0";"18,4";"7,98";"8,18"
"6";2017-01-06;"13,52";"37,0";"24,8";"11,61";"23,4"
"7";2017-01-07;"37,02";"101,0";"133,9";"45,9";"50,54"
"8";2017-01-08;"54,59";"170,0";"185,5";"98,7";"68,78"
"9";2017-01-09;"131,5";"155,0";"139,0";"102,33";"111,46"
"10";2017-01-10;"90,65";"161,0";NA;"58,6";"86,5"
"11";2017-01-11;"34,15";"100,0";NA;"56,79";"39,37"
"12";2017-01-12;"17,0";"41,0";"40,2";"27,21";"17,0"
"13";2017-01-13;"12,6";"38,0";"20,6";"36,65";"15,03"
"14";2017-01-14;"16,66";"34,0";"28,7";"20,68";"26,12"
"15";2017-01-15;"14,48";"49,0";"32,5";"30,48";"21,49"
"16";2017-01-16;"37,13";"60,0";"50,5";"42,64";"17,87"
"17";2017-01-17;"48,87";"91,0";"70,1";"83,09";"26,28"
"18";2017-01-18;"53,72";"115,0";"27,5";"64,77";"33,43"
"19";2017-01-19;"59,65";"80,0";"86,8";"38,83";"54,52"
"20";2017-01-20;"69,88";"83,0";"146,2";"44,99";"41,64"
"21";2017-01-21;"42,4";"59,0";"96,0";"28,12";"44,33"
"22";2017-01-22;"69,0";"53,0";"55,2";"26,31";"56,73"
"23";2017-01-23;"59,38";"93,0";"141,1";"52,25";"81,51"
"24";2017-01-24;"43,21";"107,0";"95,0";"87,63";"49,46"
"25";2017-01-25;"48,98";"72,0";"136,4";"30,48";"40,36"
"26";2017-01-26;"66,18";"37,0";"113,4";"40,28";"65,84"
"27";2017-01-27;"70,79";"148,0";"222,8";"89,08";"106,95"
"28";2017-01-28;"67,97";"150,0";"246,5";"111,76";"113,04"
"29";2017-01-29;"92,81";"156,0";"160,7";"50,44";"98,47"
"30";2017-01-30;"88,41";"149,0";"279,3";"53,7";"100,98"
"31";2017-01-31;"40,08";"115,0";"159,1";"62,96";"64,51"
"32";2017-02-01;"62,67";"149,0";"149,91";"65,32";"124,49"
"33";2017-02-02;"52,39";"136,0";"144,35";"69,67";"128,71"
"34";2017-02-03;"60,01";"58,0";"130,07";"87,09";"60,14"
"35";2017-02-04;"45,95";"59,0";"33,32";"33,75";"57,93"
"36";2017-02-05;NA;"58,0";"85,72";"29,21";"53,96"
"37";2017-02-06;NA;"52,0";"60,75";"31,39";"40,69"
"38";2017-02-07;NA;"44,0";"34,68";"19,59";"41,01"
"39";2017-02-08;NA;"37,0";"27,92";"13,43";"27,82"
"40";2017-02-09;NA;"64,0";"37,34";"22,86";"48,87"
"41";2017-02-10;NA;"59,0";"41,73";"23,4";"53,02"
"42";2017-02-11;"45,11";"46,0";"45,81";"21,23";"36,85"
"43";2017-02-12;"56,58";"49,0";"38,69";"20,32";"39,48"
"44";2017-02-13;"66,01";"32,0";"47,14";"35,74";"56,32"
"45";2017-02-14;"102,53";"123,0";"139,22";"82,19";"115,81"
"46";2017-02-15;"177,39";"195,0";"176,78";"116,11";"168,25"
"47";2017-02-16;"109,1";"114,0";"140,18";"131,72";"136,81"
"48";2017-02-17;NA;"57,0";"110,62";"85,09";"59,89"
