Zanieczyszczenie;Piastów-Pułaskiego - pył zawieszony PM10
Jednostka;ug/m3
2017-01-01;45.8
2017-01-02;36.2
2017-01-03;24.4
2017-01-04;11.3
2017-01-05;10.7
2017-01-06;25.4
2017-01-07;85.9
2017-01-08;177.0
2017-01-09;162.3
2017-01-10;93.8
2017-01-11;76.7
2017-01-12;34.5
2017-01-13;40.7
2017-01-14;29.6
2017-01-15;54.0
2017-01-16;73.4
2017-01-17;100.7
2017-01-18;152.1
2017-01-19;60.9
2017-01-20;53.8
2017-01-21;48.9
2017-01-22;32.0
2017-01-23;77.2
2017-01-24;100.0
2017-01-25;47.4
2017-01-26;65.6
2017-01-27;132.8
2017-01-28;120.0
2017-01-29;68.1
2017-01-30;72.5
2017-01-31;77.4
2017-02-01;79.4
2017-02-02;97.0
2017-02-03;109.0
2017-02-04;40.5
2017-02-05;34.0
2017-02-06;38.9
2017-02-07;25.4
2017-02-08;21.8
2017-02-09;32.0
2017-02-10;35.6
2017-02-11;27.2
2017-02-12;26.9
2017-02-13;67.8
2017-02-14;100.5
2017-02-15;158.1
2017-02-16;151.4
2017-02-17;100.7
2017-02-18;52.2
2017-02-19;37.2
2017-02-20;43.3
2017-02-21;15.1
2017-02-22;18.4
2017-02-23;15.8
2017-02-24;11.8
2017-02-25;25.1
2017-02-26;24.4
2017-02-27;31.1
2017-02-28;47.3
2017-03-01;34.4
2017-03-02;19.6
2017-03-03;34.0
2017-03-04;43.4
2017-03-05;49.2
2017-03-06;28.4
2017-03-07;41.8
2017-03-08;48.7
2017-03-09;64.3
2017-03-10;90.3
2017-03-11;32.2
2017-03-12;20.9
2017-03-13;39.6
2017-03-14;62.5
2017-03-15;39.1
2017-03-16;30.4
2017-03-17;41.4
2017-03-18;20.5
2017-03-19;26.5
2017-03-20;32.4
2017-03-21;32.5
2017-03-22;34.0
2017-03-23;26.4
2017-03-24;42.7
2017-03-25;49.2
2017-03-26;23.4
2017-03-27;31.4
2017-03-28;63.6
2017-03-29;48.4
2017-03-30;24.5
2017-03-31;42.5
2017-04-01;40.7
2017-04-02;41.8
2017-04-03;33.3
2017-04-04;27.3
2017-04-05;48.7
2017-04-06;13.1
2017-04-07;22.2
2017-04-08;23.1
2017-04-09;31.8
2017-04-10;30.0
2017-04-11;24.4
2017-04-12;30.5
2017-04-13;12.4
2017-04-14;12.9
2017-04-15;26.4
2017-04-16;14.5
2017-04-17;16.0
2017-04-18;12.5
2017-04-19;15.1
2017-04-20;28.5
2017-04-21;43.6
2017-04-22;16.0
2017-04-23;12.0
2017-04-24;16.4
2017-04-25;30.4
2017-04-26;18.5
