kodStacji,nazwa,miejscowosc,lat,lng
DsCzerStraza,Czerniawa,Czerniawa,50.912475,15.31219
DsDzialoszyn,Działoszyn,Działoszyn,50.972167,14.941319
DsDziePilsud,Dzierżoniów - Piłsudskiego,Dzierżoniów,50.732817,16.64805
DsGlogWiStwo,Głogów - Wita Stwosza,Głogów,51.657022,16.097822
DsJelGorOgin,Jelenia Góra - Ogińskiego,Jelenia Góra,50.913433,15.765608
DsJelGorSoko,Jelenia Góra - Sokoliki,Jelenia Góra,50.871214,15.700947
DsKlodzSzkol,Kłodzko - Szkolna,Kłodzko,50.433493,16.65366
DsLegAlRzecz,Legnica - Rzeczypospolitej,Legnica,51.204503,16.180513
DsNowRudSreb,Nowa Ruda - Srebrna,Nowa Ruda,50.579914,16.514422
DsOlawZolnAK,Oława - Żołnierzy AK,Oława,50.942073,17.291333
DsOlesBrzozo,Oleśnica - Brzozowa,Oleśnica,51.217483,17.389997
DsOsieczow21,Osieczów,Osieczów,51.31763,15.431719
DsPolKasztan,Polkowice - Kasztanowa,Polkowice,51.50237,16.075051
DsSniezkaObs,Śnieżka,Karpacz,50.736389,15.739722
DsSwidnFolwa,Świdnica - Folwarczna,Świdnica,50.84443,16.494006
DsSzczaKolej,Szczawno-Zdrój - Kolejowa,Szczawno-Zdrój,50.804189,16.254111
DsWalbrzWyso,Wałbrzych - Wysockiego,Wałbrzych,50.768729,16.269677
DsWrocAlWisn,Wrocław - Wiśniowa,Wrocław,51.086225,17.012689
DsWrocBartni,Wrocław - Bartnicza,Wrocław,51.115933,17.141125
DsWrocNaGrob,Wrocław - Na Grobli,Wrocław,51.103456,17.059225
DsWrocOrzech,Wrocław - Orzechowa,Wrocław,51.077525,17.042817
DsWrocWybCon,Wrocław - Korzeniowskiego,Wrocław,51.129378,17.02925
DsZabkPowWar,Ząbkowice Śląskie,Ząbkowice Śląskie,50.592325,16.819786
DsZgorBohGet,Zgorzelec - Bohaterów Getta,Zgorzelec,51.150391,15.008175
DsZlotoStasz,Złotoryja - Staszica,Złotoryja,51.1239,15.920289
KpBrodKochan,"Brodnica, Kochanowskiego",Brodnica,53.249264,19.415086
KpBydBerling,Bydgoszcz Fieldorfa,Bydgoszcz,53.151467,18.132111
KpBydPlPozna,Bydgoszcz Plac Poznański,Bydgoszcz,53.121764,17.987906
KpBydWarszaw,Bydgoszcz Warszawska,Bydgoszcz,53.134083,17.995708
KpCiechTezni,Ciechocinek,Ciechocinek,52.888422,18.780908
KpGrudPilsud,Grudziądz Airpointer,Grudziądz,53.49355,18.762139
KpGrudSienki,Grudziądz Starówka,Grudziądz,53.491831,18.752503
KpInowSolank,Inowrocław Airpointer,Inowrocław,52.793122,18.241044
KpKoniczynka,Koniczynka,Koniczynka,53.080647,18.684258
KpNaklSkargi,Nakło Piotra Skargi,Nakło nad Notecią,53.138358,17.605139
KpToruDziewu,Toruń POLICJA,Toruń,53.028647,18.666103
KpToruKaszow,"Toruń, KASZOWNIK",Toruń,53.017628,18.612808
KpToruWSikor,Toruń Airpointer,Toruń,53.012261,18.606203
KpWloclGniaz,"Włocławek, ul. Gniazdowskiego",Włocławek,52.651561,19.051886
KpWloclOkrze,Włocławek OKRZEI,Włocławek,52.658467,19.059314
KpZielBoryTu,Bory Tucholskie,Zielonka,53.662117,17.934017
LbBiaPodOrze,BiałaP-Orzechowa,Biała Podlaska,52.029194,23.149389
LbChelJagiel,Chełm ul. Jagiellońska,Chełm,51.13095,23.514603
LbJarczWolaM,IMGW-Jarczew,Jarczew,51.814367,21.972375
LbKrasKoszar,Kraśnik ul. Koszarowa,Kraśnik,50.928239,22.228308
LbLubObywate,Lublin ul. Obywatelska,Lublin,51.259431,22.569133
LbLubSliwins,Lublin Ul. Śliwińskiego,Lublin,51.273078,22.551675
LbPulaKarpin,Puławy ul. Karpińskiego,Puławy,51.419047,21.961089
LbRadzPodSit,RadzyńP-Sitkowskiego,Radzyń Podlaski,51.78,22.625944
LbWilczopole,Lublin-Podmiejska,Wilczopole,51.163542,22.598608
LbZamoHrubie,Zamość ul. Hrubieszowska 69A,Zamość,50.716628,23.290247
LdBelchatEdward,Bełchatów-Edwardów 5,Bełchatów,51.356611,19.365806
LdBrzeReform,Brzeziny-Reformacka1,Brzeziny,51.797814,19.755769
LdGajewUjWod,Gajew,Gajew,52.14325,19.233225
LdKutnKosciu,Kutno-Kościuszki 26,Kutno,52.234481,19.368186
LdLodzCzerni,Łódź-Widzew,Łódź,51.75805,19.529786
LdLodzGdansk,Łódź-Gdańska 16,Łódź,51.775411,19.4509
LdLodzJanPaw,Łódź-Jana Pawła II 15,Łódź,51.754613,19.434925
LdLodzKilins,Łódź-Kilińskiego 102/102a,Łódź,51.763801,19.467132
LdLodzLegion,Łódź-Legionów 1,Łódź,51.776417,19.452936
LdLodzRudzka,Łódź-Rudzka60,Łódź,51.705581,19.434842
LdLowiczSien,Łowicz-Henryka Sienkiewicza 62,Łowicz,52.105853,19.939553
LdOpocCurieSk,Opoczno-Curie-Skłodowskiej 5,Opoczno,51.379128,20.282169
LdPabiKilins,Pabianice-Kilińskiego 4,Pabianice,51.663181,19.355486
LdPabiKonsta,Pabianice-Polfa,Pabianice,51.667981,19.368683
LdParzniUjWo,Parzniewice,Parzniewice,51.291175,19.517556
LdPioTrKraPr,Piotrków Tryb.-Krakowskie Przedmieście,Piotrków Trybunalski,51.404406,19.696956
LdRadomsRoln,Radomsko-Rolna2,Radomsko,51.067439,19.448694
LdRawaNiepod,Rawa Mazowiecka-Niepodległości 8,Rawa Mazowiecka,51.760875,20.250569
LdSieraPolna,Sieradz-Polna 18/20,Sieradz,51.592111,18.734898
LdSkierKonop,Skierniewice-Marii Konopnickiej 5,Skierniewice,51.954314,20.149378
LdToMaSwAnto,TomaszówMaz.-Św. Antoniego43,Tomaszów Mazowiecki,51.526258,20.016786
LdUniejTermy,Uniejów-Termy,Uniejów,51.971664,18.79035
LdWieluPOW12,Wieluń-POW 12,Wieluń,51.217828,18.581828
LdZduWoKrole,ZduńskaWola-Królewska10,Zduńska Wola,51.601439,18.940122
LdZgieMielcz,Zgierz-Śródmieście,Zgierz,51.856692,19.421231
LuGorzKosGdy,Gorzów Wlkp. ul. Kosynierów Gdyńskich,Gorzów Wielkopolski,52.738214,15.228667
LuGorzPilsud,Gorzów Wlkp. ul. Piłsudskiego,Gorzów Wielkopolski,52.747044,15.246294
LuSmolBytnic,Smolary Bytnickie,Smolary Bytnickie,52.172222,15.206667
LuSulecDudka,Sulęcin ul. Dudka,Sulęcin,52.437722,15.122444
LuWsKaziWiel,Wschowa ul. Kazimierza Wielkiego,Wschowa,51.799722,16.3175
LuZarySzyman,"Żary, ul. Szymanowskiego 8",Żary,51.642656,15.127808
LuZielKrotka,Zielona Góra ul. Krótka,Zielona Góra,51.939783,15.518861
MpBochKonfed,"Bochnia, ul. Konfederatów Barskich",Bochnia,49.969017,20.439511
MpGorlKrasin,"Gorlice, ul. Krasińskiego",Gorlice,49.658889,21.163336
MpKaszowLisz,Kaszów,Kaszów,50.025028,19.726833
MpKrakAlKras,"Kraków, Aleja Krasińskiego",Kraków,50.057678,19.926189
MpKrakBujaka,"Kraków, ul. Bujaka",Kraków,50.010575,19.949189
MpKrakBulwar,"Kraków, ul. Bulwarowa",Kraków,50.069308,20.053492
MpKrakDietla,"Kraków, ul. Dietla",Kraków,50.057447,19.946008
MpKrakOsPias,"Kraków, os. Piastów",Kraków,50.099361,20.018317
MpKrakWadow,"Kraków, os. Wadów",Kraków,50.100569,20.122561
MpKrakZloRog,"Kraków, ul. Złoty Róg",Kraków,50.081197,19.895358
MpNiepo3Maja,"Niepołomice, ul. 3 Maja",Niepołomice,50.035117,20.212689
MpNoSaczNadb,"Nowy Sącz, ul. Nadbrzeżna",Nowy Sącz,49.619281,20.714403
MpNoTargPSlo,"Nowy Targ, Plac Słowackiego",Nowy Targ,49.483597,20.028992
MpSkawOsOgro,"Skawina, os. Ogrody",Skawina,49.971047,19.830422
MpSuchaNiesz,"Sucha Beskidzka, ul. Nieszczyńskiej",Sucha Beskidzka,49.743131,19.600339
MpSzarowSpok,"Szarów, ul. Spokojna",Szarów,50.0075,20.259167
MpSzymbaGorl,Szymbark,Szymbark,49.633714,21.116833
MpTarBitStud,"Tarnów, ul. Bitwy pod Studziankami",Tarnów,50.020169,21.004167
MpTarRoSitko,"Tarnów, ul. Ks. Romana Sitko",Tarnów,50.017875,20.993
MpTrzebOsZWM,"Trzebinia, os. Związku Walki Młodych",Trzebinia,50.159406,19.477464
MpTuchChopin,"Tuchów, ul. Chopina",Tuchów,49.893972,21.050814
MpZakopaSien,"Zakopane, ul. Sienkiewicza",Zakopane,49.293564,19.960083
MzBelsIGFPAN,Belsk-IGFPAN,Belsk Duży,51.83512,20.791556
MzGranicaKPN,Granica-KPN,Granica,52.285858,20.454653
MzGutyDuCzer,Guty Duże,Guty Duże,52.943172,21.288167
MzKonJezMos,Konstancin-Jeziorna-Wierzejewskiego,Konstancin-Jeziorna,52.080625,21.111186
MzLegZegrzyn,Legionowo-Zegrzyńska,Legionowo,52.407578,20.955928
MzOstroHalle,Ostrołęka-Hallera,Ostrołęka,53.083736,21.579322
