"Data";"Pył zawieszony PM10(ug/m3)";"Pył zawieszony PM2,5(ug/m3)"
"01-01-2018";22,3;20
"02-01-2018";25,9;20
"03-01-2018";13,9;11
"04-01-2018";14,7;9
"05-01-2018";20,1;14
"06-01-2018";41;36
"07-01-2018";34,4;26
"08-01-2018";25,8;22
"09-01-2018";43,7;30
"10-01-2018";65,9;55
"11-01-2018";51,4;41
"12-01-2018";37,8;30
"13-01-2018";21,8;16
"14-01-2018";26,3;20
"15-01-2018";57,1;33
"16-01-2018";28,9;17
"17-01-2018";12,9;12
"18-01-2018";12,1;9
"19-01-2018";21,3;21
"20-01-2018";51,1;47
"21-01-2018";54,5;51
"22-01-2018";44,2;41
"23-01-2018";93,3;89
"24-01-2018";46,1;36
"25-01-2018";34,7;28
"26-01-2018";51,6;43
"27-01-2018";84,2;67
"28-01-2018";28,5;21
"29-01-2018";7,4;6
"30-01-2018";12,7;6
"31-01-2018";25,6;18
"01-02-2018";20,8;17
"02-02-2018";28,2;23
"03-02-2018";50;40
"04-02-2018";24,4;22
"05-02-2018";32;25
"06-02-2018";93,5;75
"07-02-2018";94,8;70
"08-02-2018";75,2;69
"09-02-2018";126,9;110
"10-02-2018";176,6;120
"11-02-2018";76,1;64
"12-02-2018";42,8;33
"13-02-2018";51,2;41
"14-02-2018";67;56
"15-02-2018";53,3;46
"16-02-2018";42,7;39
"17-02-2018";72,4;70
"18-02-2018";41,4;33
"19-02-2018";55,4;44
"20-02-2018";60,1;36
"21-02-2018";52,2;34
"22-02-2018";38,2;27
"23-02-2018";42,4;33
"24-02-2018";40,8;32
"25-02-2018";26,6;24
"26-02-2018";36,1;31
"27-02-2018";39;NA
"28-02-2018";33,8;NA
"01-03-2018";58,2;27
"02-03-2018";67,8;NA
"03-03-2018";68,4;NA
"04-03-2018";127,5;NA
"05-03-2018";74,4;NA
"06-03-2018";102,8;NA
"07-03-2018";58,2;NA
"08-03-2018";34,8;36
"09-03-2018";24,8;19
"10-03-2018";55,7;42
"11-03-2018";38,4;26
"12-03-2018";25,5;15
"13-03-2018";13,6;9
"14-03-2018";15,8;15
"15-03-2018";32,3;28
"16-03-2018";26,4;21
"17-03-2018";20,1;13
"18-03-2018";22,8;11
"19-03-2018";28,6;22
"20-03-2018";49,5;37
"21-03-2018";28,4;17
"22-03-2018";42,5;27
"23-03-2018";54,3;45
