Zanieczyszczenie;Opole automat 5 - pył zawieszony PM10;Opole manualna 4 - ołów w PM10;Opole manualna 4 - benzo(b)fluoranten w PM10;Opole manualna 4 - benzo(a)piren w PM10;Opole manualna 4 - benzo(j)fluoranten w PM10;Opole manualna 4 - dwutlenek siarki;Opole manualna 4 - pył zawieszony PM10;Opole manualna 4 - kadm w PM10;Opole manualna 4 - indeno(1,2,3-cd)piren w PM10;Opole manualna 4 - pył zawieszony PM2.5;Opole manualna 4 - arsen w PM10;Opole manualna 4 - benzo(k)fluoranten w PM10;Opole manualna 4 - benzo(a)antracen w PM10;Opole manualna 4 - nikiel w PM10;Opole manualna 4 - dibenzo(a,h)antracen w PM10
Jednostka;ug/m3;ug/m3;ng/m3;ng/m3;ng/m3;ug/m3;ug/m3;ng/m3;ng/m3;ug/m3;ng/m3;ng/m3;ng/m3;ng/m3;ng/m3
2018-01-01;22.3;.0;;5.0;;3.9;24.0;.2;2.8;20.0;1.8;2.3;5.0;1.4;.0
2018-01-02;25.9;.0;;5.0;;5.2;25.0;.2;2.8;20.0;1.8;2.3;5.0;1.4;.0
2018-01-03;13.9;.0;;5.0;;3.2;14.0;.2;2.8;11.0;1.8;2.3;5.0;1.4;.0
2018-01-04;14.7;.0;;5.0;;2.8;13.0;.2;2.8;9.0;1.8;2.3;5.0;1.4;.0
2018-01-05;20.1;.0;;5.0;;3.5;20.0;.2;2.8;14.0;1.8;2.3;5.0;1.4;.0
2018-01-06;41.0;.0;;5.0;;4.9;41.0;.2;2.8;36.0;1.8;2.3;5.0;1.4;.0
2018-01-07;34.4;.0;;5.0;;3.4;30.0;.2;2.8;26.0;1.8;2.3;5.0;1.4;.0
2018-01-08;25.8;.0;;9.3;;4.7;25.0;.8;;22.0;2.3;;;1.4;.0
2018-01-09;43.7;.0;;9.3;;13.4;39.0;.8;;30.0;2.3;;;1.4;.0
2018-01-10;65.9;.0;;9.3;;10.7;65.0;.8;;55.0;2.3;;;1.4;.0
2018-01-11;51.4;.0;;9.3;;4.0;51.0;.8;;41.0;2.3;;;1.4;.0
2018-01-12;37.8;.0;;9.3;;4.3;34.0;.8;;30.0;2.3;;;1.4;.0
2018-01-13;21.8;.0;;9.3;;4.7;19.0;.8;;16.0;2.3;;;1.4;.0
2018-01-14;26.3;.0;;9.3;;5.8;24.0;.8;;20.0;2.3;;;1.4;.0
2018-01-15;57.1;.0;;5.2;;10.1;39.0;.4;;33.0;1.4;;;.5;.0
2018-01-16;28.9;.0;;5.2;;4.6;19.0;.4;;17.0;1.4;;;.5;.0
2018-01-17;12.9;.0;;5.2;;4.1;15.0;.4;;12.0;1.4;;;.5;.0
2018-01-18;12.1;.0;;5.2;;3.7;12.0;.4;;9.0;1.4;;;.5;.0
2018-01-19;21.3;.0;;5.2;;6.4;26.0;.4;;21.0;1.4;;;.5;.0
2018-01-20;51.1;.0;;5.2;;7.1;54.0;.4;;47.0;1.4;;;.5;.0
2018-01-21;54.5;.0;;5.2;;6.9;57.0;.4;;51.0;1.4;;;.5;.0
2018-01-22;44.2;.0;;9.6;;10.1;47.0;.4;;41.0;2.8;;;1.1;.0
2018-01-23;93.3;.0;;9.6;;14.8;98.0;.4;;89.0;2.8;;;1.1;.0
2018-01-24;46.1;.0;;9.6;;7.0;42.0;.4;;36.0;2.8;;;1.1;.0
2018-01-25;34.7;.0;;9.6;;9.3;32.0;.4;;28.0;2.8;;;1.1;.0
2018-01-26;51.6;.0;;9.6;;9.4;53.0;.4;;43.0;2.8;;;1.1;.0
2018-01-27;84.2;.0;;9.6;;7.6;85.0;.4;;67.0;2.8;;;1.1;.0
2018-01-28;28.5;.0;;9.6;;4.0;25.0;.4;;21.0;2.8;;;1.1;.0
2018-01-29;7.4;.0;;5.0;;2.5;8.0;.2;2.9;6.0;2.2;2.6;;.5;.0
2018-01-30;12.7;.0;;5.0;;5.6;13.0;.2;2.9;6.0;2.2;2.6;;.5;.0
2018-01-31;25.6;.0;;5.0;;5.3;25.0;.2;2.9;18.0;2.2;2.6;;.5;.0
2018-02-01;20.8;.0;;5.0;;2.4;19.0;.2;2.9;17.0;2.2;2.6;;.5;.0
2018-02-02;28.2;.0;;5.0;;3.9;29.0;.2;2.9;23.0;2.2;2.6;;.5;.0
2018-02-03;50.0;.0;;5.0;;7.4;51.0;.2;2.9;40.0;2.2;2.6;;.5;.0
2018-02-04;24.4;.0;;5.0;;7.6;24.0;.2;2.9;22.0;2.2;2.6;;.5;.0
2018-02-05;32.0;.0;;15.6;;3.5;29.0;1.0;;25.0;3.7;;;1.5;.0
2018-02-06;93.5;.0;;15.6;;16.2;91.0;1.0;;75.0;3.7;;;1.5;.0
2018-02-07;94.8;.0;;15.6;;20.3;86.0;1.0;;70.0;3.7;;;1.5;.0
2018-02-08;75.2;.0;;15.6;;8.3;77.0;1.0;;69.0;3.7;;;1.5;.0
2018-02-09;126.9;.0;;15.6;;15.0;128.0;1.0;;110.0;3.7;;;1.5;.0
2018-02-10;176.6;.0;;15.6;;14.8;139.0;1.0;;120.0;3.7;;;1.5;.0
2018-02-11;76.1;.0;;15.6;;11.4;75.0;1.0;;64.0;3.7;;;1.5;.0
2018-02-12;42.8;.0;;10.1;;8.7;42.0;.5;;33.0;2.6;;;.5;.0
2018-02-13;51.2;.0;;10.1;;8.0;52.0;.5;;41.0;2.6;;;.5;.0
2018-02-14;67.0;.0;;10.1;;5.1;64.0;.5;;56.0;2.6;;;.5;.0
2018-02-15;53.3;.0;;10.1;;6.5;53.0;.5;;46.0;2.6;;;.5;.0
2018-02-16;42.7;.0;;10.1;;6.6;47.0;.5;;39.0;2.6;;;.5;.0
2018-02-17;72.4;.0;;10.1;;10.7;81.0;.5;;70.0;2.6;;;.5;.0
2018-02-18;41.4;.0;;10.1;;5.1;44.0;.5;;33.0;2.6;;;.5;.0
2018-02-19;55.4;.0;;7.3;;11.2;52.0;.5;;44.0;1.6;;;.5;.0
2018-02-20;60.1;.0;;7.3;;11.2;54.0;.5;;36.0;1.6;;;.5;.0
2018-02-21;52.2;.0;;7.3;;7.8;48.0;.5;;34.0;1.6;;;.5;.0
2018-02-22;38.2;.0;;7.3;;5.5;33.0;.5;;27.0;1.6;;;.5;.0
2018-02-23;42.4;.0;;7.3;;4.9;39.0;.5;;33.0;1.6;;;.5;.0
2018-02-24;40.8;.0;;7.3;;4.6;39.0;.5;;32.0;1.6;;;.5;.0
2018-02-25;26.6;.0;;7.3;;6.1;65.0;.5;;24.0;1.6;;;.5;.0
2018-02-26;36.1;.0;;9.7;;10.6;33.0;.9;;31.0;2.4;;;.5;.0
2018-02-27;39.0;.0;;9.7;;4.8;33.0;.9;;;2.4;;;.5;.0
2018-02-28;33.8;.0;;9.7;;6.9;59.0;.9;;;2.4;;;.5;.0
2018-03-01;58.2;;;;;10.9;;;;27.0;;;;;
2018-03-02;67.8;.0;;9.7;;11.2;68.0;.9;;;2.4;;;.5;.0
2018-03-03;68.4;.0;;9.7;;12.5;73.0;.9;;;2.4;;;.5;.0
2018-03-04;127.5;.0;;9.7;;21.3;113.0;.9;;;2.4;;;.5;.0
