Region|Country|PM10_annual_mean_ug/m3|PM10_year|PM2.5_annual_mean_ug/m3|PM2.5_year|nr_and_type_of_monitoring_stations|reference_for_air_quality
Afr|Ghana|98|2008|49|2008|5 stations in Accra (capital city)|#N/A
Afr|Mauritius|72|2010|37||2 stations in 2 cities|#N/A
Afr|Senegal|179|2012|40|2012|3 stations in capital city: 2 traffic, 1 urban for PM10;  1 station traffic for PM2.5|#N/A
Afr|South Africa|56|2011-2012|27|2011-2012|37 stations in 17 sites|2012 State of Air Report and National Air Quality Indicator Session 1.4 - SAAQIS, from the 7th Lekgota on Air Quality Governance, South African Air Quality Information System, data received upon request (July 2013)
Afr|Unit. Rep. of Tanzania|35|2011|23|2011|1 station, 2 measurement (during dry and wet season)|#N/A
Amr HI|Canada|11|2010-2012|8|2010-2012|137 stations (94 residential, 43 commercial) in 99 cities (PM2.5), 18 stations (13 residential, 5 commercial)  in 16 cities (PM10)|#N/A
Amr HI|Chile|64|2011|28|2008-2012|47 stations in 24 cities|#N/A
Amr HI|United States of America|20||12|2012|646 stations in 261 cities of >100,000 inhabitants|#N/A
Amr HI|Uruguay|27|2012|18|2012|2 stations for PM10, 1 station for PM2.5, in capital city|#N/A
Amr LMI|Argentina|30|2012|16||3 stations, 2 stations in residential/commercial with fixed sources and 1 in mixed zone with medium to low traffic in capital city|#N/A
Amr LMI|Bolivia (Plurinational State of)|51|2010|27||5 stations in 2 cities|#N/A
Amr LMI|Brazil|41|2012|22||>56 stations in 40 cities|#N/A
Amr LMI|Colombia|43|2010-2012|24||37 stations in 10 cities|#N/A
Amr LMI|Costa Rica|31|2011|17||8 stations in 4 cities|#N/A
Amr LMI|Ecuador|38|2012|18||9 cities|#N/A
Amr LMI|Guatemala|45|2012|33|2012|4 stations in capital city|#N/A
Amr LMI|Honduras|58|2013|32|2013|2 stations in capital city|#N/A
Amr LMI|Jamaica|36|2011|20||12 stations, mixed, in 3 cities|#N/A
Amr LMI|Mexico|79|2011|27|2011|>24 stations in 9 cities|#N/A
