id,mean,city,lat,lon
DsJelw05,17.971264367816094,Jeleniów,51.22484,15.23298
DsWrocWie,36.72536231884058,Wrocław,51.10549,17.03647
KpCiechoTezniowa,31.39672131147541,Ciechocinek,52.88842,18.78091
KpWloclSielska,23.514473684210525,Włocławek,52.66472,19.03639
LbBialaPOrzechowa,15.30952380952381,Biała Podlaska,52.02919,23.14939
LdLodzWSSEMWodna40,42.11969111969112,Łódź,51.76167,19.47694
MpKrakowWIOSAKra6117,42.60826446280992,Kraków,50.05768,19.92619
MpKrakowWIOSPrad6115,27.273568281938324,Kraków,50.08750,19.92611
MzWarszKrucza,36.869932432432435,Warszawa,52.22458,21.01904
PkPrzemWIOSDolin,59.70724358974359,Przemyśl,49.78667,22.75806
