city,date,mean
Łódź,2011-01-01,22.7
Łódź,2011-01-02,21.555666666666667
Łódź,2011-01-03,24.85
Łódź,2011-01-04,50.864
Łódź,2011-01-05,81.89433333333334
Łódź,2011-01-06,57.81666666666667
Łódź,2011-01-07,61.34733333333333
Łódź,2011-01-08,64.736
Łódź,2011-01-09,54.02766666666667
Łódź,2011-01-10,60.77766666666667
Łódź,2011-01-11,51.833333333333336
Łódź,2011-01-12,42.208333333333336
Łódź,2011-01-13,40.74733333333333
Łódź,2011-01-14,42.766666666666666
Łódź,2011-01-15,18.764
Łódź,2011-01-16,44.69733333333333
Łódź,2011-01-17,79.08333333333333
Łódź,2011-01-18,75.17466666666667
Łódź,2011-01-19,43.68066666666667
Łódź,2011-01-20,29.464
Łódź,2011-01-21,24.525
Łódź,2011-01-22,33.358333333333334
Łódź,2011-01-23,25.005666666666666
Łódź,2011-01-24,30.9
Łódź,2011-01-25,62.35
Łódź,2011-01-26,70.36666666666667
Łódź,2011-01-27,56.083333333333336
Łódź,2011-01-28,63.736
Łódź,2011-01-29,92.15266666666666
Łódź,2011-01-30,119.54166666666667
Łódź,2011-01-31,81.04166666666667
Łódź,2011-02-01,86.889
Łódź,2011-02-02,81.09733333333334
Łódź,2011-02-03,44.389
Łódź,2011-02-04,28.849999999999998
Łódź,2011-02-05,12.525
Łódź,2011-02-06,17.566666666666666
Łódź,2011-02-07,22.008333333333333
Łódź,2011-02-08,27.65
Łódź,2011-02-09,30.75
Łódź,2011-02-10,42.202666666666666
Łódź,2011-02-11,33.486
Łódź,2011-02-12,16.739
Łódź,2011-02-13,49.13066666666667
Łódź,2011-02-14,53.958333333333336
Łódź,2011-02-15,47.730666666666664
Łódź,2011-02-16,51.81933333333333
Łódź,2011-02-17,55.861
Łódź,2011-02-18,64.06933333333333
Łódź,2011-02-19,73.764
Łódź,2011-02-20,44.889
Łódź,2011-02-21,60.2085
Łódź,2011-02-22,82.8335
Łódź,2011-02-23,80.6665
Łódź,2011-02-24,102.104
Łódź,2011-02-25,114.896
Łódź,2011-02-26,92.479
Łódź,2011-02-27,51
Łódź,2011-02-28,51.5
Łódź,2011-03-01,50.5
Łódź,2011-03-02,83.229
Łódź,2011-03-03,73.521
Łódź,2011-03-04,126.7085
Łódź,2011-03-05,85.896
Łódź,2011-03-06,23.3335
Łódź,2011-03-07,29.7375
Łódź,2011-03-08,84.021
Łódź,2011-03-09,68.0625
Łódź,2011-03-10,54.041666666666664
Łódź,2011-03-11,52.94433333333333
Łódź,2011-03-12,45.014
Łódź,2011-03-13,69.639
Łódź,2011-03-14,71.24233333333333
Łódź,2011-03-15,127
Łódź,2011-03-16,70.5
Łódź,2011-03-17,43.45
Łódź,2011-03-18,40.35
Łódź,2011-03-19,33.49733333333334
Łódź,2011-03-20,56.77766666666667
Łódź,2011-03-21,91
Łódź,2011-03-22,57.736
Łódź,2011-03-23,36.97233333333333
Łódź,2011-03-24,36.09733333333333
Łódź,2011-03-25,28.625
Łódź,2011-03-26,27.843333333333334
Łódź,2011-03-27,48.174
Łódź,2011-03-28,47.525
Łódź,2011-03-29,80.15266666666666
Łódź,2011-03-30,116.139
Łódź,2011-03-31,82.23066666666666
Łódź,2011-04-01,37.40566666666667
Łódź,2011-04-02,59.22233333333333
Łódź,2011-04-03,41.02766666666667
Łódź,2011-04-04,52.06933333333333
Łódź,2011-04-05,41.19733333333333
Łódź,2011-04-06,43.327666666666666
Łódź,2011-04-07,37.416666666666664
Łódź,2011-04-08,49.02766666666667
Łódź,2011-04-09,40.93066666666667
Łódź,2011-04-10,21.125
Łódź,2011-04-11,48.647333333333336
Łódź,2011-04-12,37.089
Łódź,2011-04-13,21.919333333333334
Łódź,2011-04-14,30.680666666666667
Łódź,2011-04-15,42.38066666666667
Łódź,2011-04-16,50.666666666666664
Łódź,2011-04-17,63.083333333333336
Łódź,2011-04-18,63.44433333333333
Łódź,2011-04-19,46.611
Łódź,2011-04-20,36.87233333333334
Łódź,2011-04-21,44.80833333333333
Łódź,2011-04-22,42.81933333333333
Łódź,2011-04-23,35.5
Łódź,2011-04-24,29.466666666666665
Łódź,2011-04-25,26.46933333333333
Łódź,2011-04-26,29.452666666666666
Łódź,2011-04-27,41.07933333333333
Łódź,2011-04-28,54.708333333333336
Łódź,2011-04-29,53.952666666666666
Łódź,2011-04-30,38.439
