Kod.stacji,Stary.Kod.stacji,Wojewodstwo,Miejscowosc,Lat,Lon
DsBialka,DsBialka,DOLNOŚLĄSKIE,Białka,51.197783,16.11739
DsBielGrot,DsBielGrot,DOLNOŚLĄSKIE,Bielawa,50.68251,16.617348
DsBogatFrancMOB,DsBogatMob,DOLNOŚLĄSKIE,Bogatynia,50.940998,14.91679
DsBogChop,DsBogChop,DOLNOŚLĄSKIE,Bogatynia,50.905856,14.967175
DsBogZatonieMob,DsBogZatonieMob,DOLNOŚLĄSKIE,Bogatynia,50.943245,14.913327
DsBoleslaMOB,DsBoleslaMOB,DOLNOŚLĄSKIE,Bolesławiec,51.263245,15.570354
DsBrzegGlog,DsBrzegGlog,DOLNOŚLĄSKIE,Brzeg Głogowski,51.691438,15.91784
DsChojnowKil,DsChojnowKil,DOLNOŚLĄSKIE,Chojnów,51.268889,15.940278
DsCzar07,DsCzar07,DOLNOŚLĄSKIE,Czarna Góra,50.255072,16.801641
DsCzerStraza,DsCzer02,DOLNOŚLĄSKIE,Czerniawa,50.912475,15.31219
DsCzLasMob,DsCzLasMob,DOLNOŚLĄSKIE,Czarny Las,51.541658,16.937064
DsDuszZiel,DsDuszZiel,DOLNOŚLĄSKIE,Duszniki-Zdrój,50.393396,16.38247
DsDzialoszyn,DsDzia01,DOLNOŚLĄSKIE,Działoszyn,50.972167,14.941319
DsDziePilsud,DsDzierPilsA,DOLNOŚLĄSKIE,Dzierżoniów,50.732817,16.64805
DsDzierKras,DsDzierKras,DOLNOŚLĄSKIE,Dzierżoniów,50.726338,16.647286
DsGlogMob,DsGlogMob,DOLNOŚLĄSKIE,Głogów,51.657022,16.097822
DsGlogNorw,DsGlogNorw,DOLNOŚLĄSKIE,Głogów,51.65713,16.086188
DsGlogNorwArch,DsGlogNorwArch,DOLNOŚLĄSKIE,Głogów,51.657152,16.086183
DsGlogOrzech,DsGlogOrzech,DOLNOŚLĄSKIE,Głogów,51.648546,16.092286
DsGlogowko,DsGlogowko,DOLNOŚLĄSKIE,Głogówko,51.731824,16.097768
DsGlogSikor,DsGlogSikor,DOLNOŚLĄSKIE,Głogów,51.664508,16.040822
DsGlogWiStwo,DsGlogWita,DOLNOŚLĄSKIE,Głogów,51.657022,16.097822
DsGrodziec,DsGrodziec,DOLNOŚLĄSKIE,Grodziec Mały,51.687496,16.073213
DsJasnaSport,DsJasnaSport,DOLNOŚLĄSKIE,Jasna Góra,50.873692,14.954236
DsJawDmow,DsJawDmow,DOLNOŚLĄSKIE,Jawor,51.057121,16.179854
DsJedlZdroj,DsJedlZdroj,DOLNOŚLĄSKIE,Jedlina-Zdrój,50.728378,16.345481
DsJelGorOgin,DsJeleniaGoraA,DOLNOŚLĄSKIE,Jelenia Góra,50.913433,15.765608
DsJelGorSoko,DsJeleniaGoraPM,DOLNOŚLĄSKIE,Jelenia Góra,50.871214,15.700947
DsJelw05,DsJelw05,DOLNOŚLĄSKIE,Jeleniów,51.224843,15.232984
DsJgCiep,DsJgCiep,DOLNOŚLĄSKIE,Jelenia Góra,50.862966,15.681788
DsJgCiepA,DsJgCiepA,DOLNOŚLĄSKIE,Jelenia Góra,50.861853,15.678761
DsJgGrottgeraPM,DsJgGrottgeraPM,DOLNOŚLĄSKIE,Jelenia Góra,50.897497,15.736629
DsJgGrottgeraPMArch,DsJgGrottgeraPMArch,DOLNOŚLĄSKIE,Jelenia Góra,50.897497,15.736629
DsJgScieg,DsJgScieg,DOLNOŚLĄSKIE,Jelenia Góra,50.865874,15.679301
DsJgWoln,DsJgWoln,DOLNOŚLĄSKIE,Jelenia Góra,50.885634,15.717597
DsJgZabob,DsJgZabob,DOLNOŚLĄSKIE,Jelenia Góra,50.91447,15.764693
DsKalinowka,DsKalinowka,DOLNOŚLĄSKIE,Kalinowka,51.5226,16.244147
DsKawice,DsKawice,DOLNOŚLĄSKIE,Kawice,51.230833,16.428889
DsKgMob,DsKgMob,DOLNOŚLĄSKIE,Kamienna Góra,50.786873,16.029129
DsKgSien,DsKgSien,DOLNOŚLĄSKIE,Kamienna Góra,50.781207,16.029155
DsKlodzOkrz,DsKlodzOkrz,DOLNOŚLĄSKIE,Kłodzko,50.433389,16.650177
DsKlodzSzkol,DsKlodzkoA,DOLNOŚLĄSKIE,Kłodzko,50.433493,16.65366
DsKobierz,DsKobierz,DOLNOŚLĄSKIE,Kobierzyce,50.968056,16.928056
DsKowMaj,DsKowMaj,DOLNOŚLĄSKIE,Kowary,50.793145,15.835843
DsKozDoly,DsKozDoly,DOLNOŚLĄSKIE,Kozie Doły,51.727524,16.025971
DsKromolin,DsKromolin,DOLNOŚLĄSKIE,Kromolin,51.684959,15.894901
DsKudowaMOB,DsKudowaMOB,DOLNOŚLĄSKIE,Kudowa-Zdrój,50.447096,16.238509
DsKudSlon,DsKudSlon,DOLNOŚLĄSKIE,Kudowa-Zdrój,50.439976,16.248312
DsLadekWol,DsLadekWol,DOLNOŚLĄSKIE,Lądek-Zdrój,50.345683,16.888804
DsLegAlRzecz,DsLegRzeczA,DOLNOŚLĄSKIE,Legnica,51.204503,16.180513
DsLegIwasz,DsLegIwasz,DOLNOŚLĄSKIE,Legnica,51.208189,16.216706
DsLegJaworz,DsLegJaworz,DOLNOŚLĄSKIE,Legnica,51.191168,16.156159
DsLegKsiez,DsLegKsiez,DOLNOŚLĄSKIE,Legnica,51.208727,16.190277
DsLegMick,DsLegMick,DOLNOŚLĄSKIE,Legnica,51.202831,16.164608
DsLegPoraz,DsLegPoraz,DOLNOŚLĄSKIE,Legnica,51.193519,16.135192
