Data;Warszawa-Komunikacyjna;Warszawa-Targowek;Warszawa-Ursynow
1/1/2017 1:00;38.33;29.54;22.57
1/1/2017 2:00;33.33;25.14;18.47
1/1/2017 3:00;32.13;24.84;18.57
1/1/2017 4:00;31.33;24.24;17.27
1/1/2017 5:00;29.03;23.04;16.17
1/1/2017 6:00;26.03;21.04;15.97
1/1/2017 7:00;18.33;19.44;14.87
1/1/2017 8:00;19.33;16.84;12.17
1/1/2017 9:00;14.53;13.54;8.67
1/1/2017 10:00;15.83;9.94;6.37
1/1/2017 11:00;17.93;10.54;7.47
1/1/2017 12:00;23.03;13.74;10.57
1/1/2017 13:00;32.43;17.84;13.37
1/1/2017 14:00;39.73;22.34;15.87
1/1/2017 15:00;43.43;26.48;18.77
1/1/2017 16:00;50.33;26.88;19.57
1/1/2017 17:00;52.03;30.98;17.97
1/1/2017 18:00;48.33;31.18;18.47
1/1/2017 19:00;55.83;28.38;18.27
1/1/2017 20:00;46.43;23.58;20.01
1/1/2017 21:00;40.63;24.48;20.71
1/1/2017 22:00;36.93;24.58;20.41
1/1/2017 23:00;41.83;25.18;19.61
1/2/2017 0:00;38.63;24.68;18.51
1/2/2017 1:00;24.33;21.88;17.61
1/2/2017 2:00;23.73;20.08;14.81
1/2/2017 3:00;19.73;20.08;13.11
1/2/2017 4:00;20.83;19.18;13.01
1/2/2017 5:00;23.83;19.58;13.01
1/2/2017 6:00;31.53;24.58;14.31
1/2/2017 7:00;40.53;30.38;20.41
1/2/2017 8:00;48.33;34.98;24.81
1/2/2017 9:00;45.83;34.08;27.31
1/2/2017 10:00;39.43;32.38;25.71
1/2/2017 11:00;38.33;31.08;24.41
1/2/2017 12:00;38.13;30.98;24.71
1/2/2017 13:00;38.51;35.68;24.11
1/2/2017 14:00;48.91;35.98;26.81
1/2/2017 15:00;46.31;36.68;30.91
1/2/2017 16:00;41.61;39.58;30.31
1/2/2017 17:00;48.21;38.78;30.81
1/2/2017 18:00;47.21;38.08;29.61
1/2/2017 19:00;38.51;38.58;27.81
1/2/2017 20:00;37.51;44.08;27.11
1/2/2017 21:00;40.71;26.28;24.31
1/2/2017 22:00;38.01;22.78;16.51
1/2/2017 23:00;26.41;27.08;20.41
1/3/2017 0:00;21.31;20.78;13.61
1/3/2017 1:00;18.51;35.58;13.01
1/3/2017 2:00;12.61;13.88;10.21
1/3/2017 3:00;11.21;11.78;8.71
1/3/2017 4:00;10.91;10.58;8.11
1/3/2017 5:00;12.01;12.68;7.31
1/3/2017 6:00;20.61;18.58;9.91
1/3/2017 7:00;39.81;27.98;19.81
1/3/2017 8:00;48.31;33.68;28.61
1/3/2017 9:00;46.11;27.28;22.51
1/3/2017 10:00;46.81;23.08;20.01
1/3/2017 11:00;60.41;25.38;19.91
1/3/2017 12:00;54.51;29.98;20.21
1/3/2017 13:00;67.11;30.68;20.91
1/3/2017 14:00;57.11;36.28;27.71
1/3/2017 15:00;56.91;32.98;27.61
1/3/2017 16:00;67.01;44.18;35.31
1/3/2017 17:00;61.91;49.28;34.31
1/3/2017 18:00;72.31;49.08;32.51
1/3/2017 19:00;59.01;45.08;28.41
1/3/2017 20:00;51.61;33.08;20.91
1/3/2017 21:00;39.01;28.88;19.01
1/3/2017 22:00;36.31;23.88;14.51
1/3/2017 23:00;28.11;20.28;12.01
1/4/2017 0:00;17.91;16.78;10.11
1/4/2017 1:00;16.51;15.78;8.91
1/4/2017 2:00;14.61;13.98;9.01
1/4/2017 3:00;15.21;12.58;8.91
1/4/2017 4:00;16.41;11.78;8.61
