Data;Warszawa-Komunikacyjna;Warszawa-Targowek;Warszawa-Ursynow
1/1/2017 1:00;86.34;36.57;26.11
1/1/2017 2:00;75.54;29.07;19.51
1/1/2017 3:00;62.44;30.07;19.91
1/1/2017 4:00;59.94;30.47;18.01
1/1/2017 5:00;56.44;28.57;17.31
1/1/2017 6:00;52.24;25.87;16.61
1/1/2017 7:00;31.44;22.07;15.91
1/1/2017 8:00;34.14;19.77;13.21
1/1/2017 9:00;26.54;15.67;9.51
1/1/2017 10:00;25.04;10.97;6.91
1/1/2017 11:00;30.84;11.87;8.41
1/1/2017 12:00;44.24;16.07;11.51
1/1/2017 13:00;70.34;20.97;15.51
1/1/2017 14:00;82.64;26.67;18.51
1/1/2017 15:00;91.54;30.37;20.51
1/1/2017 16:00;114.24;29.47;21.21
1/1/2017 17:00;114.74;36.17;18.91
1/1/2017 18:00;100.84;35.37;20.21
1/1/2017 19:00;133.34;31.47;20.31
1/1/2017 20:00;111.54;25.27;21.71
1/1/2017 21:00;83.14;27.27;21.48
1/1/2017 22:00;77.34;26.47;21.38
1/1/2017 23:00;77.24;26.77;20.68
1/2/2017 0:00;63.34;26.27;19.28
1/2/2017 1:00;39.64;23.37;18.48
1/2/2017 2:00;35.14;21.27;15.18
1/2/2017 3:00;29.14;21.27;13.48
1/2/2017 4:00;28.74;20.57;13.48
1/2/2017 5:00;43.24;20.87;13.38
1/2/2017 6:00;54.74;27.77;14.78
1/2/2017 7:00;103.24;37.97;21.48
1/2/2017 8:00;112.44;46.47;28.08
1/2/2017 9:00;120.94;50.07;32.48
1/2/2017 10:00;104.34;46.57;30.98
1/2/2017 11:00;120.24;53.27;34.08
1/2/2017 12:00;125.14;55.47;34.98
1/2/2017 13:00;113.24;60.37;34.98
1/2/2017 14:00;140.14;57.67;36.38
1/2/2017 15:00;129.24;57.97;41.98
1/2/2017 16:00;104.94;67.07;37.48
1/2/2017 17:00;115.54;57.97;37.38
1/2/2017 18:00;130.14;54.57;34.18
1/2/2017 19:00;87.64;55.87;31.38
1/2/2017 20:00;98.44;70.37;30.38
1/2/2017 21:00;93.94;35.17;26.38
1/2/2017 22:00;80.74;28.47;17.58
1/2/2017 23:00;63.64;32.37;21.38
1/3/2017 0:00;40.24;24.17;14.58
1/3/2017 1:00;39.74;42.77;13.48
1/3/2017 2:00;19.64;15.57;10.38
1/3/2017 3:00;15.54;13.07;8.98
1/3/2017 4:00;17.64;11.27;8.28
1/3/2017 5:00;20.34;14.97;7.58
1/3/2017 6:00;37.04;23.47;10.58
1/3/2017 7:00;92.84;38.17;21.28
1/3/2017 8:00;106.64;48.87;31.88
1/3/2017 9:00;114.44;42.97;25.98
1/3/2017 10:00;123.24;33.87;23.58
1/3/2017 11:00;150.44;35.07;23.98
1/3/2017 12:00;182.74;41.77;24.68
1/3/2017 13:00;207.24;40.97;27.08
1/3/2017 14:00;193.34;52.37;35.98
1/3/2017 15:00;211.54;44.07;36.68
1/3/2017 16:00;254.84;58.07;51.18
1/3/2017 17:00;254.64;62.77;42.68
1/3/2017 18:00;243.44;56.67;39.38
1/3/2017 19:00;188.54;50.07;32.38
1/3/2017 20:00;125.04;38.47;23.78
1/3/2017 21:00;89.64;33.07;20.98
1/3/2017 22:00;75.04;26.17;15.58
1/3/2017 23:00;60.84;22.27;12.88
1/4/2017 0:00;33.84;17.27;10.48
1/4/2017 1:00;27.74;16.27;9.08
1/4/2017 2:00;23.64;14.67;9.38
1/4/2017 3:00;21.54;13.17;8.98
1/4/2017 4:00;22.24;12.47;8.78
1/4/2017 5:00;26.64;15.87;9.68
1/4/2017 6:00;43.74;24.27;10.78
1/4/2017 7:00;68.64;27.17;14.68
1/4/2017 8:00;91.34;42.47;24.38
1/4/2017 9:00;133.14;33.47;18.88
1/4/2017 10:00;108.94;26.67;14.78
1/4/2017 11:00;107.24;25.67;12.58
1/4/2017 12:00;119.64;25.77;14.48
1/4/2017 13:00;137.04;29.57;17.38
1/4/2017 14:00;125.64;32.87;17.08
1/4/2017 15:00;113.14;33.77;20.28
1/4/2017 16:00;110.14;31.67;16.78
1/4/2017 17:00;124.34;26.97;23.28
1/4/2017 18:00;114.94;26.67;18.08
1/4/2017 19:00;73.84;75.77;15.08
1/4/2017 20:00;66.34;87.47;14.98
1/4/2017 21:00;63.74;30.07;14.88
1/4/2017 22:00;49.74;43.67;11.28
1/4/2017 23:00;39.54;25.57;9.58
1/5/2017 0:00;34.24;10.47;7.38
1/5/2017 1:00;29.04;8.37;5.98
1/5/2017 2:00;23.64;4.87;6.18
1/5/2017 3:00;22.94;4.87;9.08
1/5/2017 4:00;26.24;5.97;9.28
1/5/2017 5:00;40.84;6.77;12.18
1/5/2017 6:00;60.14;12.97;15.48
1/5/2017 7:00;107.14;20.67;11.98
1/5/2017 8:00;160.34;23.17;14.78
1/5/2017 9:00;232.84;24.97;31.18
1/5/2017 10:00;248.64;25.67;26.98
1/5/2017 11:00;237.74;26.37;32.18
1/5/2017 12:00;244.54;26.67;29.28
1/5/2017 13:00;218.54;25.77;27.58
1/5/2017 14:00;228.94;29.47;23.98
1/5/2017 15:00;218.74;36.17;17.18
1/5/2017 16:00;288.44;40.57;24.58
1/5/2017 17:00;193.24;38.87;28.98
1/5/2017 18:00;139.44;35.67;24.48
1/5/2017 19:00;183.24;35.17;18.08
1/5/2017 20:00;125.14;35.37;26.08
1/5/2017 21:00;124.64;35.67;22.58
1/5/2017 22:00;142.94;21.57;20.28
1/5/2017 23:00;131.54;16.47;15.68
1/6/2017 0:00;78.94;12.17;4.98
1/6/2017 1:00;74.44;6.47;6.48
1/6/2017 2:00;66.84;5.97;11.08
1/6/2017 3:00;59.24;8.47;13.28
1/6/2017 4:00;78.84;14.57;8.88
1/6/2017 5:00;53.34;11.57;20.98
1/6/2017 6:00;60.94;11.57;8.78
1/6/2017 7:00;44.44;11.17;4.48
1/6/2017 8:00;36.14;8.97;4.68
1/6/2017 9:00;25.74;9.27;3.98
1/6/2017 10:00;35.64;9.37;5.58
1/6/2017 11:00;33.24;12.17;8.38
1/6/2017 12:00;43.94;13.47;9.18
1/6/2017 13:00;50.14;16.57;9.48
1/6/2017 14:00;75.94;18.17;10.28
1/6/2017 15:00;101.54;21.47;11.38
1/6/2017 16:00;105.44;28.77;14.88
1/6/2017 17:00;127.54;42.27;14.98
1/6/2017 18:00;102.24;33.57;15.28
1/6/2017 19:00;61.04;44.27;17.58
1/6/2017 20:00;63.64;28.97;14.88
1/6/2017 21:00;59.24;30.47;13.18
1/6/2017 22:00;50.44;25.27;15.58
1/6/2017 23:00;65.34;26.57;11.78
1/7/2017 0:00;78.34;25.67;12.68
1/7/2017 1:00;36.94;24.77;10.38
1/7/2017 2:00;28.24;29.77;9.38
1/7/2017 3:00;34.24;31.97;11.48
1/7/2017 4:00;53.64;32.17;10.38
1/7/2017 5:00;59.34;34.37;26.98
1/7/2017 6:00;63.94;35.37;26.28
1/7/2017 7:00;80.44;46.77;26.28
1/7/2017 8:00;127.54;57.47;33.38
1/7/2017 9:00;145.24;60.07;63.38
1/7/2017 10:00;173.74;41.47;73.88
1/7/2017 11:00;198.04;47.97;62.98
1/7/2017 12:00;204.74;57.07;51.18
1/7/2017 13:00;199.94;61.07;54.28
1/7/2017 14:00;199.94;71.47;44.38
1/7/2017 15:00;211.84;58.57;36.08
1/7/2017 16:00;244.44;67.47;41.78
1/7/2017 17:00;277.24;76.57;42.08
1/7/2017 18:00;216.04;99.17;48.58
1/7/2017 19:00;261.84;97.17;54.38
1/7/2017 20:00;286.74;107.37;43.18
1/7/2017 21:00;350.64;111.57;65.38
1/7/2017 22:00;275.64;124.77;92.38
1/7/2017 23:00;243.14;144.67;68.28
1/8/2017 0:00;202.04;245.17;91.28
1/8/2017 1:00;364.44;326.57;115.08
1/8/2017 2:00;311.24;412.07;231.68
1/8/2017 3:00;226.24;386.67;219.38
1/8/2017 4:00;301.24;415.47;233.38
1/8/2017 5:00;282.34;430.57;210.48
1/8/2017 6:00;211.44;398.47;100.48
1/8/2017 7:00;218.74;397.67;96.48
1/8/2017 8:00;396.14;353.07;123.88
1/8/2017 9:00;519.84;461.37;216.28
1/8/2017 10:00;637.54;382.47;284.68
1/8/2017 11:00;361.74;236.37;297.78
1/8/2017 12:00;186.54;126.67;164.08
1/8/2017 13:00;152.34;86.77;81.48
1/8/2017 14:00;186.74;52.87;33.08
1/8/2017 15:00;167.34;57.87;26.98
1/8/2017 16:00;176.54;115.47;33.38
1/8/2017 17:00;193.34;103.07;37.78
1/8/2017 18:00;209.34;96.67;42.98
1/8/2017 19:00;255.14;130.87;48.48
1/8/2017 20:00;224.34;169.07;64.88
1/8/2017 21:00;224.54;147.07;101.78
1/8/2017 22:00;111.34;55.47;125.68
1/8/2017 23:00;142.04;66.37;91.88
1/9/2017 0:00;121.94;77.07;75.98
1/9/2017 1:00;74.14;92.37;77.28
1/9/2017 2:00;49.54;97.17;71.98
1/9/2017 3:00;41.64;62.37;101.88
1/9/2017 4:00;50.64;51.87;110.88
1/9/2017 5:00;117.54;48.77;102.38
1/9/2017 6:00;132.94;120.17;85.58
1/9/2017 7:00;293.44;175.77;118.08
1/9/2017 8:00;518.14;192.77;182.38
1/9/2017 9:00;589.74;216.47;247.88
1/9/2017 10:00;598.54;128.37;203.08
1/9/2017 11:00;540.94;124.67;183.08
1/9/2017 12:00;525.54;133.27;163.18
1/9/2017 13:00;506.74;100.37;147.08
1/9/2017 14:00;474.84;106.97;133.98
1/9/2017 15:00;598.74;138.47;124.58
1/9/2017 16:00;746.34;321.97;178.38
1/9/2017 17:00;773.34;314.67;259.48
1/9/2017 18:00;667.64;336.27;333.98
1/9/2017 19:00;716.94;473.97;380.38
1/9/2017 20:00;772.04;654.77;183.88
1/9/2017 21:00;680.34;712.27;193.08
1/9/2017 22:00;278.54;306.77;51.78
1/9/2017 23:00;161.44;91.57;66.98
1/10/2017 0:00;77.24;88.37;52.88
1/10/2017 1:00;54.24;46.87;30.48
1/10/2017 2:00;39.04;31.97;22.88
1/10/2017 3:00;28.44;34.47;21.78
1/10/2017 4:00;28.84;42.37;20.28
1/10/2017 5:00;30.44;36.47;21.18
1/10/2017 6:00;46.14;45.37;27.48
1/10/2017 7:00;106.84;43.57;25.38
1/10/2017 8:00;136.44;56.17;37.58
1/10/2017 9:00;156.04;77.97;37.88
1/10/2017 10:00;176.04;73.87;39.18
1/10/2017 11:00;153.94;76.47;42.48
1/10/2017 12:00;164.74;71.67;36.48
1/10/2017 13:00;160.74;75.07;42.28
1/10/2017 14:00;151.74;80.77;41.58
1/10/2017 15:00;139.94;85.47;46.28
1/10/2017 16:00;119.54;66.57;43.38
1/10/2017 17:00;114.94;65.07;52.78
1/10/2017 18:00;131.74;62.97;50.38
1/10/2017 19:00;122.64;64.47;46.48
1/10/2017 20:00;142.54;58.57;40.88
1/10/2017 21:00;166.74;45.87;25.78
1/10/2017 22:00;140.54;43.57;23.58
1/10/2017 23:00;93.04;39.87;19.68
1/11/2017 0:00;88.44;36.97;18.18
1/11/2017 1:00;66.74;35.97;16.28
1/11/2017 2:00;54.24;25.77;15.68
1/11/2017 3:00;42.44;28.17;15.58
1/11/2017 4:00;40.64;29.67;15.68
1/11/2017 5:00;41.64;31.37;18.88
1/11/2017 6:00;92.34;38.07;24.68
1/11/2017 7:00;190.04;50.27;32.38
1/11/2017 8:00;320.64;83.97;51.48
1/11/2017 9:00;349.64;94.97;68.78
1/11/2017 10:00;247.54;91.17;61.08
1/11/2017 11:00;279.94;80.17;49.18
1/11/2017 12:00;241.84;77.17;38.88
1/11/2017 13:00;233.34;69.07;32.08
1/11/2017 14:00;209.84;58.57;31.08
1/11/2017 15:00;196.44;63.67;31.78
1/11/2017 16:00;307.24;63.37;35.98
1/11/2017 17:00;229.94;49.67;29.68
1/11/2017 18:00;199.94;47.17;31.18
1/11/2017 19:00;208.14;52.47;33.78
1/11/2017 20:00;145.74;48.17;33.38
1/11/2017 21:00;123.24;49.67;39.18
1/11/2017 22:00;98.74;45.77;26.48
1/11/2017 23:00;85.04;39.07;24.98
1/12/2017 0:00;48.84;31.67;19.28
1/12/2017 1:00;37.84;25.17;14.68
1/12/2017 2:00;36.84;23.97;16.48
1/12/2017 3:00;33.74;26.17;19.68
1/12/2017 4:00;42.74;30.07;18.78
1/12/2017 5:00;71.94;38.67;21.48
1/12/2017 6:00;84.34;55.77;24.98
1/12/2017 7:00;174.64;57.97;30.68
1/12/2017 8:00;241.64;68.07;47.08
1/12/2017 9:00;225.04;64.87;43.68
1/12/2017 10:00;183.34;60.37;33.38
1/12/2017 11:00;134.84;44.87;30.18
1/12/2017 12:00;131.64;47.57;24.88
1/12/2017 13:00;128.54;41.67;23.88
1/12/2017 14:00;120.84;41.37;22.38
1/12/2017 15:00;132.64;49.07;20.58
1/12/2017 16:00;158.44;53.27;26.58
1/12/2017 17:00;138.14;50.27;23.58
1/12/2017 18:00;181.34;49.17;30.48
1/12/2017 19:00;148.04;41.07;25.38
1/12/2017 20:00;98.44;40.87;18.68
1/12/2017 21:00;102.94;34.87;18.68
1/12/2017 22:00;112.64;31.87;18.68
1/12/2017 23:00;85.84;36.07;19.38
1/13/2017 0:00;71.94;27.77;16.18
1/13/2017 1:00;59.74;23.87;19.18
1/13/2017 2:00;44.24;20.37;17.48
1/13/2017 3:00;41.34;21.47;14.48
