Kod stacji,DsJelGorOgin,DsWrocAlWisn,DsWrocWybCon,KpBydPlPozna,KpBydWarszaw,KpToruDziewu,LbLubObywate,LdLodzCzerni,LdLodzGdansk,LdZgieMielcz,LuZielKrotka,MpKrakAlKras,MpKrakBujaka,MpKrakBulwar,MpTarRoSitko,MzKonJezMos,MzLegZegrzyn,MzOtwoBrzozo,MzPiasPulask,MzPlocMiReja,MzRadTochter,MzSiedKonars,MzWarAlNiepo,MzWarMarszal,MzWarWokalna,MzZyraRoosev,OpKKozBSmial,PdAugustoZdrMOB,PdBialWaszyn,PdSuwPulaski,PkMielBierna,PkPrzemGrunw,PkRymZdrPark,PmGdaLeczk08,PmKosTargo12,SkKielJagiel,SkMalo11List,SkPolaRuszcz,SlGliwicMewy,SlKatoKossut,SlZlotPotLes,WmOlsPuszkin,WpKaliSawick,WpPoznPolank,ZpSzczAndr01,ZpSzczPils02
2017-01-01 01:00:00,"196,194","168,81","100,623","44,2",,"36,6104","45,5","41,16","68,0","55,0","54,9545","177,442","360,374","154,246","224,624",,"52,29375","79,181289","39,351","38,01743","56,884615","67,584973","59,247045","56,695256","58,956509","38,81629","157,901",,"37,392","31,0","92,13","30,2375","41,5821","36,1797",,"108,9","72,47","82,89",,"136,845","60,1568","30,2394","29,3761","39,1408","50,228","73,6034"
2017-01-01 02:00:00,"198,681","104,097","94,2191","34,9",,,"94,5","114,219","46,0","36,0","15,6642","178,942","208,365","145,81","237,634",,"131,800551","65,189846","80,5182","31,726404","46,175926","55,716595","42,842684","45,303338","35,047096","36,819139","329,341",,"70,224","18,0","113,33","28,5181","33,2432",,,"193,7","80,21","87,4","106,064","147,918","47,7645","43,1277","48,262","38,58","34,7557","94,7912"
2017-01-01 03:00:00,"226,165","70,2537","59,5","19,0",,"33,8978","47,0","50,421","31,0","22,0","15,589","187,503","174,77","131,457","256,414",,"67,901151","58,287401","33,9024","31,227117","47,169516","54,991809","38,650458","37,739105","32,733281","33,024553","192,717",,"42,864","16,0","118,92","27,2256","36,0318",,,"159,9","73,52","86,23","92,3331","118,778","46,51","30,1919","33,0007","38,58","24,1701","35,3811"
2017-01-01 04:00:00,"199,431","69,3456","50,7744","12,6",,"28,8014","38,9","62,769","36,0","23,0","18,7633","206,545","154,054","138,577","203,826",,"49,001752","34,22212","32,288","31,027402","44,740741","51,277279","38,650458","36,827752","32,047707","38,81629","192,858",,"40,128","15,0","101,948","26,4636","41,0642",,,"105,9","61,92","99,17","87,2488","79,8342","37,3537","25,4103","30,2612","52,0135","23,9946","27,6087"
2017-01-01 05:00:00,"228,648","62,673","58,2","5,9",,,"59,8","54,537","37,0","21,0","20,119","187,565","151,824","118,453","172,333",,"43,602352","38,046447","34,2051","30,827687","44,961538","47,834543","39,19727","37,83024","31,447829","37,917573","186,298",,"41,04","13,0","90,5791","24,5302","43,8904",,,"73,1","46,68","110,29","83,5667","78,7642","32,72","19,0525","26,5846","54,13","24,5127","24,1742"
2017-01-01 06:00:00,"187,257","62,708","53,6203","7,1",,"22,472","54,4","43,218","31,0","19,0","20,691","178,409","154,923","120,642","129,1",,"41,402953","36,087645","38,2411","33,224268","43,195157","45,750782","37,192293","35,187315","30,162377","30,627971","114,022",,"41,04","10,0","57,3831","22,4415","41,5783",,,"52,3","37,93","113,07","74,9591","63,741","36,0686","16,8536","31,7664","54,13","23,8547","20,9517"
2017-01-01 07:00:00,"157,452","52,3724","48,5","13,9",,"14,8274","44,9","33,957","28,0","17,0","24,6122","167,08","119,46","112,156","85,1265",,"43,103553","28,905372","40,9654","28,730678","41,980769","45,931979","39,470677","37,101158","31,447829","23,737801","138,791",,"39,216","8,0","55,9796","24,0666","40,0346",,,"40,2","35,04","118,41","58,8252","51,8231","39,5653","17,3876","27,6112","42,6662","23,1705","19,4828"
2017-01-01 08:00:00,"173,659","44,9037","40,3998","15,9",,"19,3","47,2","30,87","25,0","12,0","27,9694","162,086","120,534","101,902","78,915",,"36,804154","28,065885","37,8375","20,142929","42,422365","46,475569","36,736616","35,005045","27,591472","19,244211","127,501",,"31,92","8,0","49,1455","25,6636","40,6159",,,"46,0","37,67","107,37","56,8423","50,8001","48,5218","16,8258","23,7976","40,86","22,3299","21,6236"
2017-01-01 09:00:00,"191,052","46,4531","41,3735","19,8",,"18,6086","43,2","31,899","28,0","14,0","28,1274","157,246","120,635","95,4731","67,301",,"41,304754","20,230677","26,3349","18,844781","44,740741","47,109757","28,807842","27,349676","20,65003","21,341219","108,408",,"30,096","10,0","44,5372","29,4667","42,3553",,,"33,1","35,46","91,26","58,8752","70,1071","39,2689","13,734","25,6992","40,86","20,9894","23,0797"
2017-01-01 10:00:00,"179,401","49,9244","45,1","18,8",,"20,9102","48,5","32,928","28,0","18,0","27,6017","151,902","103,503","79,9294","57,692",,"27,905355","17,89877","20,2809","23,438228","38,00641","45,388389","22,154962","20,605661","15,765311","25,635094","94,2616",,"20,976","10,0","46,7774","31,5385","44,6386",,,"33,3","36,31","76,14","68,5864","47,6403","39,8522","16,2104","29,3167","28,1781","22,6374","25,6006"
