"","month","weekday","hour","sum"
"1","styczeń","niedziela",1,12952.465487
"2","styczeń","niedziela",2,10696.674007
"3","styczeń","niedziela",3,9038.562277
"4","styczeń","niedziela",4,8151.022809
"5","styczeń","niedziela",5,7580.956035
"6","styczeń","niedziela",6,7025.060467
"7","styczeń","niedziela",7,6530.261783
"8","styczeń","niedziela",8,6319.446911
"9","styczeń","niedziela",9,6323.475477
"10","styczeń","niedziela",10,6418.583214
"11","styczeń","niedziela",11,6195.887828
"12","styczeń","niedziela",12,5124.12677
"13","styczeń","niedziela",13,5187.350766
"14","styczeń","niedziela",14,4825.439303
"15","styczeń","niedziela",15,4809.048771
"16","styczeń","niedziela",16,4923.475429
"17","styczeń","niedziela",17,5622.150957
"18","styczeń","niedziela",18,6488.638687
"19","styczeń","niedziela",19,7603.786362
"20","styczeń","niedziela",20,7730.540323
"21","styczeń","niedziela",21,7625.495641
"22","styczeń","niedziela",22,7488.835404
"23","styczeń","niedziela",23,7028.834453
"24","styczeń","poniedziałek",0,6709.185182
"25","styczeń","poniedziałek",1,6437.637513
"26","styczeń","poniedziałek",2,6172.773363
"27","styczeń","poniedziałek",3,5394.613471
"28","styczeń","poniedziałek",4,4915.02285
"29","styczeń","poniedziałek",5,4701.697109
"30","styczeń","poniedziałek",6,4664.954696
"31","styczeń","poniedziałek",7,4899.571962
"32","styczeń","poniedziałek",8,5070.350676
"33","styczeń","poniedziałek",9,5329.754897
"34","styczeń","poniedziałek",10,4918.788345
"35","styczeń","poniedziałek",11,4707.509985
"36","styczeń","poniedziałek",12,4765.06128
"37","styczeń","poniedziałek",13,4538.375507
"38","styczeń","poniedziałek",14,4273.084478
"39","styczeń","poniedziałek",15,4313.509192
"40","styczeń","poniedziałek",16,4303.237728
"41","styczeń","poniedziałek",17,4366.294553
"42","styczeń","poniedziałek",18,4279.353654
"43","styczeń","poniedziałek",19,4211.040245
"44","styczeń","poniedziałek",20,4217.648255
"45","styczeń","poniedziałek",21,4020.273812
"46","styczeń","poniedziałek",22,3880.339756
"47","styczeń","poniedziałek",23,3497.946016
"48","styczeń","wtorek",0,3431.290653
"49","styczeń","wtorek",1,3105.416844
"50","styczeń","wtorek",2,2789.013262
"51","styczeń","wtorek",3,2527.608835
"52","styczeń","wtorek",4,2472.696633
"53","styczeń","wtorek",5,2313.607752
"54","styczeń","wtorek",6,2241.641503
"55","styczeń","wtorek",7,2356.086481
"56","styczeń","wtorek",8,2696.927186
"57","styczeń","wtorek",9,2690.332933
"58","styczeń","wtorek",10,2658.444314
"59","styczeń","wtorek",11,2573.750118
"60","styczeń","wtorek",12,2442.159388
"61","styczeń","wtorek",13,2379.542519
"62","styczeń","wtorek",14,2561.815968
"63","styczeń","wtorek",15,2661.538785
"64","styczeń","wtorek",16,2534.6948
"65","styczeń","wtorek",17,2801.072106
"66","styczeń","wtorek",18,2633.78241
"67","styczeń","wtorek",19,2497.473029
"68","styczeń","wtorek",20,2466.670858
"69","styczeń","wtorek",21,2033.594087
"70","styczeń","wtorek",22,1781.839779
"71","styczeń","wtorek",23,1594.897564
"72","styczeń","środa",0,1513.153125
"73","styczeń","środa",1,1367.370376
"74","styczeń","środa",2,1224.370921
"75","styczeń","środa",3,1141.455715
"76","styczeń","środa",4,1078.904327
"77","styczeń","środa",5,1022.720878
"78","styczeń","środa",6,1015.274046
"79","styczeń","środa",7,994.518416
"80","styczeń","środa",8,1092.897028
"81","styczeń","środa",9,1193.468015
"82","styczeń","środa",10,1270.331407
"83","styczeń","środa",11,1371.247398
"84","styczeń","środa",12,1396.98675
"85","styczeń","środa",13,1363.352064
"86","styczeń","środa",14,1381.189349
"87","styczeń","środa",15,1448.931953
"88","styczeń","środa",16,1473.614997
"89","styczeń","środa",17,1449.455295
"90","styczeń","środa",18,1447.970397
"91","styczeń","środa",19,1469.329475
"92","styczeń","środa",20,1584.100617
"93","styczeń","środa",21,1519.006246
"94","styczeń","środa",22,1418.368344
"95","styczeń","środa",23,1317.546309
"96","styczeń","czwartek",0,1181.679649
"97","styczeń","czwartek",1,1176.231718
"98","styczeń","czwartek",2,1095.929375
"99","styczeń","czwartek",3,1024.309441
"100","styczeń","czwartek",4,1016.531874
"101","styczeń","czwartek",5,1073.524216
"102","styczeń","czwartek",6,1113.471278
"103","styczeń","czwartek",7,1237.256453
"104","styczeń","czwartek",8,1360.645264
"105","styczeń","czwartek",9,1526.659598
"106","styczeń","czwartek",10,1593.394898
"107","styczeń","czwartek",11,1685.017143
"108","styczeń","czwartek",12,1674.383772
"109","styczeń","czwartek",13,1765.008756
"110","styczeń","czwartek",14,1779.491096
