x;y;colour
10;1;chocolate4
11;1;chocolate4
12;1;chocolate4
10;2;chocolate4
11;2;chocolate4
12;2;chocolate4
10;3;chocolate4
11;3;chocolate4
12;3;chocolate4
3;4;#26610b
4;4;#26610b
5;4;#26610b
6;4;#26610b
7;4;#26610b
8;4;#26610b
9;4;#26610b
10;4;#26610b
11;4;#26610b
12;4;#26610b
13;4;#26610b
14;4;#26610b
15;4;#26610b
16;4;#26610b
17;4;#26610b
18;4;#26610b
19;4;#26610b
4;5;#26610b
5;5;#26610b
6;5;#26610b
7;5;#26610b
8;5;#26610b
9;5;#26610b
10;5;#26610b
11;5;#26610b
12;5;#26610b
13;5;#26610b
14;5;#26610b
15;5;#26610b
16;5;#26610b
17;5;#26610b
18;5;#26610b
4;6;#26610b
5;6;#26610b
6;6;#26610b
7;6;#26610b
8;6;#26610b
9;6;#26610b
10;6;#26610b
11;6;#26610b
12;6;#26610b
13;6;#26610b
14;6;#26610b
15;6;#26610b
16;6;#26610b
17;6;#26610b
18;6;#26610b
5;7;#26610b
6;7;#26610b
7;7;#26610b
8;7;#26610b
9;7;#26610b
10;7;#26610b
11;7;#26610b
12;7;#26610b
13;7;#26610b
14;7;#26610b
15;7;#26610b
16;7;#26610b
17;7;#26610b
5;8;#26610b
6;8;#26610b
7;8;#26610b
8;8;#26610b
9;8;#26610b
10;8;#26610b
11;8;#26610b
12;8;#26610b
13;8;#26610b
14;8;#26610b
15;8;#26610b
16;8;#26610b
17;8;#26610b
6;9;#26610b
7;9;#26610b
8;9;#26610b
9;9;#26610b
10;9;#26610b
11;9;#26610b
12;9;#26610b
13;9;#26610b
14;9;#26610b
15;9;#26610b
16;9;#26610b
6;10;#26610b
7;10;#26610b
8;10;#26610b
9;10;#26610b
10;10;#26610b
11;10;#26610b
12;10;#26610b
13;10;#26610b
14;10;#26610b
15;10;#26610b
16;10;#26610b
7;11;#26610b
8;11;#26610b
9;11;#26610b
10;11;#26610b
11;11;#26610b
12;11;#26610b
13;11;#26610b
14;11;#26610b
15;11;#26610b
7;12;#26610b
8;12;#26610b
9;12;#26610b
10;12;#26610b
11;12;#26610b
12;12;#26610b
13;12;#26610b
14;12;#26610b
15;12;#26610b
8;13;#26610b
9;13;#26610b
10;13;#26610b
11;13;#26610b
12;13;#26610b
13;13;#26610b
14;13;#26610b
8;14;#26610b
9;14;#26610b
10;14;#26610b
11;14;#26610b
12;14;#26610b
13;14;#26610b
14;14;#26610b
9;15;#26610b
10;15;#26610b
11;15;#26610b
12;15;#26610b
13;15;#26610b
10;16;#26610b
11;16;#26610b
12;16;#26610b
10;17;#26610b
11;17;#26610b
12;17;#26610b
11;18;#26610b
