year_of_birth,height,weight,scars,colour,year_of_discovery,number_of_lost_teeth,life_length,BMI
-1291,59.40365015327988,15.323910846337819,7,red,1700,25,1368.4331053973938,5.193628943041758
1589,46.213737103586816,11.80819412308321,5,red,1700,28,1377.0474089478273,6.612548502177284
1528,49.172331704048396,13.344815894201018,6,red,1700,38,1603.9632219210514,6.60082998042489
1645,48.291767527811665,13.274271052637147,5,green,1700,33,1434.4221595831705,6.807568875949743
-8,49.99679262850424,13.087565226266136,1,red,1700,18,985.4904813930118,6.261842432802565
915,45.40876448222298,11.487173165966059,2,red,1700,20,969.5681709945158,6.662870346186606
-1557,50.734553022629676,14.51622187112976,3,black,1700,28,1255.0887250173485,6.7448684794895
-1144,45.45112111053096,11.935728344616113,7,blue,1700,29,1498.9457053427086,6.910147071524458
-66,65.72122349219184,17.759332402571403,6,red,1700,2,886.8253600104645,4.917483615623393
-165,54.20567683880973,14.295860800863636,32,red,1700,22,2298.935385343603,5.818999673105013
1796,56.453761662849146,14.248957065290053,29,red,1700,25,2261.2475658848653,5.347180842631668
-1807,46.55812194121849,12.115797084099231,3,blue,1701,0,710.3950942181182,6.684803558154623
-1746,46.14618618225609,14.424152406225339,8,blue,1701,4,1016.3742806282778,8.101141908713902
-1552,47.59641029192733,12.398575126823602,3,red,1701,20,1103.5208110980743,6.545622333341282
605,44.05680782950934,11.38566843896984,18,green,1701,7,1363.6551588694163,7.0155228617491865
731,53.89940926015622,14.601737254146068,3,red,1701,27,1170.2290968032717,6.011240226659319
-1767,44.1343385257525,12.101307212136367,16,green,1701,21,1617.709499191224,7.430304431216452
367,56.25791895930291,15.926301245914129,6,red,1701,4,941.2328558647139,6.01831846556759
120,47.52125455481595,14.896750274983857,0,red,1701,20,994.270493449079,7.889387865477508
1439,51.98403027168452,13.308388579570673,9,red,1701,20,1254.2950267768385,5.889970835680646
1517,40.542018257150666,15.657253987810403,4,red,1701,15,1028.7423526573266,11.39285138172927
-1665,47.67223533764414,11.947190483473072,6,red,1701,8,961.4716590555506,6.2872730331593
-814,47.40957054950652,13.84969415062176,11,green,1701,32,1683.2844207687192,7.3694606675977585
-1229,50.77803422642572,13.157288772383886,5,blue,1701,3,885.9553204957255,6.102983612532409
721,65.66603028216345,17.647077274003294,2,red,1701,35,1276.1825480193663,4.894618275139341
1437,44.06453830182412,11.685220714639522,45,blue,1701,14,2597.2916425176236,7.197572316088487
-223,50.62689892618432,13.55974659982239,17,red,1701,18,1649.5969106921966,6.327271738317535
433,58.832553826468114,16.21252975737428,0,green,1701,22,1060.578323145039,5.601998004729796
1652,46.885480694298025,13.463929133362019,12,black,1701,6,1205.2279223721266,7.32525312453437
-1755,51.75231629650887,17.371957544087383,1,red,1701,39,1415.375008501918,7.75740989245506
-1056,65.81284447404386,17.62550563924195,7,red,1701,14,1185.0108069882626,4.866848492959813
369,43.508169376912,11.791494470435662,13,green,1701,5,1229.6136466275323,7.449974663398404
379,48.528716703372474,12.278499134254126,8,red,1701,37,1654.156303510958,6.235556737811804
676,50.94578077051573,14.765911236702658,10,green,1701,23,1360.7470054674795,6.804110746995411
25,46.80650369035569,12.32519492496393,11,green,1701,19,1368.5196189475298,6.728355937494825
-1389,38.94977099203967,11.542017919340307,8,red,1702,39,1680.2699565544358,9.099122090349104
-575,59.74031878354447,15.913319961360742,1,red,1702,17,977.5418135451379,5.332775348888547
-1897,45.359487779084766,12.368261874522958,12,blue,1702,14,1353.0899210868392,7.189520956416491
-1460,44.036200217374805,11.862078623204443,13,blue,1702,12,1354.065162001876,7.315915626984698
-880,46.0934191066607,11.644196860022449,14,red,1702,7,1290.6829116454485,6.554797142816018
-1492,64.62210858901983,19.10209775566073,4,blue,1702,21,1174.3503763729286,5.470743827229368
1552,43.22088493046951,13.511406478377795,25,blue,1702,30,2209.8271268129115,8.650492132215438
-615,60.479472462797254,15.872463652999436,24,red,1702,9,1742.3337361093286,5.189863288266789
-1138,45.3225261370295,12.414768315498089,4,blue,1702,39,1544.9907070104607,7.228329945194878
500,48.90962435565676,12.397185596361474,2,red,1702,15,865.1018334392509,6.198149020467694
-1599,43.84264494748539,12.22030042268264,17,green,1702,23,1776.9849033795738,7.603542100949084
-86,52.869927595568726,17.928202456586636,14,blue,1702,18,1523.3357933046173,7.670909902103833
584,53.10097659214671,13.302667329607743,11,red,1702,24,1391.3631011631123,5.642366326271303
-1803,57.96098081322673,16.840632942198262,1,green,1702,39,1412.4724407867948,5.99534974740759
-633,43.43544605489399,12.375225236843018,1,green,1702,20,1053.7802786172686,7.844984786729101
347,38.507820397659216,11.745952455806117,4,green,1702,1,787.0351777441904,9.473662931755566
-138,50.35012620548345,13.785464298521534,10,blue,1702,5,1100.4189928062938,6.5035103558724066
-1337,43.0263589009475,11.522227217904737,1,green,1702,7,762.5455663301216,7.443801943896334
1489,51.01414105482212,13.307104433886238,9,green,1702,39,1653.1582760476956,6.115471874033076
1305,53.65379782834322,13.542006197883499,44,blue,1703,32,2898.420693999258,5.626128361878487
-1179,57.570433328015255,15.022772026735705,4,green,1703,8,929.5622881722671,5.420990488602378
1640,42.59797872892308,10.886615003421197,14,red,1703,38,1883.6624181357922,7.175339347544849
-24,44.81028662260738,11.784702262869395,14,red,1703,1,1176.1620894685743,7.0192504134582805
-249,46.22851740945339,13.955325462739205,3,green,1703,40,1516.7656711339064,7.809938316402647
-1574,53.48943017121836,13.374576006728372,2,red,1703,29,1227.62821311477,5.590770252689147
1476,40.22712190767904,10.673284782427748,11,red,1703,12,1187.636762631028,7.888378474220706
-1641,52.20992298504223,13.5076529660399,18,blue,1703,3,1383.7027981317835,5.926541835328148
557,40.284668160856214,10.824516015913483,2,green,1703,11,787.287710729738,7.9773100423748975
-193,46.518860067825244,13.098929398522383,6,green,1703,17,1197.440871325226,7.239444428878902
-1161,49.93664966789698,13.245169917744647,5,green,1703,14,1101.2118435556138,6.352523735064592
-201,51.72810908995477,14.119601103975109,34,red,1703,28,2526.4935212340392,6.310979746965466
588,51.02173088910057,13.674776512272553,0,blue,1703,13,750.2163712651565,6.2825713146750735
-281,49.51082970351995,13.158349494277076,5,blue,1703,33,1450.090163889339,6.419904592303305
-945,50.92935439202671,13.237957795624894,9,green,1703,35,1663.8392981264753,6.103967543267518
-1275,39.87787060450616,11.449196835923374,4,red,1703,23,1217.3034127916346,8.610704142195694
-1790,51.38074640216899,13.561676886902642,2,blue,1703,15,950.038789833084,6.143843439902493
-1442,51.48195145759066,13.39215333553796,0,red,1704,39,1405.6014622338234,6.0432140459533015
-835,50.14466725861541,12.877887869286068,19,green,1704,13,1626.0751123734194,6.125234173102152
69,58.102792405048866,14.6545357773162,4,red,1704,25,1285.2817908502527,5.1916525629677865
237,54.52431414881873,14.836167714167667,22,green,1704,37,2226.0225006212922,5.968550552394454
-1779,58.5188286262415,17.029295400288106,9,red,1704,5,1073.3571357395138,5.947480075648785
427,47.18807083132648,11.886969953632057,8,red,1704,25,1422.5252615676777,6.384608693105773
1481,56.534917610860816,14.449505826732008,19,blue,1704,37,1984.5500080010238,5.406883753825154
-998,42.01937264076046,11.261672864306114,6,red,1704,30,1477.800454088172,7.628362890388767
-243,51.918284381080035,14.852078425216193,11,blue,1704,3,1104.2968447583414,6.5898288173222435
1166,52.58587917605585,14.64609661856223,9,blue,1704,3,919.1449168672146,6.334483096534773
626,54.54064869588242,14.333196081138393,3,red,1704,36,1335.4017295058554,5.762753050297774
-1900,46.8636893832012,11.837093302907396,25,green,1704,8,1782.7737166007034,6.446139272558002
-115,48.276990778001554,12.459038368706258,12,red,1704,32,1694.6633979555934,6.393397475523313
377,57.18997659366002,14.982595049821263,0,blue,1704,1,588.235127476252,5.478665295415202
-733,51.32721132492174,15.32431580412985,0,blue,1704,18,966.1490072240647,6.956860907841044
-1118,48.253721295872616,13.436841707405978,3,red,1704,14,1018.4164284239519,6.901812285772573
472,55.015276309932574,14.071189049838807,11,green,1704,38,1786.3485690469115,5.560217318786216
1635,40.498621021762496,10.201866888774857,2,red,1704,7,819.7468435921063,7.439208765482933
1304,44.99033149019179,11.666172021986814,24,green,1705,13,1686.1209146381025,6.8931472364989155
