"","birthplace","date_of_birth","race_ethnicity","religion","year_of_award","movie","person"
"1","Chisinau, Moldova","30-Sep-1895","White","Na",1927,"Two Arabian Knights","Lewis Milestone"
"2","Glasgow, Scotland","2-Feb-1886","White","Na",1930,"The Divine Lady","Frank Lloyd"
"3","Chisinau, Moldova","30-Sep-1895","White","Na",1931,"All Quiet on the Western Front","Lewis Milestone"
"4","Chicago, Il","23-Feb-1899","White","Na",1932,"Skippy","Norman Taurog"
"5","Salt Lake City, Ut","23-Apr-1894","White","Roman Catholic",1933,"Bad Girl","Frank Borzage"
"6","Glasgow, Scotland","2-Feb-1886","White","Na",1934,"Cavalcade","Frank Lloyd"
"7","Bisacquino, Sicily, Italy","18-May-1897","White","Roman Catholic",1935,"It Happened One Night","Frank Capra"
"8","Cape Elizabeth, Me","1-Feb-1894","White","Roman Catholic",1936,"The Informer","John Ford"
"9","Bisacquino, Sicily, Italy","18-May-1897","White","Roman Catholic",1937,"Mr. Deeds Goes to Town","Frank Capra"
"10","Los Angeles, Ca","3-Oct-1898","White","Na",1938,"The Awful Truth","Leo McCarey"
"11","Bisacquino, Sicily, Italy","18-May-1897","White","Roman Catholic",1939,"You Can't Take It with You","Frank Capra"
"12","Pasadena, Ca","23-Feb-1883","White","Na",1940,"Gone with the Wind","Victor Fleming"
"13","Cape Elizabeth, Me","1-Feb-1894","White","Roman Catholic",1941,"The Grapes of Wrath","John Ford"
"14","Cape Elizabeth, Me","1-Feb-1894","White","Roman Catholic",1942,"How Green Was My Valley","John Ford"
"15","Mulhouse, Haut-Rhin, Alsace, France","1-Jul-1902","White","Na",1943,"Mrs. Miniver","William Wyler"
"16","Budapest, Hungary","24-Dec-1886","White","Na",1944,"Casablanca","Michael Curtiz"
"17","Los Angeles, Ca","3-Oct-1898","White","Na",1945,"Going My Way","Leo McCarey"
"18","New York City","11-Oct-18","White","Jewish",1962,"West Side Story","Jerome Robbins"
"19","Sucha, Galicia, Austria","22-Jun-06","White","Jewish",1946,"The Lost Weekend","Billy Wilder"
"20","Mulhouse, Haut-Rhin, Alsace, France","1-Jul-1902","White","Na",1947,"The Best Years of Our Lives","William Wyler"
"21","Istanbul, Turkey","7-Sep-09","White","Na",1948,"Gentleman's Agreement","Elia Kazan"
"22","Nevada, Mo","5-Aug-06","White","Na",1949,"The Treasure of the Sierra Madre","John Huston"
"23","Wilkes-Barre, Pa","11-Feb-09","White","Jewish",1950,"A Letter to Three Wives","Joseph L. Mankiewicz"
"24","Wilkes-Barre, Pa","11-Feb-09","White","Jewish",1951,"All About Eve","Joseph L. Mankiewicz"
"25","Oakland, Ca","18-Dec-04","White","Na",1952,"A Place in the Sun","George Stevens"
"26","Cape Elizabeth, Me","1-Feb-1894","White","Roman Catholic",1953,"The Quiet Man","John Ford"
"27","Vienna, Austria","29-Apr-07","White","Jewish",1954,"From Here to Eternity","Fred Zinnemann"
"28","Istanbul, Turkey","7-Sep-09","White","Na",1955,"On the Waterfront","Elia Kazan"
"29","Lawrence, Ks","30-Jan-20","White","Presbyterian",1956,"Marty","Delbert Mann"
"30","Oakland, Ca","18-Dec-04","White","Na",1957,"Giant","George Stevens"
"31","Croydon, Surrey, England","25-Mar-08","White","Na",1958,"The Bridge on the River Kwai","David Lean"
"32","Chicago, Il","28-Feb-1903","White","Na",1959,"Gigi","Vincente Minnelli"
"33","Mulhouse, Haut-Rhin, Alsace, France","1-Jul-1902","White","Na",1960,"Ben-Hur","William Wyler"
"34","Sucha, Galicia, Austria","22-Jun-06","White","Jewish",1961,"The Apartment","Billy Wilder"
"35","Winchester, In","10-Sep-14","White","Na",1961,"West Side Story","Robert Wise"
"36","Croydon, Surrey, England","25-Mar-08","White","Na",1963,"Lawrence of Arabia","David Lean"
"37","Shipley, Yorkshire, England","5-Jun-28","White","Na",1964,"Tom Jones","Tony Richardson"
"38","New York City","7-Jul-1899","White","Na",1965,"My Fair Lady","George Cukor"
"39","Winchester, In","10-Sep-14","White","Na",1966,"The Sound of Music","Robert Wise"
"40","Vienna, Austria","29-Apr-07","White","Jewish",1967,"A Man for All Seasons","Fred Zinnemann"
"41","Berlin, Germany","6-Nov-31","White","Jewish",1968,"The Graduate","Mike Nichols"
"42","St. Louis Park, Mn","29-Nov-54","White","Jewish",2008,"No Country for Old Men","Joel Coen"
"43","London, England","30-Dec-06","White","Na",1969,"Oliver!","Carol Reed"
"44","London, England","16-Feb-26","White","Na",1969,"Midnight Cowboy","John Schlesinger"
"45","Tokyo, Japan","30-May-20","White","Na",1970,"Patton","Franklin J. Schaffner"
"46","Chicago, Il","29-Aug-35","White","Jewish",1972,"The French Connection","William Friedkin"
"47","Chicago, Il","23-Jun-27","White","Na",1973,"Cabaret","Bob Fosse"
"48","Minneapolis, Mn","20-Dec-21","White","Na",1973,"The Sting","George Roy Hill"
"49","Detroit, Mi","7-Apr-39","White","Na",1975,"The Godfather Part II","Francis Ford Coppola"
"50","CÃ¡slav, Czechoslovakia","18-Feb-32","White","Na",1976,"One Flew over the Cuckoo's Nest","Milos Forman"
"51","Oak Park, Il","21-Dec-35","White","Na",1976,"Rocky","John G. Avildsen"
"52","Brooklyn, Ny","1-Dec-35","White","Jewish",1978,"Annie Hall","Woody Allen"
"53","New York City","3-Feb-39","White","Na",1979,"The Deer Hunter","Michael Cimino"
"54","Waxahachie, Tx","29-Sep-32","White","Na",1980,"Kramer vs. Kramer","Robert Benton"
"55","Santa Monica, Ca","18-Aug-1936 [1]","White","Na",1980,"Ordinary People","Robert Redford"
"56","Richmond, Va","30-Mar-37","White","Baptist",1981,"Reds","Warren Beatty"
"57","Cambridge, England","29-Aug-23","White","Na",1982,"Gandhi","Richard Attenborough"
"58","North Bergen, Nj","9-May-40","White","Na",1983,"Terms of Endearment","James L. Brooks"
"59","CÃ¡slav, Czechoslovakia","18-Feb-32","White","Na",1985,"Amadeus","Milos Forman"
"60","Lafayette, In","1-Jul-34","White","Jewish",1986,"Out of Africa","Sydney Pollack"
"61","New York City","15-Sep-46","White","Atheist",1990,"Platoon","Oliver Stone"
"62","Parma, Emilia-Romagna, Italy","16-Mar-41","White","Na",1988,"The Last Emperor","Bernardo Bertolucci"
"63","Baltimore, Md","6-Apr-42","White","Jewish",1989,"Rain Man","Barry Levinson"
"64","New York City","15-Sep-46","White","Atheist",1990,"Born on the Fourth of July","Oliver Stone"
"65","Lynwood, Ca","18-Jan-55","White","Baptist",1991,"Dances with Wolves","Kevin Costner"
"66","Baldwin, Ny","22-Feb-44","White","Na",1992,"The Silence of the Lambs","Jonathan Demme"
"67","San Francisco, Ca","31-May-30","White","Na",1993,"Unforgiven","Clint Eastwood"
"68","Cincinnati, Oh","18-Dec-46","White","Jewish",1994,"Schindler's List","Steven Spielberg"
"69","Chicago, Il","14-May-52","White","Roman Catholic",1995,"Forrest Gump","Robert Zemeckis"
"70","Peekskill, Ny","3-Jan-56","White","Roman Catholic",1996,"Braveheart","Mel Gibson"
"71","Ryde, Isle of Wight, England","6-Jan-54","White","Na",1997,"The English Patient","Anthony Minghella"
"72","Kapuskasing, Ontario, Canada","16-Aug-54","White","Atheist",1998,"Titanic","James Cameron"
"73","Cincinnati, Oh","18-Dec-46","White","Jewish",1999,"Saving Private Ryan","Steven Spielberg"
"74","Reading, Berkshire, England","1-Aug-65","White","Na",2000,"American Beauty","Sam Mendes"
"75","Atlanta, Ga","14-Jan-63","White","Atheist",2001,"Traffic","Steven Soderbergh"
"76","Duncan, Ok","1-Mar-54","White","Na",2002,"A Beautiful Mind","Ron Howard"
"77","Paris, France","18-Aug-33","White","See Note",2003,"The Pianist","Roman Polanski"
"78","Wellington, New Zealand","31-Oct-61","White","Na",2004,"The Lord of the Rings: Return of the King","Peter Jackson"
"79","San Francisco, Ca","31-May-30","White","Na",2005,"Million Dollar Baby","Clint Eastwood"
"80","Pingtung, Taiwan","23-Oct-54","Asian","Na",2006,"Brokeback Mountain","Ang Lee"
"81","Flushing, Ny","17-Nov-42","White","Roman Catholic",2007,"The Departed","Martin Scorsese"
"82","St. Louis Park, Mn","21-Sep-57","White","Jewish",2008,"No Country for Old Men","Ethan Coen"
"83","Manchester, England","20-Oct-56","White","Roman Catholic",2009,"Slumdog Millionaire","Danny Boyle"
"84","San Carlos, Ca","27-Nov-51","White","Na",2009,"The Hurt Locker","Kathryn Bigelow"
"85","London, England","1972","White","Na",2011,"The King's Speech","Tom Hooper"
"86","Paris, France","29-Mar-67","White","Jewish",2012,"The Artist","Michel Hazanavicius"
"87","Pingtung, Taiwan","23-Oct-54","Asian","Na",2013,"Life of Pi","Ang Lee"
"88","Rorschach, Switzerland","23-Jul-1884","White","Na",1929,"The Last Command","Emil Jannings"
"89","Columbus, Oh","29-Mar-1889","White","Na",1930,"In Old Arizona","Warner Baxter"
"90","London, England","10-Apr-1868","White","Na",1930,"Desraeli","George Arliss"
"91","Philadelphia, Pa","28-Apr-1878","White","Roman Catholic",1931,"A Free Soul","Lionel Barrymore"
"92","Kansas City, Mo","1-Apr-1885","White","Na",1932,"The Champ","Wallace Beery"
"93","Victoria Hotel, Scarborough, Yorkshire, England","1-Jul-1899","White","Roman Catholic",1934,"The Private Life of Henry VIII","Charles Laughton"
"94","Cadiz, Oh","1-Feb-1901","White","Na",1935,"It Happened One Night","Clark Gable"
"95","Tunbridge Wells, Kent, England","11-Dec-1883","White","Anglican/episcopalian",1936,"The Informer","Victor McLaglen"
"96","Lviv, Ukraine","22-Sep-1895","White","Jewish",1937,"The Story of Louis Pasteur","Paul Muni"
"97","Milwaukee, Wi","5-Apr-1900","White","Roman Catholic",1938,"Captains Courageous","Spencer Tracy"
"98","Milwaukee, Wi","5-Apr-1900","White","Roman Catholic",1939,"Boys Town","Spencer Tracy"
"99","Withington, Manchester, England","18-Mar-05","White","Na",1940,"Goodbye Mr. Chips","Robert Donat"
"100","Indiana, Pa","20-May-08","White","Presbyterian",1941,"The Philadelphia Story","Jimmy Stewart"
"101","Helena, Mt","7-May-1901","White","Roman Catholic",1942,"Sergeant York","Gary Cooper"
"102","Manhattan, Ny","17-Jul-1899","White","Roman Catholic",1943,"Yankee Doodle Dandy","James Cagney"
"103","Budapest, Hungary","26-May-1887","White","Na",1944,"Watch on the Rhine","Paul Lukas"
"104","Tacoma, Wa","3-May-1903","White","Roman Catholic",1945,"Going My Way","Bing Crosby"
"105","Neath, Wales","3-Jan-07","White","Na",1946,"The Lost Weekend","Ray Milland"
"106","Racine, Wi","31-Aug-1897","White","Na",1947,"The Best Years of Our Lives","Fredric March"
"107","Richmond, Surrey, England","9-Feb-1891","White","Na",1948,"A Double Life","Ronald Colman"
"108","Dorking, Surrey, England","22-May-07","White","Na",1949,"Hamlet","Laurence Olivier"
"109","Philadelphia, Pa","9-Dec-11","White","Na",1950,"All The King's Men","Broderick Crawford"
"110","Santurce, Puerto Rico","8-Jan-09","Hispanic","Na",1951,"Cyrano de Bergerac","Jose Ferrer"
"111","New York City","25-Dec-1899","White","Na",1952,"The Africa Queen","Humphrey Bogart"
"112","Helena, Mt","7-May-1901","White","Roman Catholic",1953,"High Noon","Gary Cooper"
"113","O'fallon, Il","17-Apr-18","White","Na",1954,"Stalag 17","William Holden"
"114","Omaha, Ne","3-Apr-24","White","Deist",1955,"On the Waterfront","Marlon Brando"
