title,gross,lifetime_gross,movie_facebook_likes,imdb_score,title_year,actor_1_name,actor_2_name,actor_3_name
Avatar,760505847.0,760507625,33000,7.9,2009.0,CCH Pounder,Joel David Moore,Wes Studi
Spectre,200074175.0,200074609,85000,6.8,2015.0,Christoph Waltz,Rory Kinnear,Stephanie Sigman
The Dark Knight Rises,448130642.0,448139099,164000,8.5,2012.0,Tom Hardy,Christian Bale,Joseph Gordon-Levitt
John Carter,73058679.0,73078100,24000,6.6,2012.0,Daryl Sabara,Samantha Morton,Polly Walker
Tangled,200807262.0,200821936,29000,7.8,2010.0,Brad Garrett,Donna Murphy,M.C. Gainey
Avengers: Age of Ultron,458991599.0,459005868,118000,7.5,2015.0,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson
Harry Potter and the Half-Blood Prince,301956980.0,301959197,10000,7.5,2009.0,Alan Rickman,Daniel Radcliffe,Rupert Grint
Batman v Superman: Dawn of Justice,330249062.0,330360194,197000,6.9,2016.0,Henry Cavill,Lauren Cohan,Alan D. Purwin
Quantum of Solace,168368427.0,168368427,0,6.7,2008.0,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear
The Lone Ranger,89289910.0,89302115,48000,6.5,2013.0,Johnny Depp,Ruth Wilson,Tom Wilkinson
Man of Steel,291021565.0,291045518,118000,7.2,2013.0,Henry Cavill,Christopher Meloni,Harry Lennix
The Chronicles of Narnia: Prince Caspian,141614023.0,141621490,0,6.6,2008.0,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar
Pirates of the Caribbean: On Stranger Tides,241063875.0,241071802,58000,6.7,2011.0,Johnny Depp,Sam Claflin,Stephen Graham
The Hobbit: The Battle of the Five Armies,255108370.0,255119788,65000,7.5,2014.0,Aidan Turner,Adam Brown,James Nesbitt
The Amazing Spider-Man,262030663.0,262030663,56000,7.0,2012.0,Emma Stone,Andrew Garfield,Chris Zylka
Robin Hood,105219735.0,105269730,17000,6.7,2010.0,Mark Addy,William Hurt,Scott Grimes
The Hobbit: The Desolation of Smaug,258355354.0,258366855,83000,7.9,2013.0,Aidan Turner,Adam Brown,James Nesbitt
Captain America: Civil War,407197282.0,408084349,72000,8.2,2016.0,Robert Downey Jr.,Scarlett Johansson,Chris Evans
Battleship,65173160.0,65422625,44000,5.9,2012.0,Liam Neeson,Alexander Skarsgård,Tadanobu Asano
Jurassic World,652177271.0,652270625,150000,7.0,2015.0,Bryce Dallas Howard,Judy Greer,Omar Sy
Skyfall,304360277.0,304360277,80000,7.8,2012.0,Albert Finney,Helen McCrory,Rory Kinnear
Skyfall,304360277.0,304360277,80000,7.8,2012.0,Albert Finney,Helen McCrory,Rory Kinnear
Iron Man 3,408992272.0,409013994,95000,7.2,2013.0,Robert Downey Jr.,Jon Favreau,Don Cheadle
Monsters University,268488329.0,268492764,44000,7.3,2013.0,Steve Buscemi,Tyler Labine,Sean Hayes
Transformers: Revenge of the Fallen,402076689.0,402111870,0,6.0,2009.0,Glenn Morshower,Kevin Dunn,Ramon Rodriguez
Transformers: Age of Extinction,245428137.0,245439076,56000,5.7,2014.0,Bingbing Li,Sophia Myles,Kelsey Grammer
The Amazing Spider-Man 2,202853933.0,202853933,41000,6.7,2014.0,Emma Stone,Andrew Garfield,B.J. Novak
Cars 2,191450875.0,191452396,10000,6.3,2011.0,Joe Mantegna,Thomas Kretschmann,Eddie Izzard
Green Lantern,116593191.0,116601172,24000,5.6,2011.0,Ryan Reynolds,Temuera Morrison,Taika Waititi
Toy Story 3,414984497.0,415004880,30000,8.3,2010.0,Tom Hanks,John Ratzenberger,Don Rickles
Terminator Salvation,125320003.0,125322469,0,6.6,2009.0,Christian Bale,Bryce Dallas Howard,Common
