"title","genres","countries"
"Avatar","Action, Adventure, Fantasy, Sci-Fi","UK, USA"
"Spectre","Action, Adventure, Thriller","UK, USA"
"The Dark Knight Rises","Action, Thriller","UK, USA"
"John Carter","Action, Adventure, Sci-Fi","USA"
"Tangled","Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance","USA"
"Avengers: Age of Ultron","Action, Adventure, Sci-Fi","USA"
"Harry Potter and the Half-Blood Prince","Adventure, Family, Fantasy, Mystery","UK, USA"
"Batman v Superman: Dawn of Justice","Action, Adventure, Fantasy, Sci-Fi","USA"
"Quantum of Solace","Action, Adventure, Thriller","UK, USA"
"The Lone Ranger","Action, Adventure, Western","USA"
"Man of Steel","Action, Adventure, Fantasy, Sci-Fi","USA, UK"
"The Chronicles of Narnia: Prince Caspian","Action, Adventure, Family, Fantasy","USA, Poland, Slovenia, Czech Republic"
"Pirates of the Caribbean: On Stranger Tides","Action, Adventure, Fantasy","USA, UK"
"The Hobbit: The Battle of the Five Armies","Adventure, Fantasy","New Zealand, USA"
"The Amazing Spider-Man","Action, Adventure, Sci-Fi","USA"
"Robin Hood","Action, Adventure, Drama, History, Romance","USA, UK"
"The Hobbit: The Desolation of Smaug","Adventure, Fantasy","USA, New Zealand"
"Captain America: Civil War","Action, Adventure, Sci-Fi","USA, Germany"
"Battleship","Action, Adventure, Sci-Fi, Thriller","USA"
"Jurassic World","Action, Adventure, Sci-Fi","USA"
"Skyfall","Action, Adventure, Thriller","UK, USA"
"Skyfall","Action, Adventure, Thriller","UK, USA"
"Iron Man 3","Action, Adventure, Sci-Fi","China, USA"
"Monsters University","Animation, Adventure, Comedy","USA"
"Transformers: Revenge of the Fallen","Action, Adventure, Sci-Fi","USA"
"Transformers: Age of Extinction","Action, Adventure, Sci-Fi","USA, China, Hong Kong"
"The Amazing Spider-Man 2","Action, Adventure, Sci-Fi","USA"
"Cars 2","Animation, Adventure, Comedy, Family, Sport","USA"
"Green Lantern","Action, Adventure, Sci-Fi","USA"
"Toy Story 3","Animation, Adventure, Comedy, Family, Fantasy","USA"
"Terminator Salvation","Action, Adventure, Sci-Fi","USA, Germany, UK, Italy"
"Furious 7","Action, Crime, Thriller","Japan, USA, China, United Arab Emirates"
"World War Z","Action, Adventure, Horror, Sci-Fi, Thriller","USA"
"X-Men: Days of Future Past","Action, Adventure, Sci-Fi, Thriller","USA, UK, Canada"
"Star Trek Into Darkness","Action, Adventure, Sci-Fi","USA"
"Jack the Giant Slayer","Adventure, Fantasy","USA"
"The Great Gatsby","Drama, Romance","Australia, USA"
"The Great Gatsby","Drama, Romance","Australia, USA"
"Prince of Persia: The Sands of Time","Action, Adventure, Fantasy","USA"
"Pacific Rim","Action, Adventure, Sci-Fi","USA"
"Transformers: Dark of the Moon","Action, Adventure, Sci-Fi","USA"
"Indiana Jones and the Kingdom of the Crystal Skull","Action, Adventure, Fantasy","USA"
"The Good Dinosaur","Animation, Adventure, Comedy, Drama, Family, Fantasy","USA"
"Brave","Animation, Adventure, Comedy","USA, UK"
"Star Trek Beyond","Action, Adventure, Sci-Fi, Thriller","USA, China, United Arab Emirates, Canada"
"2012","Action, Adventure, Sci-Fi","USA"
"Jupiter Ascending","Action, Adventure, Sci-Fi","USA, Australia"
"The Legend of Tarzan","Action, Adventure, Drama, Fantasy, Romance","UK, Canada, USA"
"The Legend of Tarzan","Action, Adventure, Drama, Fantasy, Romance","UK, Canada, USA"
"X-Men: Apocalypse","Action, Adventure, Sci-Fi","USA"
"The Dark Knight","Action, Crime, Drama, Thriller","USA, UK"
"Up","Animation, Adventure, Comedy, Family","USA"
"Iron Man","Action, Adventure, Sci-Fi","USA"
"Hugo","Adventure, Drama, Family, Fantasy, Mystery, Romance","USA, UK"
"The Mummy: Tomb of the Dragon Emperor","Action, Adventure, Fantasy, Horror, Thriller","USA, Germany, China"
"Suicide Squad","Action, Adventure, Fantasy, Sci-Fi","USA"
"Edge of Tomorrow","Action, Sci-Fi","USA, Canada"
"G.I. Joe: The Rise of Cobra","Action, Adventure, Sci-Fi, Thriller","USA, Czech Republic"
"Inside Out","Animation, Adventure, Comedy, Drama, Family, Fantasy","USA"
"The Jungle Book","Adventure, Drama, Family, Fantasy","UK, USA"
"The Jungle Book","Adventure, Drama, Family, Fantasy","UK, USA"
"Iron Man 2","Action, Sci-Fi","USA"
"Snow White and the Huntsman","Action, Adventure, Drama, Fantasy","USA"
"Maleficent","Action, Adventure, Family, Fantasy, Romance","USA"
"Dawn of the Planet of the Apes","Action, Adventure, Drama, Sci-Fi","USA, UK, Canada"
"The Lovers","Drama, Romance","France"
"The Lovers","Drama, Romance","France"
"47 Ronin","Action, Adventure, Drama, Fantasy","USA, UK, Japan, Hungary"
"Captain America: The Winter Soldier","Action, Adventure, Sci-Fi, Thriller","USA"
"Shrek Forever After","Animation, Adventure, Comedy, Family, Fantasy, Romance","USA"
"Tomorrowland","Action, Adventure, Family, Fantasy, Mystery, Sci-Fi","USA, Spain, France, UK"
"Big Hero 6","Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi","USA"
"Wreck-It Ralph","Animation, Adventure, Comedy, Family, Fantasy","USA"
"Independence Day: Resurgence","Action, Adventure, Sci-Fi","USA"
"How to Train Your Dragon","Animation, Action, Adventure, Comedy, Family, Fantasy","USA"
"Guardians of the Galaxy","Action, Adventure, Comedy, Sci-Fi","USA"
"Interstellar","Adventure, Drama, Sci-Fi","USA, UK"
"Inception","Action, Adventure, Sci-Fi, Thriller","USA, UK"
"The Hobbit: An Unexpected Journey","Adventure, Family, Fantasy","USA, New Zealand"
"The Curious Case of Benjamin Button","Drama, Fantasy, Romance","USA"
"X-Men: First Class","Action, Adventure, Sci-Fi","USA, UK"
"The Hunger Games: Mockingjay - Part 2","Action, Adventure, Sci-Fi, Thriller","Germany, USA"
"The Sorcerer's Apprentice","Action, Adventure, Family, Fantasy","USA"
"Alice Through the Looking Glass","Adventure, Family, Fantasy","USA, UK"
"Warcraft","Action, Adventure, Fantasy","China, Canada, Japan, USA"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Adventure, Family, Fantasy","USA"
"Hancock","Action, Drama, Fantasy","USA"
"Madagascar: Escape 2 Africa","Animation, Adventure, Comedy, Family","USA"
"Night at the Museum: Battle of the Smithsonian","Adventure, Comedy, Family, Fantasy","USA, Canada"
"X-Men Origins: Wolverine","Action, Adventure, Sci-Fi","USA, UK"
"Frozen","Animation, Adventure, Comedy, Family, Fantasy, Musical","USA"
"Thor: The Dark World","Action, Adventure, Fantasy","USA"
"Mad Max: Fury Road","Action, Adventure, Sci-Fi, Thriller","Australia, USA"
"Angels & Demons","Mystery, Thriller","USA, Italy"
"Thor","Action, Adventure, Fantasy, Sci-Fi","USA"
"Bolt","Animation, Adventure, Comedy, Drama, Family","USA"
"G-Force","Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi","USA"
"Wrath of the Titans","Action, Adventure, Fantasy","Spain, USA"
"Dark Shadows","Comedy, Fantasy, Horror","USA, Australia"
"Mission: Impossible - Rogue Nation","Action, Adventure, Thriller","USA, China, Hong Kong"
"The Wolfman","Drama, Fantasy, Horror, Thriller","USA"
"Kung Fu Panda 2","Animation, Action, Adventure, Comedy, Family, Fantasy","USA"
"The Last Airbender","Action, Adventure, Family","USA"
"White House Down","Action, Drama, Thriller","USA"
"Mars Needs Moms","Animation, Adventure, Family, Sci-Fi","USA"
"Pan","Adventure, Family, Fantasy","USA, UK, Australia"
"Pan","Adventure, Family, Fantasy","USA, UK, Australia"
"Pan","Adventure, Family, Fantasy","USA, UK, Australia"
"Mr. Peabody & Sherman","Animation, Adventure, Comedy, Family, Sci-Fi","USA"
"Madagascar 3: Europe's Most Wanted","Animation, Adventure, Comedy, Family","USA"
"Ghostbusters","Action, Comedy, Fantasy","USA"
"Ghostbusters","Action, Comedy, Fantasy","USA"
"Kung Fu Panda 3","Animation, Action, Adventure, Comedy, Family, Fantasy","China, USA"
"Mission: Impossible - Ghost Protocol","Action, Adventure, Thriller","USA, United Arab Emirates, Czech Republic, Russia, India, Canada"
"Rise of the Guardians","Animation, Adventure, Family, Fantasy, Thriller","USA"
"Exodus: Gods and Kings","Action, Adventure, Drama, Fantasy","UK, Spain, USA"
"Exodus: Gods and Kings","Action, Adventure, Drama, Fantasy","UK, Spain, USA"
"Star Trek","Action, Adventure, Sci-Fi","USA, Germany"
"How to Train Your Dragon 2","Animation, Action, Adventure, Comedy, Family, Fantasy","USA"
"Gods of Egypt","Action, Adventure, Fantasy","USA, Australia"
"Watchmen","Action, Drama, Mystery, Sci-Fi","USA"
"G.I. Joe: Retaliation","Action, Adventure, Sci-Fi","USA"
"Captain America: The First Avenger","Action, Adventure, Sci-Fi","USA"
"The Incredible Hulk","Action, Adventure, Sci-Fi","USA"
"The BFG","Adventure, Family, Fantasy","USA, India"
"The Revenant","Action, Adventure, Biography, Drama, Western","USA, Hong Kong, Taiwan"
"Turbo","Animation, Adventure, Comedy","USA"
"Rango","Animation, Adventure, Comedy, Family, Western","USA, Brazil"
"Penguins of Madagascar","Animation, Adventure, Comedy, Family, Sci-Fi","USA"
"Kung Fu Panda","Animation, Action, Adventure","USA"
"Ant-Man","Action, Adventure, Comedy, Crime, Sci-Fi","USA"
"The Hunger Games: Catching Fire","Action, Adventure, Mystery, Sci-Fi, Thriller","USA"
"Puss in Boots","Animation, Action, Adventure","USA"
"Salt","Action, Mystery, Thriller","USA"
"Noah","Action, Adventure, Drama","USA"
"The Adventures of Tintin","Animation, Action, Adventure, Family, Mystery","USA, New Zealand"
"Australia","Adventure, Drama, Romance, War","UK, Australia, USA"
"After Earth","Action, Adventure, Sci-Fi","USA"
"Night at the Museum: Secret of the Tomb","Adventure, Comedy, Family, Fantasy","UK, USA"
"Megamind","Animation, Action, Comedy, Family, Sci-Fi","USA"
"R.I.P.D.","Action, Adventure, Comedy","USA"
"The Hunger Games: Mockingjay - Part 1","Action, Adventure, Sci-Fi, Thriller","USA"
"Rio 2","Animation, Adventure, Comedy, Family, Musical","USA"
"Fast Five","Action, Crime, Thriller","USA"
"Sherlock Holmes: A Game of Shadows","Action, Adventure, Crime, Mystery, Thriller","USA"
"The Bourne Legacy","Action, Adventure, Thriller","USA, Japan"
"Life of Pi","Adventure, Drama, Fantasy","USA, Taiwan, UK, Canada"
"Jason Bourne","Action, Thriller","USA, China"
"Prometheus","Adventure, Mystery, Sci-Fi","USA, UK"
"Elysium","Action, Drama, Sci-Fi","USA"
"Speed Racer","Action, Adventure, Comedy, Drama, Family, Sci-Fi, Sport","USA, Australia, Germany"
"How Do You Know","Comedy, Drama, Romance","USA"
"Oblivion","Action, Adventure, Mystery, Sci-Fi","USA"
"The Wolverine","Action, Adventure, Sci-Fi","USA, UK, Australia, Japan"
"The Croods","Animation, Action, Adventure","USA"
"The Huntsman: Winter's War","Action, Adventure, Drama, Fantasy","USA, China"
"Teenage Mutant Ninja Turtles","Action, Adventure, Comedy, Sci-Fi","USA"
"Teenage Mutant Ninja Turtles","Action, Adventure, Comedy, Sci-Fi","USA"
"Gravity","Drama, Sci-Fi, Thriller","UK, USA"
"Teenage Mutant Ninja Turtles: Out of the Shadows","Action, Adventure, Comedy, Sci-Fi","USA, Hong Kong, China, Canada"
"Fantastic Four","Action, Adventure, Fantasy, Sci-Fi","USA, Germany"
"Fantastic Four","Action, Adventure, Fantasy, Sci-Fi","USA, Germany"
"San Andreas","Action, Adventure, Drama, Thriller","USA"
"Gulliver's Travels","Adventure, Comedy, Family, Fantasy","USA"
